QuestID	QuestName	Class	CanShare	CanRepeat	CanAssist	NeedAccept	IsEscortQuest	QuestLevel	RequiredLevel	StartMapID	StartNpcTemplateID	StartDoodadTemplateID	StartItemType	StartItemIndex	MinLevel	MaxLevel	RequireGender	RequireRoleType	CooldownID	PrequestLogic	PrequestID1	PrequestID2	PrequestID3	PrequestID4	SubsequenceID	ForceIndex	StartTime	EndTime	RequireSkillID	MinSkillLevel	RequireLifeSkillID	MinLifeSkillLevel	StartForceIndex1	StartForceValue1	StartForceIndex2	StartForceValue2	StartForceIndex3	StartForceValue3	StartForceIndex4	StartForceValue4	StartRequireItemType1	StartRequireItemIndex1	StartRequireItemAmount1	StartRequireItemType2	StartRequireItemIndex2	StartRequireItemAmount2	StartRequireItemType3	StartRequireItemIndex3	StartRequireItemAmount3	StartRequireItemType4	StartRequireItemIndex4	StartRequireItemAmount4	OfferItemType1	OfferItemIndex1	OfferItemAmount1	OfferItemType2	OfferItemIndex2	OfferItemAmount2	OfferItemType3	OfferItemIndex3	OfferItemAmount3	OfferItemType4	OfferItemIndex4	OfferItemAmount4	EndMapID	EndNpcTemplateID	EndDoodadTemplateID	EndItemType	EndItemIndex	FinishTime	EndRequireItemType1	EndRequireItemIndex1	EndRequireItemAmount1	IsDeleteEndRequireItem1	IsCancelDeleteRequireItem1	DropNpcTemplateID1	DropDoodadTemplateID1	DropItemRate1	IsDropForEach1	EndRequireItemType2	EndRequireItemIndex2	EndRequireItemAmount2	IsDeleteEndRequireItem2	IsCancelDeleteRequireItem2	DropNpcTemplateID2	DropDoodadTemplateID2	DropItemRate2	IsDropForEach2	EndRequireItemType3	EndRequireItemIndex3	EndRequireItemAmount3	IsDeleteEndRequireItem3	IsCancelDeleteRequireItem3	DropNpcTemplateID3	DropDoodadTemplateID3	DropItemRate3	IsDropForEach3	EndRequireItemType4	EndRequireItemIndex4	EndRequireItemAmount4	IsDeleteEndRequireItem4	IsCancelDeleteRequireItem4	DropNpcTemplateID4	DropDoodadTemplateID4	DropItemRate4	IsDropForEach4	EndRequireItemType5	EndRequireItemIndex5	EndRequireItemAmount5	IsDeleteEndRequireItem5	IsCancelDeleteRequireItem5	DropNpcTemplateID5	DropDoodadTemplateID5	DropItemRate5	IsDropForEach5	EndRequireItemType6	EndRequireItemIndex6	EndRequireItemAmount6	IsDeleteEndRequireItem6	IsCancelDeleteRequireItem6	DropNpcTemplateID6	DropDoodadTemplateID6	DropItemRate6	IsDropForEach6	EndRequireItemType7	EndRequireItemIndex7	EndRequireItemAmount7	IsDeleteEndRequireItem7	IsCancelDeleteRequireItem7	DropNpcTemplateID7	DropDoodadTemplateID7	DropItemRate7	IsDropForEach7	EndRequireItemType8	EndRequireItemIndex8	EndRequireItemAmount8	IsDeleteEndRequireItem8	IsCancelDeleteRequireItem8	DropNpcTemplateID8	DropDoodadTemplateID8	DropItemRate8	IsDropForEach8	KillNpcTemplateID1	KillNpcAmount1	KillNpcTemplateID2	KillNpcAmount2	KillNpcTemplateID3	KillNpcAmount3	KillNpcTemplateID4	KillNpcAmount4	QuestValue1	QuestValue2	QuestValue3	QuestValue4	QuestValue5	QuestValue6	QuestValue7	QuestValue8	EndForceIndex1	EndValue1	EndForceIndex2	EndValue2	EndForceIndex3	EndValue3	EndForceIndex4	EndValue4	RelationDoodadID1	RelationDoodadID2	RelationDoodadID3	RelationDoodadID4	RelationDoodadID5	RelationDoodadID6	RelationDoodadID7	RelationDoodadID8	HidePresent	PresentAll1	PresentAll2	PresentAccordToForce1	PresentAccordToForce2	PresentItemType1	PresentItemIndex1	PresentItemAmount1	PresentItemType2	PresentItemIndex2	PresentItemAmount2	PresentItemType3	PresentItemIndex3	PresentItemAmount3	PresentItemType4	PresentItemIndex4	PresentItemAmount4	PresentItemType5	PresentItemIndex5	PresentItemAmount5	PresentItemType6	PresentItemIndex6	PresentItemAmount6	PresentItemType7	PresentItemIndex7	PresentItemAmount7	PresentItemType8	PresentItemIndex8	PresentItemAmount8	PresentItemType9	PresentItemIndex9	PresentItemAmount9	PresentItemType10	PresentItemIndex10	PresentItemAmount10	PresentItemType11	PresentItemIndex11	PresentItemAmount11	PresentItemType12	PresentItemIndex12	PresentItemAmount12	PresentItemType13	PresentItemIndex13	PresentItemAmount13	PresentItemType14	PresentItemIndex14	PresentItemAmount14	PresentItemType15	PresentItemIndex15	PresentItemAmount15	PresentItemType16	PresentItemIndex16	PresentItemAmount16	PresentItemType17	PresentItemIndex17	PresentItemAmount17	PresentItemType18	PresentItemIndex18	PresentItemAmount18	PresentItemType19	PresentItemIndex19	PresentItemAmount19	PresentItemType20	PresentItemIndex20	PresentItemAmount20	PresentItemType21	PresentItemIndex21	PresentItemAmount21	PresentItemType22	PresentItemIndex22	PresentItemAmount22	PresentItemType23	PresentItemIndex23	PresentItemAmount23	PresentItemType24	PresentItemIndex24	PresentItemAmount24	PresentItemType25	PresentItemIndex25	PresentItemAmount25	PresentItemType26	PresentItemIndex26	PresentItemAmount26	PresentItemType27	PresentItemIndex27	PresentItemAmount27	PresentItemType28	PresentItemIndex28	PresentItemAmount28	PresentItemType29	PresentItemIndex29	PresentItemAmount29	PresentItemType30	PresentItemIndex30	PresentItemAmount30	PresentItemType31	PresentItemIndex31	PresentItemAmount31	PresentItemType32	PresentItemIndex32	PresentItemAmount32	PresentExp	PresentMoney	AffectForceIndex1	AffectValue1	AffectForceIndex2	AffectValue2	AffectForceIndex3	AffectValue3	AffectForceIndex4	AffectValue4	AffectSkillID	Proficiency	RepeatCutPercent	PresentAssistIntimacy	PresentAssistExp	ScriptName	_Cat	_Type	_AreaQuest	RewardSkillID	CostMoney	RequireSchoolMask	RequireReputeAll	RequireForceID1	RequireReputeLevelMin1	RequireReputeLevelMax1	RequireForceID2	RequireReputeLevelMin2	RequireReputeLevelMax2	RequireForceID3	RequireReputeLevelMin3	RequireReputeLevelMax3	RequireForceID4	RequireReputeLevelMin4	RequireReputeLevelMax4	_ExpRewardType	_RunTime	_RestTime	_DropItemKills1	_DropItemKills2	_DropItemKills3	_DropItemKills4	_ExpRewardInfo	_IsAssistByScript	_ScriptExtraExp	_IsCalcExpByScript	_ScriptDifficulty	PresentAssistThew	PresentAssistStamina	PresentAssistFriendship	RequireCamp	_DropItemKills5	_DropItemKills6	_DropItemKills7	_DropItemKills8	PresentPrestige	PresentCoinType1	PresentCoinAmount1	PresentContribution	AchievementID	PresentTrain	TeamRequireMode	RequireApprentice	AssistMentorValue	TitlePoint	AddTongDevelopmentPoint	AddTongFund	PresentJustice	PresentExamPrint	PresentActivityAward	PresentArenaAward	PresentExp2Contribution	RewardSkillMaxLevel	Activity	HungUp	AddTongResource	IsAdventure	PreAdventureTaskID	AfterAdventureTaskID	PlayerIdentityType	PlayerIdentityExp	SystemQuest	NextQuestID	AssistNewbie	RewardSkillID1	RewardSkillMaxLevel1	_Notation	PresentVigor	RemoteComplete	BindDoodadID1	BindDoodadID2	BindDoodadID3	BindDoodadID4	BindDoodadID5	BindDoodadID6	BindDoodadID7	BindDoodadID8	AssistMentorAward	PresentArchitecture	PresentItemIndex33	PresentItemIndex34	PresentItemIndex35	PresentItemIndex36	PresentItemIndex37	PresentItemIndex38	PresentItemIndex39	PresentItemIndex40	PresentItemIndex41	PresentItemIndex42	PresentItemIndex43	PresentItemIndex44	PresentItemIndex45	PresentItemIndex46	PresentItemIndex47	PresentItemIndex48	PresentItemIndex49	PresentItemIndex50	PresentItemIndex51	PresentItemIndex52	PresentItemIndex53	PresentItemIndex54	PresentItemIndex55	PresentItemIndex56	PresentItemIndex57	PresentItemIndex58	PresentItemIndex59	PresentItemIndex60	PresentItemIndex61	PresentItemIndex62	PresentItemIndex63	PresentItemIndex64	PresentItemType33	PresentItemType34	PresentItemType35	PresentItemType36	PresentItemType37	PresentItemType38	PresentItemType39	PresentItemType40	PresentItemType41	PresentItemType42	PresentItemType43	PresentItemType44	PresentItemType45	PresentItemType46	PresentItemType47	PresentItemType48	PresentItemType49	PresentItemType50	PresentItemType51	PresentItemType52	PresentItemType53	PresentItemType54	PresentItemType55	PresentItemType56	PresentItemType57	PresentItemType58	PresentItemType59	PresentItemType60	PresentItemType61	PresentItemType62	PresentItemType63	PresentItemType64	PresentItemAmount33	PresentItemAmount34	PresentItemAmount35	PresentItemAmount36	PresentItemAmount37	PresentItemAmount38	PresentItemAmount39	PresentItemAmount40	PresentItemAmount41	PresentItemAmount42	PresentItemAmount43	PresentItemAmount44	PresentItemAmount45	PresentItemAmount46	PresentItemAmount47	PresentItemAmount48	PresentItemAmount49	PresentItemAmount50	PresentItemAmount51	PresentItemAmount52	PresentItemAmount53	PresentItemAmount54	PresentItemAmount55	PresentItemAmount56	PresentItemAmount57	PresentItemAmount58	PresentItemAmount59	PresentItemAmount60	PresentItemAmount61	PresentItemAmount62	PresentItemAmount63	PresentItemAmount64
21896	万花寻医	3844			0			100		108	99593				98																																																		473	99594																																																																																																																																																																																																																		5650	400	244	60													万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											15			0			1		0			5			0												主城常驻指引去万花·乱世			0	0	0	0	0	0	0	0	0																																																																																																	
21897	江湖怪病	3844			0			101		473	99594				99																																																		473	99594																																																																																					3																																																																																																																													207992	29200	244	120												scripts/Map/万花_乱世/quest/江湖怪病传.lua	万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											260			0			13		0			47											21898				其他门派/江湖怪病传			0	0	0	0	0	0	0	0	0																																																																																																	
21898	静待初诊	3844			0			101		473	99594				99						21897																																												473	99595																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/取号待初诊.lua	万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪			0		0	0	0											255			0			12		0			45															其他门派/取号待初诊			0	0	0	0	0	0	0	0	0																																																																																																	
21899	恐有特权	3844			0			101		473	99595				99						21898																																												473	99595																																																																																					1																																																																																																																													397898	61900	244	200												scripts/Map/万花_乱世/quest/恐有特权人.lua	万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪			1	3	0	0	0											445			0			12		0			90															其他门派/恐有特权人			0	0	0	0	0	0	0	0	0																																																																																																	
21900	彷徨心焦	3844			0			101		473	99595				99						21899																																												473	99595																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/家属.lua	万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											255			0			12		0			45															其他门派/家属			0	0	0	0	0	0	0	0	0																																																																																																	
21901	恐惧爆发	3844			0			101		473	99595				99					0	21900	22786																																											473	99595																																																																																					1																									1	1	1	1	8	29045	1	8	29045	1	8	29046	1	8	29044	1	8	29044	1	8	29044	1	8	29045	1	8	29047	1	8	29046	1	8	29045	1	8	29047	1	8	29044	1	8	29046	1	8	29047	1	8	29047	1	8	29045	1	8	29044	1	8	29046	1	8	29047	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397898	61900	244	200												scripts/Map/万花_乱世/quest/恐惧终爆发.lua	万花_乱世																										参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪			1	3	0	0	0											445			0			12		0			90															恐惧终爆发			0	0	0	0	0	0	0	0	0		29049	29048	29049	29047	29048	29048	29046	0	0	29049	29049	29048	0	0	0	0	29048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8	8	8	8	0	0	8	8	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21902	谷内如何	3844			0			101		473	99595				99						21901																																												473	99595																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/万花现如何.lua	万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											255			0			12		0			45											21908				其他门派线/万花现如何			0	0	0	0	0	0	0	0	0																																																																																																	
21903	万花急召	3844			0			100		108	9890				98						23040																																5	36876	1										473	99594																																																																																																																																																																																																																		5650	400	244	60													万花_乱世					4																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											15			0			1		0			5			0												万花线指引任务/万花急召回/书信配套			0	0	0	0	0	0	0	0	0																																																																																																	
21904	江湖怪病	3844			0			101		473	99594				99																																																		473	99595																																																																																					3																																																																																																																													207992	29200	244	120												scripts/Map/万花_乱世/quest/江湖怪病传.lua	万花_乱世					4																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											260			0			13		0			47															万花线/江湖怪病传			0	0	0	0	0	0	0	0	0																																																																																																	
21905	发出号牌	3844			0			101		473	99595				99						21904																																												473	99595																																																																																					1	3																																																																																																																												397898	61900	244	200												scripts/Map/万花_乱世/quest/发号予来人.lua	万花_乱世					4																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪			1	3	0	0	0											445			0			12		0			90											21906				万花线/发号予来人			8377	0	0	0	0	0	0	0	0																																																																																																	
21906	恐有特权	3844			0			101		473	99595				99						21905																																												473	99595																																																																																					1																																																																																																																													397898	61900	244	200												scripts/Map/万花_乱世/quest/恐有特权人_万花.lua	万花_乱世					4																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪			1	3	0	0	0											445			0			12		0			90															万花线/恐有特权人			0	0	0	0	0	0	0	0	0																																																																																																	
21907	谷内如何	3844			0			101		473	99595				99						21901																																												473	99615																																																																																																																																																																																																																		49737	7000	244	60												scripts/Map/万花_乱世/quest/万花现如何_万花.lua	万花_乱世					4																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											35			0			3		0			10															万花线/万花现如何			0	0	0	0	0	0	0	0	0																																																																																																	
21908	依序诊断	3844			0			101		473	99614				99						21902																																												473	99616																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/排队待诊断.lua	万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪			0		0	0	0											255			0			12		0			45											21909				其他门派/排队待诊断			0	0	0	0	0	0	0	0	0																																																																																																	
21909	诊后存疑	3844			0			101		473	99616				99						21908																																												473	99615																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/诊后尚存疑.lua	万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											255			0			12		0			45															其他门派/诊后尚存疑			0	0	0	0	0	0	0	0	0																																																																																																	
21910	疑可传染	3844			0			101		473	99615				99					0	21909	21919																																											473	99619																																																																																																																																																																																																																		49737	7000	244	60												scripts/Map/万花_乱世/quest/疑为传染病.lua	万花_乱世																										参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											35			0			3		0			10															疑为传染病			0	0	0	0	0	0	0	0	0																																																																																																	
21911	防护面巾	3844			0			101		473	99619				99						21910																																5	36126	4										473	99619																																																																																					1	3																																																																																																																												198949	27900	244	120												scripts/Map/万花_乱世/quest/口罩为防护.lua	万花_乱世																										参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											255			0			12		0			45															口罩为防护			0	0	0	0	0	0	0	0	0																																																																																																	
21912	志愿相助	3844			0			101		473	99621				99						21911																																												473	99621																																																																																					1																																																																																																																													198949	27900	244	120													万花_乱世					4294967291																					参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											255			0			12		0			45															其他门派任务，万花弟子在上一个任务完成时脚本完成此任务/加入志愿者			8379	0	0	0	0	0	0	0	0																																																																																																	
21913	欲往何处	3844			0			101		473	99621				99						21912																																												473	99622																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/试问往何处.lua	万花_乱世																										参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											255			0			12		0			45															试问往何处			0	0	0	0	0	0	0	0	0																																																																																																	
21914	言语未通	3844			0			101		473	99622				99						21913																																												473	99622																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/似是往茅厕.lua	万花_乱世																										计算失败！请正确填写任务等级(非负值)、经验奖励类型(非空)			0		0	0	0											255			0			12		0			45											21915				似是往茅厕			0	0	0	0	0	0	0	0	0																																																																																																	
21915	南辕北辙	3844			0			101		473	99622				99						21914																																												473	99622																																																																																					1																																																																																																																													198949	27900	244	120												scripts/Map/万花_乱世/quest/并不是茅厕.lua	万花_乱世																										参考经验--13350;下限经验--0;上限经验--24000;期望杀怪总数(供参考)--7个普通怪					0	0	0											255			0			12		0			45											21916				并不是茅厕			0	0	0	0	0	0	0	0	0																																																																																																	
