TrackID	X	Y	Z
1	10215	37867	0
1	10539	37759	0
1	10917	37381	0
1	11601	37375	0
1	12332	36001	0
1	12488	34534	0
2	20342	26062	1051351
2	20361	25903	1051301
2	20372	25790	1051254
2	20396	25665	1051191
2	20405	25537	1051095
2	20436	25414	1050978
2	20483	25296	1050824
2	20540	25184	1050645
2	20605	25075	1050458
2	20675	24971	1050290
2	20787	24815	1050083
2	20891	24671	1049890
2	20970	24554	1049728
2	21715	23646	1048240
2	22128	23002	1047884
2	22414	22476	1047818
2	22729	22079	1047484
2	22819	21988	1047414
2	22918	21907	1047344
2	23024	21835	1047292
2	23137	21776	1047274
2	23257	21732	1047266
2	23380	21698	1047260
2	23907	21797	1047308
2	24514	21823	1047506
2	24901	21683	1047465
2	25194	21542	1047449
2	25456	21432	1047481
2	25792	21385	1047654
2	26057	21420	1047608
2	26360	21484	1047587
2	26752	21595	1047581
2	27453	21816	1047365
2	27942	22037	1047426
2	28642	22231	1047399
2	29375	22284	1047484
2	29975	22307	1047476
2	30485	22327	1047524
2	30677	22334	1047471
2	30805	22334	1047405
2	30932	22328	1047324
2	31059	22314	1047305
2	31185	22288	1047357
2	31307	22249	1047372
2	31425	22201	1047364
2	31541	22146	1047323
2	31654	22086	1047275
2	31850	21976	1047209
2	31981	21905	1047169
2	32096	21847	1047152
2	32710	21527	1047409
2	33557	21072	1047446
2	34032	20846	1047427
2	34431	20688	1047446
2	34740	20592	1047425
2	35024	20527	1047398
2	35389	20467	1047347
2	35892	20410	1047207
2	36580	20346	1047576
3	43549	3506	1118523
3	43725	3143	1117408
3	44532	2867	1114503
3	45188	2879	1112180
3	45711	2912	1110313
3	46371	2909	1108263
3	46965	2686	1106544
3	47534	2550	1104980
3	48071	2392	1103510
3	48978	2528	1101829
3	49864	2778	1099982
3	50656	2662	1098552
3	51863	2366	1096764
3	53326	2689	1095293
4	48233	32302	1048930
4	48086	32266	1048864
4	47787	32279	1048864
4	46871	32356	1048864
4	46929	33809	1048865
4	46962	34902	1048945
4	46966	35464	1049321
4	46943	35967	1050206
4	46969	36339	1050376
4	46977	36878	1049505
4	47064	37257	1049571
4	47025	37949	1049586
4	47027	38482	1049535
4	47259	39135	1049277
4	47421	39789	1049252
4	47569	40280	1049315
4	47578	40759	1049434
4	47409	41117	1049443
4	47001	41706	1049528
4	46483	42035	1049390
4	46199	42350	1049249
4	45869	42864	1049183
4	45339	43391	1049671
4	44799	43543	1049699
4	43654	44016	1049459
4	43280	44464	1049315
4	43024	44840	1049497
4	42768	45258	1049377
4	42707	45595	1049423
4	42887	45967	1049491
4	43104	46347	1049377
4	43295	46701	1049377
4	43433	47087	1049377
4	43502	47483	1049315
4	43454	47901	1049315
4	43426	48312	1049315
4	42793	48471	1049377
4	42272	48531	1049358
4	41749	48733	1049249
4	41042	49062	1049249
4	40563	49480	1049187
4	40037	49760	1049121
4	39513	50070	1049059
4	39100	50311	1048993
4	38445	50767	1048931
4	37986	51072	1048865
4	37318	51513	1048737
4	36890	51794	1048675
4	36292	52174	1048675
4	35909	52466	1048737
4	35427	52779	1049037
4	34916	53102	1049249
4	33807	53647	1049106
4	33035	54015	1048993
4	32454	54462	1049248
4	32039	54572	1049424
4	31626	54806	1049593
4	31143	55098	1049700
4	30609	55390	1049700
4	29970	55684	1049634
4	29390	55971	1049506
4	28777	56152	1049292
4	28190	56301	1049089
4	27644	56322	1049060
4	27046	56419	1049122
4	26364	56462	1049320
4	25782	56532	1049444
4	25179	56503	1049506
4	24663	56483	1049444
4	24275	56408	1049358
4	23727	56340	1049250
4	22600	56184	1049188
4	21692	56046	1049188
4	21347	56000	1049188
4	20770	55912	1049122
4	20215	55820	1049060
4	19351	55683	1048866
4	18773	55654	1048676
4	18159	55558	1048482
6	7540	13834	1049115
6	7045	14529	1048340
6	6282	14999	1048123
7	59548	8292	1049798
7	59136	8007	1049798
7	58709	7769	1049798
7	58338	7445	1049901
7	58084	7083	1049893
7	57911	6763	1049893
7	57914	6460	1049893
7	57909	6132	1049893
7	57895	5701	1049893
7	57893	5362	1049893
7	57882	5060	1049893
7	57883	4760	1049893
7	57863	4398	1049850
7	57854	3282	1048512
7	57886	1655	1048344
8	85274	73119	1169633
8	85342	73275	1169633
8	85473	73500	1169633
8	85688	73725	1169633
8	85777	74067	1169633
8	85763	74649	1169625
8	85793	75430	1169595
8	85836	76085	1169840
8	85835	76666	1170755
9	64347	62462	1049955
9	64510	62399	1049942
9	64628	62334	1049942
9	64730	62258	1049953
9	64819	62166	1049993
9	64890	62060	1050064
9	64941	61944	1050151
9	64973	61820	1050230
9	64989	61694	1050296
9	64995	61567	1050371
9	64996	61378	1050485
9	64997	61250	1050568
9	64990	61123	1050644
9	64958	60762	1050834
9	64948	60543	1050986
9	64950	60387	1051092
9	64964	60260	1051189
9	64994	60136	1051296
9	65053	60022	1051400
9	65151	59943	1051501
9	65276	59916	1051617
9	65577	59893	1051653
9	66437	59875	1051716
9	67008	59853	1051713
9	67317	59820	1051713
9	67508	59782	1051750
9	67631	59745	1051690
9	67742	59684	1051606
9	67804	59573	1051554
9	67832	59449	1051515
9	67850	59213	1051448
9	67829	58603	1051209
9	67763	57343	1050707
9	67789	56768	1050533
9	67854	56413	1050507
9	67918	56224	1050468
9	67972	56108	1050464
9	68035	55997	1050475
9	68106	55890	1050464
9	68182	55787	1050442
9	68264	55689	1050402
9	68356	55585	1050405
9	68466	55471	1050439
9	68603	55337	1050446
9	68719	55227	1050428
9	68812	55138	1050411
9	68900	55045	1050423
9	68979	54945	1050430
9	69047	54837	1050439
9	69099	54720	1050397
9	69126	54595	1050381
9	69136	54468	1050350
9	69135	54340	1050319
9	69127	54212	1050316
9	69115	54084	1050326
9	69098	53927	1050349
9	69082	53772	1050352
9	69072	53645	1050325
9	69067	53517	1050324
9	69068	53389	1050345
9	69075	53262	1050344
9	69088	53135	1050327
9	69107	53008	1050295
9	69130	52882	1050264
9	69159	52757	1050250
9	69194	52634	1050231
9	69234	52513	1050215
9	69282	52394	1050202
9	69341	52280	1050159
9	69410	52173	1050124
9	69487	52071	1050060
9	69569	51972	1050030
9	69686	51833	1050003
9	69766	51734	1049971
9	69880	51584	1049922
9	70114	51292	1049917
9	70431	50902	1049972
9	70605	50674	1049998
9	70739	50482	1050019
9	70863	50285	1050054
9	70994	50073	1050052
9	71073	49937	1050007
9	71133	49824	1049955
9	71188	49708	1049919
9	71236	49590	1049880
9	71276	49468	1049877
9	71305	49343	1049856
9	71326	49206	1049849
9	71337	49053	1049840
9	71339	48875	1049841
9	71329	48653	1049791
9	71292	48217	1049757
9	71272	47939	1049761
9	71268	47745	1049740
9	71275	47532	1049722
9	71291	47264	1049708
9	71321	46885	1049767
9	71344	46577	1049839
