Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
攻无不克·千垒之击	CustomWeapon	4826	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·容炜之击	CustomWeapon	4827	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·千垒之击	CustomWeapon	4828	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·容炜之击	CustomWeapon	4829	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·千垒囊	CustomWeapon	4818	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·容炜囊	CustomWeapon	4819	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·千垒囊	CustomWeapon	4820	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·容炜囊	CustomWeapon	4821	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·千垒衫	CustomArmor	10868	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·容炜袍	CustomArmor	10869	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·千垒衫	CustomArmor	10870	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·容炜袍	CustomArmor	10871	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·千垒面甲	CustomArmor	10852	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·容炜顶戴	CustomArmor	10853	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·千垒面甲	CustomArmor	10854	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·容炜顶戴	CustomArmor	10855	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·千垒腰带	CustomArmor	10860	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·容炜铁腰	CustomArmor	10861	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·千垒腰带	CustomArmor	10862	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·容炜铁腰	CustomArmor	10863	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·千垒腿甲	CustomArmor	10876	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·容炜护腿	CustomArmor	10877	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·千垒腿甲	CustomArmor	10878	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·容炜护腿	CustomArmor	10879	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·千垒马靴	CustomArmor	10884	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·容炜护脚	CustomArmor	10885	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·千垒马靴	CustomArmor	10886	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·容炜护脚	CustomArmor	10887	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·千垒臂甲	CustomArmor	10844	0	-1	-1	0	2670000			1				25600									1600				1					护臂
攻无不克·容炜护腕	CustomArmor	10845	0	-1	-1	0	2670000			1				25600									1600				1					护臂
攻无不克·千垒臂甲	CustomArmor	10846	0	-1	-1	0	2670000			1				25600									1600				1					护臂
攻无不克·容炜护腕	CustomArmor	10847	0	-1	-1	0	2670000			1				25600									1600				1					护臂
