Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
攻无不克·龙湮笛	CustomWeapon	3953	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·龙湮笛	CustomWeapon	3954	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·任行笛	CustomWeapon	3955	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·任行笛	CustomWeapon	3956	0	-1	-1	0	4580000			1				52000									3250		1800		1					近程武器
攻无不克·龙湮囊	CustomWeapon	4055	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·龙湮囊	CustomWeapon	4056	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·任行囊	CustomWeapon	4061	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·任行囊	CustomWeapon	4062	0	-1	-1	0	2290000			1				25600									1600				1					远程武器
攻无不克·焦角衫	CustomArmor	9403	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·焦角衫	CustomArmor	9404	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·多目袍	CustomArmor	9405	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·多目袍	CustomArmor	9406	0	-1	-1	0	3820000			1				40000									2500		1600		1					上衣
攻无不克·焦角冠	CustomArmor	9491	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·焦角冠	CustomArmor	9492	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·多目冠	CustomArmor	9493	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·多目冠	CustomArmor	9494	0	-1	-1	0	3430000			1				32000									2000		1400		1					头部
攻无不克·焦角带	CustomArmor	9469	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·焦角带	CustomArmor	9470	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·多目带	CustomArmor	9471	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·多目带	CustomArmor	9472	0	-1	-1	0	2670000			1				25600									1600				1					腰带
攻无不克·焦角裤	CustomArmor	9425	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·焦角裤	CustomArmor	9426	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·多目裾	CustomArmor	9427	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·多目裾	CustomArmor	9428	0	-1	-1	0	3820000			1				27200									1700		1200		1					裤子
攻无不克·焦角屐	CustomArmor	9447	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·焦角屐	CustomArmor	9448	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·多目履	CustomArmor	9449	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·多目履	CustomArmor	9450	0	-1	-1	0	2670000			1				25600									1600				1					鞋子
攻无不克·焦角袖	CustomArmor	9381	0	-1	-1	0	2670000			1				25600									1600				1					护臂
攻无不克·焦角袖	CustomArmor	9382	0	-1	-1	0	2670000			1				25600									1600				1					护臂
攻无不克·多目袖	CustomArmor	9383	0	-1	-1	0	2670000			1				25600									1600				1					护臂
攻无不克·多目袖	CustomArmor	9384	0	-1	-1	0	2670000			1				25600									1600				1					护臂
