Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
名满天下·龙景麟笔	CustomWeapon	5219	0	-1	-1	0	4960000			1				63300									3450		1600	7	1					近程武器
名满天下·荀靖麟笔	CustomWeapon	5220	0	-1	-1	0	4960000			1				63300									3450		1600	7	1					近程武器
名满天下·龙景麟笔	CustomWeapon	5221	0	-1	-1	0	4960000			1				63300									3450		1600	7	1					近程武器
名满天下·荀靖麟笔	CustomWeapon	5222	0	-1	-1	0	4960000			1				63300									3450		1600	7	1					近程武器
名满天下·龙景战囊	CustomWeapon	5193	0	-1	-1	0	2480000			1				32100									1750		0	7	1					远程武器
名满天下·荀靖战囊	CustomWeapon	5194	0	-1	-1	0	2480000			1				32100									1750		0	7	1					远程武器
名满天下·龙景战囊	CustomWeapon	5195	0	-1	-1	0	2480000			1				32100									1750		0	7	1					远程武器
名满天下·荀靖战囊	CustomWeapon	5196	0	-1	-1	0	2480000			1				32100									1750		0	7	1					远程武器
名满天下·龙景袍	CustomArmor	11972	0	-1	-1	0	4130000			1				56800									3100		1500	7	1					上衣
名满天下·荀靖裘	CustomArmor	11973	0	-1	-1	0	4130000			1				56800									3100		1500	7	1					上衣
名满天下·龙景袍	CustomArmor	11974	0	-1	-1	0	4130000			1				56800									3100		1500	7	1					上衣
名满天下·荀靖裘	CustomArmor	11975	0	-1	-1	0	4130000			1				56800									3100		1500	7	1					上衣
名满天下·龙景冠	CustomArmor	11998	0	-1	-1	0	3720000			1				48600									2650		1400	7	1					头部
名满天下·荀靖帽	CustomArmor	11999	0	-1	-1	0	3720000			1				48600									2650		1400	7	1					头部
名满天下·龙景冠	CustomArmor	12000	0	-1	-1	0	3720000			1				48600									2650		1400	7	1					头部
名满天下·荀靖帽	CustomArmor	12001	0	-1	-1	0	3720000			1				48600									2650		1400	7	1					头部
名满天下·龙景腰带	CustomArmor	12050	0	-1	-1	0	2890000			1				32100									1750		0	7	1					腰带
名满天下·荀靖腰带	CustomArmor	12051	0	-1	-1	0	2890000			1				32100									1750		0	7	1					腰带
名满天下·龙景腰带	CustomArmor	12052	0	-1	-1	0	2890000			1				32100									1750		0	7	1					腰带
名满天下·荀靖腰带	CustomArmor	12053	0	-1	-1	0	2890000			1				32100									1750		0	7	1					腰带
名满天下·龙景护腿	CustomArmor	12076	0	-1	-1	0	4130000			1				32100									1750		1200	7	1					裤子
名满天下·荀靖护腿	CustomArmor	12077	0	-1	-1	0	4130000			1				32100									1750		1200	7	1					裤子
名满天下·龙景护腿	CustomArmor	12078	0	-1	-1	0	4130000			1				32100									1750		1200	7	1					裤子
名满天下·荀靖护腿	CustomArmor	12079	0	-1	-1	0	4130000			1				32100									1750		1200	7	1					裤子
名满天下·龙景长靴	CustomArmor	12102	0	-1	-1	0	2890000			1				32100									1750		0	7	1					鞋子
名满天下·荀靖长靴	CustomArmor	12103	0	-1	-1	0	2890000			1				32100									1750		0	7	1					鞋子
名满天下·龙景长靴	CustomArmor	12104	0	-1	-1	0	2890000			1				32100									1750		0	7	1					鞋子
名满天下·荀靖长靴	CustomArmor	12105	0	-1	-1	0	2890000			1				32100									1750		0	7	1					鞋子
名满天下·龙景护手	CustomArmor	12024	0	-1	-1	0	2890000			1				32100									1750		0	7	1					护臂
名满天下·荀靖护手	CustomArmor	12025	0	-1	-1	0	2890000			1				32100									1750		0	7	1					护臂
名满天下·龙景护手	CustomArmor	12026	0	-1	-1	0	2890000			1				32100									1750		0	7	1					护臂
名满天下·荀靖护手	CustomArmor	12027	0	-1	-1	0	2890000			1				32100									1750		0	7	1					护臂
