Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
独步天下·妙略劲弩	CustomWeapon	6241	0	-1	-1	0	5250000			1				99000									8800		2200	6	1					近程武器
独步天下·化钧强弩	CustomWeapon	6242	0	-1	-1	0	5250000			1				99000									8800		2200	6	1					近程武器
独步天下·妙略劲弩	CustomWeapon	6243	0	-1	-1	0	5250000			1				99000									8800		2200	6	1					近程武器
独步天下·化钧强弩	CustomWeapon	6244	0	-1	-1	0	5250000			1				99000									8800		2200	6	1					近程武器
独步天下·妙略之胜	CustomWeapon	6213	0	-1	-1	0	2620000			1				54000									4800		1600	6	1					远程武器
独步天下·化钧之威	CustomWeapon	6214	0	-1	-1	0	2620000			1				54000									4800		1600	6	1					远程武器
独步天下·妙略之胜	CustomWeapon	6215	0	-1	-1	0	2620000			1				54000									4800		1600	6	1					远程武器
独步天下·化钧之威	CustomWeapon	6216	0	-1	-1	0	2620000			1				54000									4800		1600	6	1					远程武器
独步天下·妙略胸甲	CustomArmor	14782	0	-1	-1	0	4370000			1				84400									7500		2000	6	1					上衣
独步天下·化钧劲装	CustomArmor	14783	0	-1	-1	0	4370000			1				84400									7500		2000	6	1					上衣
独步天下·妙略胸甲	CustomArmor	14784	0	-1	-1	0	4370000			1				84400									7500		2000	6	1					上衣
独步天下·化钧劲装	CustomArmor	14785	0	-1	-1	0	4370000			1				84400									7500		2000	6	1					上衣
独步天下·妙略头饰	CustomArmor	14810	0	-1	-1	0	3940000			1				76500									6800		1900	6	1					头部
独步天下·化钧顶戴	CustomArmor	14811	0	-1	-1	0	3940000			1				76500									6800		1900	6	1					头部
独步天下·妙略头饰	CustomArmor	14812	0	-1	-1	0	3940000			1				76500									6800		1900	6	1					头部
独步天下·化钧顶戴	CustomArmor	14813	0	-1	-1	0	3940000			1				76500									6800		1900	6	1					头部
独步天下·妙略腰带	CustomArmor	14866	0	-1	-1	0	3060000			1				68600									6100		1800	6	1					腰带
独步天下·化钧腰带	CustomArmor	14867	0	-1	-1	0	3060000			1				68600									6100		1800	6	1					腰带
独步天下·妙略腰带	CustomArmor	14868	0	-1	-1	0	3060000			1				68600									6100		1800	6	1					腰带
独步天下·化钧腰带	CustomArmor	14869	0	-1	-1	0	3060000			1				68600									6100		1800	6	1					腰带
独步天下·妙略护腿	CustomArmor	14894	0	-1	-1	0	4370000			1				68600									6100		1800	6	1					裤子
独步天下·化钧护腿	CustomArmor	14895	0	-1	-1	0	4370000			1				68600									6100		1800	6	1					裤子
独步天下·妙略护腿	CustomArmor	14896	0	-1	-1	0	4370000			1				68600									6100		1800	6	1					裤子
独步天下·化钧护腿	CustomArmor	14897	0	-1	-1	0	4370000			1				68600									6100		1800	6	1					裤子
独步天下·妙略战靴	CustomArmor	14922	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					鞋子
独步天下·化钧战靴	CustomArmor	14923	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					鞋子
独步天下·妙略战靴	CustomArmor	14924	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					鞋子
独步天下·化钧战靴	CustomArmor	14925	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					鞋子
独步天下·妙略护手	CustomArmor	14838	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					护臂
独步天下·化钧护手	CustomArmor	14839	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					护臂
独步天下·妙略护手	CustomArmor	14840	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					护臂
独步天下·化钧护手	CustomArmor	14841	0	-1	-1	0	3060000			1				60800									5400		1700	6	1					护臂
