Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
酉悟棍	CustomWeapon	4446	0	-1	-1	0	4290000			1			9800														1					近程武器
酉定棍	CustomWeapon	4447	0	-1	-1	0	4290000			1			9800														1					近程武器
酉林枪	CustomWeapon	4435	0	-1	-1	0	4290000			1			9800														1					近程武器
酉山枪	CustomWeapon	4438	0	-1	-1	0	4290000			1			9800														1					近程武器
酉电剑	CustomWeapon	4434	0	-1	-1	0	4290000			1			9800														1					近程武器
酉灵轻剑	CustomWeapon	4436	0	-1	-1	0	4290000			1			9800														1					近程武器
酉冰剑	CustomWeapon	4439	0	-1	-1	0	4290000			1			9800														1					近程武器
酉角双兵	CustomWeapon	4442	0	-1	-1	0	4290000			1			9800														1					近程武器
酉羽双兵	CustomWeapon	4443	0	-1	-1	0	4290000			1			9800														1					近程武器
酉枫笔	CustomWeapon	4440	0	-1	-1	0	4290000			1			9800														1					近程武器
酉柳笔	CustomWeapon	4441	0	-1	-1	0	4290000			1			9800														1					近程武器
酉灵重剑	CustomWeapon	4437	0	-1	-1	0	4290000			1			9800														1					近程武器
酉蛛虫笛	CustomWeapon	4444	0	-1	-1	0	4290000			1			9800														1					近程武器
酉蝎虫笛	CustomWeapon	4445	0	-1	-1	0	4290000			1			9800														1					近程武器
酉前弩	CustomWeapon	4832	0	-1	-1	0	4290000			1			9800														1					近程武器
酉兵弩	CustomWeapon	4833	0	-1	-1	0	4290000			1			9800														1					近程武器
酉秘刀	CustomWeapon	6021	0	-1	-1	0	4290000			1			9800														1					近程武器
酉诚刀	CustomWeapon	6022	0	-1	-1	0	4290000			1			9800														1					近程武器
酉湘棒	CustomWeapon	6890	0	-1	-1	0	4290000			1			9800														1					近程武器
酉云冠	CustomArmor	9997	0	-1	-1	0	3220000			1			7300														1					头部
酉林帽	CustomArmor	9998	0	-1	-1	0	3220000			1			7300														1					头部
酉秀簪	CustomArmor	9999	0	-1	-1	0	3220000			1			7300														1					头部
酉岳帽	CustomArmor	10000	0	-1	-1	0	3220000			1			7300														1					头部
酉雪冠	CustomArmor	10001	0	-1	-1	0	3220000			1			7300														1					头部
酉松帷	CustomArmor	10002	0	-1	-1	0	3220000			1			7300														1					头部
酉桂帷	CustomArmor	10003	0	-1	-1	0	3220000			1			7300														1					头部
酉商钗	CustomArmor	10004	0	-1	-1	0	3220000			1			7300														1					头部
酉宫钗	CustomArmor	10005	0	-1	-1	0	3220000			1			7300														1					头部
酉蟾帽	CustomArmor	10006	0	-1	-1	0	3220000			1			7300														1					头部
酉蛇帽	CustomArmor	10007	0	-1	-1	0	3220000			1			7300														1					头部
酉净笠	CustomArmor	10008	0	-1	-1	0	3220000			1			7300														1					头部
酉持笠	CustomArmor	10009	0	-1	-1	0	3220000			1			7300														1					头部
酉列遮	CustomArmor	10892	0	-1	-1	0	3220000			1			7300														1					头部
酉皆遮	CustomArmor	10893	0	-1	-1	0	3220000			1			7300														1					头部
酉乐帽	CustomArmor	14001	0	-1	-1	0	3220000			1			7300														1					头部
酉智帽	CustomArmor	14002	0	-1	-1	0	3220000			1			7300														1					头部
酉湘帽	CustomArmor	20264	0	-1	-1	0	3220000			1			7300														1					头部
酉雷束	CustomArmor	9984	0	-1	-1	0	2500000			1			5700														1					腰带
酉风带	CustomArmor	9985	0	-1	-1	0	2500000			1			5700														1					腰带
酉灵绕	CustomArmor	9986	0	-1	-1	0	2500000			1			5700														1					腰带
酉山带	CustomArmor	9987	0	-1	-1	0	2500000			1			5700														1					腰带
酉雪束	CustomArmor	9988	0	-1	-1	0	2500000			1			5700														1					腰带
酉枫绦	CustomArmor	9989	0	-1	-1	0	2500000			1			5700														1					腰带
酉柳绦	CustomArmor	9990	0	-1	-1	0	2500000			1			5700														1					腰带
酉羽结	CustomArmor	9991	0	-1	-1	0	2500000			1			5700														1					腰带
酉徵结	CustomArmor	9992	0	-1	-1	0	2500000			1			5700														1					腰带
酉蛛缠	CustomArmor	9993	0	-1	-1	0	2500000			1			5700														1					腰带
酉蛇缠	CustomArmor	9994	0	-1	-1	0	2500000			1			5700														1					腰带
酉息裹	CustomArmor	9995	0	-1	-1	0	2500000			1			5700														1					腰带
酉定裹	CustomArmor	9996	0	-1	-1	0	2500000			1			5700														1					腰带
酉辟缠	CustomArmor	10894	0	-1	-1	0	2500000			1			5700														1					腰带
酉阵缠	CustomArmor	10895	0	-1	-1	0	2500000			1			5700														1					腰带
酉察带	CustomArmor	14003	0	-1	-1	0	2500000			1			5700														1					腰带
酉顺带	CustomArmor	14004	0	-1	-1	0	2500000			1			5700														1					腰带
酉湘束带	CustomArmor	20265	0	-1	-1	0	2500000			1			5700														1					腰带
酉云裤	CustomArmor	9971	0	-1	-1	0	3580000			1			8200														1					裤子
酉火裤	CustomArmor	9972	0	-1	-1	0	3580000			1			8200														1					裤子
酉秀裤	CustomArmor	9973	0	-1	-1	0	3580000			1			8200														1					裤子
酉水裤	CustomArmor	9974	0	-1	-1	0	3580000			1			8200														1					裤子
酉霜裤	CustomArmor	9975	0	-1	-1	0	3580000			1			8200														1					裤子
酉枫裤	CustomArmor	9976	0	-1	-1	0	3580000			1			8200														1					裤子
酉柳裤	CustomArmor	9977	0	-1	-1	0	3580000			1			8200														1					裤子
酉羽裙	CustomArmor	9978	0	-1	-1	0	3580000			1			8200														1					裤子
酉羽裙	CustomArmor	9979	0	-1	-1	0	3580000			1			8200														1					裤子
酉蝶裤	CustomArmor	9980	0	-1	-1	0	3580000			1			8200														1					裤子
酉蛇裤	CustomArmor	9981	0	-1	-1	0	3580000			1			8200														1					裤子
酉息裤	CustomArmor	9982	0	-1	-1	0	3580000			1			8200														1					裤子
酉持裤	CustomArmor	9983	0	-1	-1	0	3580000			1			8200														1					裤子
酉前裤	CustomArmor	10890	0	-1	-1	0	3580000			1			8200														1					裤子
酉兵裤	CustomArmor	10891	0	-1	-1	0	3580000			1			8200														1					裤子
酉秘裤	CustomArmor	13999	0	-1	-1	0	3580000			1			8200														1					裤子
酉诚裤	CustomArmor	14000	0	-1	-1	0	3580000			1			8200														1					裤子
酉湘裤	CustomArmor	20263	0	-1	-1	0	3580000			1			8200														1					裤子
酉雾链	CustomTrinket	4238	0	-1	-1	0	1790000			1			4100														1					项链
酉火链	CustomTrinket	4239	0	-1	-1	0	1790000			1			4100														1					项链
酉灵链	CustomTrinket	4240	0	-1	-1	0	1790000			1			4100														1					项链
酉水链	CustomTrinket	4241	0	-1	-1	0	1790000			1			4100														1					项链
酉冰链	CustomTrinket	4242	0	-1	-1	0	1790000			1			4100														1					项链
酉松链	CustomTrinket	4243	0	-1	-1	0	1790000			1			4100														1					项链
酉柳链	CustomTrinket	4244	0	-1	-1	0	1790000			1			4100														1					项链
酉角圈	CustomTrinket	4245	0	-1	-1	0	1790000			1			4100														1					项链
酉宫圈	CustomTrinket	4246	0	-1	-1	0	1790000			1			4100														1					项链
酉蟾链	CustomTrinket	4247	0	-1	-1	0	1790000			1			4100														1					项链
酉蛇链	CustomTrinket	4248	0	-1	-1	0	1790000			1			4100														1					项链
酉悟串	CustomTrinket	4249	0	-1	-1	0	1790000			1			4100														1					项链
