Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
雁虞·法旨护腕	CustomArmor	13548	0	-1	-1	0	870000			1						5	4599	1									1					护臂
雁虞·永晋护手	CustomArmor	13549	0	-1	-1	0	870000			1						5	4599	1									1					护臂
雁虞·法旨兜帽	CustomArmor	13550	0	-1	-1	0	1120000			1						5	4600	1									1					头部
雁虞·永晋之冠	CustomArmor	13551	0	-1	-1	0	1120000			1						5	4600	1									1					头部
雁虞·法旨护胸	CustomArmor	13558	0	-1	-1	0	1240000			1						5	4601	1									1					上衣
雁虞·永晋长衫	CustomArmor	13559	0	-1	-1	0	1240000			1						5	4601	1									1					上衣
雁虞·法旨马靴	CustomArmor	13556	0	-1	-1	0	870000			1						5	4602	1									1					鞋子
雁虞·永晋战靴	CustomArmor	13557	0	-1	-1	0	870000			1						5	4602	1									1					鞋子
雁虞·法旨腰带	CustomArmor	13552	0	-1	-1	0	870000			1						5	4603	1									1					腰带
雁虞·永晋束腰	CustomArmor	13553	0	-1	-1	0	870000			1						5	4603	1									1					腰带
雁虞·法旨腿甲	CustomArmor	13554	0	-1	-1	0	1240000			1						5	7040	1									1					裤子
雁虞·永晋长裤	CustomArmor	13555	0	-1	-1	0	1240000			1						5	7040	1									1					裤子
剑茗·星烬护手	CustomArmor	13536	0	-1	-1	0	1300000			1						5	17974	1									1					护臂
剑茗·腾升护腕	CustomArmor	13537	0	-1	-1	0	1300000			1						5	17974	1									1					护臂
剑茗·星烬兜帽	CustomArmor	13538	0	-1	-1	0	1680000			1						5	17975	1									1					头部
剑茗·腾升风帽	CustomArmor	13539	0	-1	-1	0	1680000			1						5	17975	1									1					头部
剑茗·星烬护胸	CustomArmor	13546	0	-1	-1	0	1860000			1						5	17976	1									1					上衣
剑茗·腾升之袍	CustomArmor	13547	0	-1	-1	0	1860000			1						5	17976	1									1					上衣
剑茗·星烬护腿	CustomArmor	13542	0	-1	-1	0	1860000			1						5	17977	1									1					裤子
剑茗·腾升腿甲	CustomArmor	13543	0	-1	-1	0	1860000			1						5	17977	1									1					裤子
剑茗·星烬胫甲	CustomArmor	13544	0	-1	-1	0	1300000			1						5	17978	1									1					鞋子
剑茗·腾升战靴	CustomArmor	13545	0	-1	-1	0	1300000			1						5	17978	1									1					鞋子
剑茗·星烬腰带	CustomArmor	13540	0	-1	-1	0	1300000			1						5	17979	1									1					腰带
剑茗·腾升束带	CustomArmor	13541	0	-1	-1	0	1300000			1						5	17979	1									1					腰带
三宿·果决项链	CustomTrinket	5985	0	-1	-1	0	930000			1						5	17980	1									1					项链
三宿·琉璃法链	CustomTrinket	5986	0	-1	-1	0	930000			1						5	17980	1									1					项链
三宿·净心扳指	CustomTrinket	5981	0	-1	-1	0	930000			1						5	17981	1									1					戒指
三宿·泰黎玉戒	CustomTrinket	5982	0	-1	-1	0	930000			1						5	17981	1									1					戒指
三宿·果决之戒	CustomTrinket	5983	0	-1	-1	0	930000			1						5	17982	1									1					戒指
三宿·琉璃法戒	CustomTrinket	5984	0	-1	-1	0	930000			1						5	17982	1									1					戒指
荻魂·圣痕护胸	CustomArmor	13560	0	-1	-1	0	3140000			1						5	17983	1									1					上衣
荻魂·灵动战衣	CustomArmor	13561	0	-1	-1	0	3140000			1						5	17983	1									1					上衣
荻魂·圣痕腰带	CustomArmor	13562	0	-1	-1	0	2200000			1						5	17984	1									1					腰带
荻魂·灵动束腰	CustomArmor	13563	0	-1	-1	0	2200000			1						5	17984	1									1					腰带
荻魂·圣痕马靴	CustomArmor	13564	0	-1	-1	0	2200000			1						5	17985	1									1					鞋子
荻魂·灵动战靴	CustomArmor	13565	0	-1	-1	0	2200000			1						5	17985	1									1					鞋子
