Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
雁虞·姑墨护腕	CustomArmor	2539	0	-1	-1	0	870000			1						5	4599	1									1					护臂
雁虞·周南护腕	CustomArmor	2533	0	-1	-1	0	870000			1						5	4599	1									1					护臂
雁虞·姑墨帽	CustomArmor	2813	0	-1	-1	0	1120000			1						5	4600	1									1					头部
雁虞·周南帽	CustomArmor	2807	0	-1	-1	0	1120000			1						5	4600	1									1					头部
雁虞·姑墨衫	CustomArmor	3095	0	-1	-1	0	1240000			1						5	4601	1									1					上衣
雁虞·周南衫	CustomArmor	3089	0	-1	-1	0	1240000			1						5	4601	1									1					上衣
雁虞·姑墨鞋	CustomArmor	3668	0	-1	-1	0	870000			1						5	4602	1									1					鞋子
雁虞·周南鞋	CustomArmor	3662	0	-1	-1	0	870000			1						5	4602	1									1					鞋子
雁虞·姑墨围腰	CustomArmor	3933	0	-1	-1	0	870000			1						5	4603	1									1					腰带
雁虞·周南围腰	CustomArmor	3927	0	-1	-1	0	870000			1						5	4603	1									1					腰带
剑茗·听笙护腕	CustomArmor	237	0	-1	-1	0	1300000			1						5	6401	1									1					护臂
剑茗·醉月护腕	CustomArmor	238	0	-1	-1	0	1300000			1						5	6401	1									1					护臂
剑茗·醉月帽	CustomArmor	395	0	-1	-1	0	1680000			1						5	6402	1									1					头部
剑茗·听笙帽	CustomArmor	396	0	-1	-1	0	1680000			1						5	6402	1									1					头部
剑茗·听笙衫	CustomArmor	578	0	-1	-1	0	1860000			1						5	6403	1									1					上衣
剑茗·醉月衫	CustomArmor	581	0	-1	-1	0	1860000			1						5	6403	1									1					上衣
剑茗·听笙裤	CustomArmor	771	0	-1	-1	0	1860000			1						5	6404	1									1					裤子
剑茗·醉月裤	CustomArmor	774	0	-1	-1	0	1860000			1						5	6404	1									1					裤子
剑茗·听笙靴	CustomArmor	957	0	-1	-1	0	1300000			1						5	6405	1									1					鞋子
剑茗·醉月靴	CustomArmor	960	0	-1	-1	0	1300000			1						5	6405	1									1					鞋子
剑茗·醉月围腰	CustomArmor	1112	0	-1	-1	0	1300000			1						5	6406	1									1					腰带
剑茗·听笙围腰	CustomArmor	1113	0	-1	-1	0	1300000			1						5	6406	1									1					腰带
雁虞·周南裤	CustomArmor	5262	0	-1	-1	0	1240000			1						5	7040	1									1					裤子
雁虞·姑墨裤	CustomArmor	5263	0	-1	-1	0	1240000			1						5	7040	1									1					裤子
三宿·燕歌链	CustomTrinket	2216	0	-1	-1	0	930000			1						5	7171	1									1					项链
三宿·伯鸾链	CustomTrinket	2219	0	-1	-1	0	930000			1						5	7171	1									1					项链
三宿·燕歌戒	CustomTrinket	2187	0	-1	-1	0	930000			1						5	7176	1									1					戒指
三宿·伯鸾戒	CustomTrinket	2190	0	-1	-1	0	930000			1						5	7176	1									1					戒指
三宿·燕歌印	CustomTrinket	2198	0	-1	-1	0	930000			1						5	7177	1									1					戒指
三宿·伯鸾印	CustomTrinket	2201	0	-1	-1	0	930000			1						5	7177	1									1					戒指
荻魂·暮圣衣	CustomArmor	6279	0	-1	-1	0	3140000			1						5	7732	1									1					上衣
荻魂·血贤衣	CustomArmor	6274	0	-1	-1	0	3140000			1						5	7732	1									1					上衣
荻魂·暮圣带	CustomArmor	6275	0	-1	-1	0	2200000			1						5	7733	1									1					腰带
荻魂·血贤束	CustomArmor	6276	0	-1	-1	0	2200000			1						5	7733	1									1					腰带
荻魂·暮圣履	CustomArmor	6277	0	-1	-1	0	2200000			1						5	7734	1									1					鞋子
荻魂·血贤靴	CustomArmor	6278	0	-1	-1	0	2200000			1						5	7734	1									1					鞋子
