Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
瀚海雄风·冲虚护手	CustomArmor	5775	0	-1	-1	0	1300000			1						5	6407	1									1					护臂
瀚海雄风·玉虚护手	CustomArmor	5787	0	-1	-1	0	1300000			1						5	6407	1									1					护臂
瀚海雄风·冲虚护手	CustomArmor	6096	0	-1	-1	0	1300000			1						5	6407	1									1					护臂
瀚海雄风·玉虚护手	CustomArmor	6108	0	-1	-1	0	1300000			1						5	6407	1									1					护臂
瀚海雄风·冲虚冠	CustomArmor	5773	0	-1	-1	0	1680000			1						5	6408	1									1					头部
瀚海雄风·玉虚冠	CustomArmor	5785	0	-1	-1	0	1680000			1						5	6408	1									1					头部
瀚海雄风·冲虚冠	CustomArmor	6094	0	-1	-1	0	1680000			1						5	6408	1									1					头部
瀚海雄风·玉虚冠	CustomArmor	6106	0	-1	-1	0	1680000			1						5	6408	1									1					头部
瀚海雄风·冲虚衣	CustomArmor	5770	0	-1	-1	0	1860000			1						5	6409	1									1					上衣
瀚海雄风·玉虚衣	CustomArmor	5782	0	-1	-1	0	1860000			1						5	6409	1									1					上衣
瀚海雄风·冲虚衣	CustomArmor	6091	0	-1	-1	0	1860000			1						5	6409	1									1					上衣
瀚海雄风·玉虚衣	CustomArmor	6103	0	-1	-1	0	1860000			1						5	6409	1									1					上衣
瀚海雄风·冲虚裤	CustomArmor	5771	0	-1	-1	0	1860000			1						5	6410	1									1					裤子
瀚海雄风·玉虚裤	CustomArmor	5783	0	-1	-1	0	1860000			1						5	6410	1									1					裤子
瀚海雄风·冲虚裤	CustomArmor	6092	0	-1	-1	0	1860000			1						5	6410	1									1					裤子
瀚海雄风·玉虚裤	CustomArmor	6104	0	-1	-1	0	1860000			1						5	6410	1									1					裤子
瀚海雄风·冲虚靴	CustomArmor	5774	0	-1	-1	0	1300000			1						5	6411	1									1					鞋子
瀚海雄风·玉虚靴	CustomArmor	5786	0	-1	-1	0	1300000			1						5	6411	1									1					鞋子
瀚海雄风·冲虚靴	CustomArmor	6095	0	-1	-1	0	1300000			1						5	6411	1									1					鞋子
瀚海雄风·玉虚靴	CustomArmor	6107	0	-1	-1	0	1300000			1						5	6411	1									1					鞋子
瀚海雄风·冲虚腰带	CustomArmor	5772	0	-1	-1	0	1300000			1						5	6412	1									1					腰带
瀚海雄风·玉虚腰带	CustomArmor	5784	0	-1	-1	0	1300000			1						5	6412	1									1					腰带
瀚海雄风·冲虚腰带	CustomArmor	6093	0	-1	-1	0	1300000			1						5	6412	1									1					腰带
瀚海雄风·玉虚腰带	CustomArmor	6105	0	-1	-1	0	1300000			1						5	6412	1									1					腰带
