Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
瀚海雄风·怀袖护手	CustomArmor	5805	0	-1	-1	0	1300000			1						5	6395	1									1					护臂
瀚海雄风·栖凤护手	CustomArmor	5817	0	-1	-1	0	1300000			1						5	6395	1									1					护臂
瀚海雄风·怀袖护手	CustomArmor	6126	0	-1	-1	0	1300000			1						5	6395	1									1					护臂
瀚海雄风·栖凤护手	CustomArmor	6138	0	-1	-1	0	1300000			1						5	6395	1									1					护臂
瀚海雄风·怀袖冠	CustomArmor	5803	0	-1	-1	0	1680000			1						5	6396	1									1					头部
瀚海雄风·栖凤冠	CustomArmor	5815	0	-1	-1	0	1680000			1						5	6396	1									1					头部
瀚海雄风·怀袖冠	CustomArmor	6124	0	-1	-1	0	1680000			1						5	6396	1									1					头部
瀚海雄风·栖凤冠	CustomArmor	6136	0	-1	-1	0	1680000			1						5	6396	1									1					头部
瀚海雄风·怀袖衣	CustomArmor	5800	0	-1	-1	0	1860000			1						5	6397	1									1					上衣
瀚海雄风·栖凤衣	CustomArmor	5812	0	-1	-1	0	1860000			1						5	6397	1									1					上衣
瀚海雄风·怀袖衣	CustomArmor	6121	0	-1	-1	0	1860000			1						5	6397	1									1					上衣
瀚海雄风·栖凤衣	CustomArmor	6133	0	-1	-1	0	1860000			1						5	6397	1									1					上衣
瀚海雄风·怀袖裤	CustomArmor	5801	0	-1	-1	0	1860000			1						5	6398	1									1					裤子
瀚海雄风·栖凤裤	CustomArmor	5813	0	-1	-1	0	1860000			1						5	6398	1									1					裤子
瀚海雄风·怀袖裤	CustomArmor	6122	0	-1	-1	0	1860000			1						5	6398	1									1					裤子
瀚海雄风·栖凤裤	CustomArmor	6134	0	-1	-1	0	1860000			1						5	6398	1									1					裤子
瀚海雄风·怀袖靴	CustomArmor	5804	0	-1	-1	0	1300000			1						5	6399	1									1					鞋子
瀚海雄风·栖凤靴	CustomArmor	5816	0	-1	-1	0	1300000			1						5	6399	1									1					鞋子
瀚海雄风·怀袖靴	CustomArmor	6125	0	-1	-1	0	1300000			1						5	6399	1									1					鞋子
瀚海雄风·栖凤靴	CustomArmor	6137	0	-1	-1	0	1300000			1						5	6399	1									1					鞋子
瀚海雄风·怀袖腰带	CustomArmor	5802	0	-1	-1	0	1300000			1						5	6400	1									1					腰带
瀚海雄风·栖凤腰带	CustomArmor	5814	0	-1	-1	0	1300000			1						5	6400	1									1					腰带
瀚海雄风·怀袖腰带	CustomArmor	6123	0	-1	-1	0	1300000			1						5	6400	1									1					腰带
瀚海雄风·栖凤腰带	CustomArmor	6135	0	-1	-1	0	1300000			1						5	6400	1									1					腰带
