Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
阿难柱	CustomWeapon	3284	0	-1	-1	0	3620000			1						5	7161	190									1					近程武器
罗怙杖	CustomWeapon	3285	0	-1	-1	0	3620000			1						5	7161	190									1					近程武器
剑茗·度世袍	CustomArmor	1892	0	-1	-1	0	1860000			1						5	7161	160									1					上衣
剑茗·净梵袍	CustomArmor	1893	0	-1	-1	0	1860000			1						5	7161	160									1					上衣
剑茗·度世笠	CustomArmor	1877	0	-1	-1	0	1680000			1						5	7161	80									1					头部
剑茗·净梵笠	CustomArmor	1878	0	-1	-1	0	1680000			1						5	7161	80									1					头部
剑茗·度世围腰	CustomArmor	1937	0	-1	-1	0	1300000			1						5	7161	120									1					腰带
剑茗·净梵围腰	CustomArmor	1938	0	-1	-1	0	1300000			1						5	7161	120									1					腰带
剑茗·度世襟	CustomArmor	1907	0	-1	-1	0	1860000			1						5	7161	120									1					裤子
剑茗·净梵襟	CustomArmor	1908	0	-1	-1	0	1860000			1						5	7161	120									1					裤子
剑茗·度世鞋	CustomArmor	1923	0	-1	-1	0	1300000			1						5	7161	80									1					鞋子
剑茗·净梵鞋	CustomArmor	1924	0	-1	-1	0	1300000			1						5	7161	80									1					鞋子
剑茗·度世腕箍	CustomArmor	1863	0	-1	-1	0	1300000			1						5	7161	40									1					护臂
剑茗·净梵腕箍	CustomArmor	1864	0	-1	-1	0	1300000			1						5	7161	40									1					护臂
三宿·捕蝉链	CustomTrinket	2222	0	-1	-1	0	930000			1						5	7161	100									1					项链
三宿·苍崖链	CustomTrinket	2223	0	-1	-1	0	930000			1						5	7161	100									1					项链
三宿·捕蝉戒	CustomTrinket	2193	0	-1	-1	0	930000			1						5	7161	100									1					戒指
三宿·捕蝉印	CustomTrinket	2204	0	-1	-1	0	930000			1						5	7161	100									1					戒指
三宿·苍崖戒	CustomTrinket	2194	0	-1	-1	0	930000			1						5	7161	100									1					戒指
三宿·苍崖印	CustomTrinket	2205	0	-1	-1	0	930000			1						5	7161	100									1					戒指
龙魂谱	Other	5013	0	-1	1	0	8000000			1						5	7161	30									0					
天煞兵器谱兵器碎片	Other	5012	0	-1	1	0	10000000			1						5	7161	40									0					
天工图：恨铁	Other	6329	0	-1	1	0	25000000			1						5	7161	150									0					
天工图：鬼见愁	Other	6330	0	-1	1	0	25000000			1						5	7161	150									0					
