Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
°Áî¸	CustomWeapon	3279	0	-1	-1	0	3620000			1						5	7161	190									1					½ü³ÌÎäÆ÷
ê¯É·	CustomWeapon	3280	0	-1	-1	0	3620000			1						5	7161	190									1					½ü³ÌÎäÆ÷
½£Üø¡¤·æïáîø	CustomArmor	579	0	-1	-1	0	1860000			1						5	7161	160									1					ÉÏÒÂ
½£Üø¡¤Ğ¥ÀÇîø	CustomArmor	580	0	-1	-1	0	1860000			1						5	7161	160									1					ÉÏÒÂ
½£Üø¡¤·æïá¿ø	CustomArmor	393	0	-1	-1	0	1680000			1						5	7161	80									1					Í·²¿
½£Üø¡¤Ğ¥ÀÇ¿ø	CustomArmor	394	0	-1	-1	0	1680000			1						5	7161	80									1					Í·²¿
½£Üø¡¤Ğ¥ÀÇÑü´ø	CustomArmor	1110	0	-1	-1	0	1300000			1						5	7161	120									1					Ñü´ø
½£Üø¡¤·æïáÑü´ø	CustomArmor	1111	0	-1	-1	0	1300000			1						5	7161	120									1					Ñü´ø
½£Üø¡¤·æïá¼×	CustomArmor	772	0	-1	-1	0	1860000			1						5	7161	120									1					¿ã×Ó
½£Üø¡¤Ğ¥ÀÇ¼×	CustomArmor	773	0	-1	-1	0	1860000			1						5	7161	120									1					¿ã×Ó
½£Üø¡¤·æïáÑ¥	CustomArmor	958	0	-1	-1	0	1300000			1						5	7161	80									1					Ğ¬×Ó
½£Üø¡¤Ğ¥ÀÇÑ¥	CustomArmor	959	0	-1	-1	0	1300000			1						5	7161	80									1					Ğ¬×Ó
½£Üø¡¤·æïá»¤±Û	CustomArmor	239	0	-1	-1	0	1300000			1						5	7161	40									1					»¤±Û
½£Üø¡¤Ğ¥ÀÇ»¤±Û	CustomArmor	240	0	-1	-1	0	1300000			1						5	7161	40									1					»¤±Û
ÈıËŞ¡¤³¤Ó§Á´	CustomTrinket	2218	0	-1	-1	0	930000			1						5	7161	100									1					ÏîÁ´
ÈıËŞ¡¤ĞÜÇşÁ´	CustomTrinket	2217	0	-1	-1	0	930000			1						5	7161	100									1					ÏîÁ´
ÈıËŞ¡¤³¤Ó§½ä	CustomTrinket	2189	0	-1	-1	0	930000			1						5	7161	100									1					½äÖ¸
ÈıËŞ¡¤³¤Ó§Ó¡	CustomTrinket	2200	0	-1	-1	0	930000			1						5	7161	100									1					½äÖ¸
ÈıËŞ¡¤ĞÜÇş½ä	CustomTrinket	2188	0	-1	-1	0	930000			1						5	7161	100									1					½äÖ¸
ÈıËŞ¡¤ĞÜÇşÓ¡	CustomTrinket	2199	0	-1	-1	0	930000			1						5	7161	100									1					½äÖ¸
Áú»êÆ×	Other	5013	0	-1	1	0	8000000			1						5	7161	30									0					
ÌìÉ·±øÆ÷Æ×±øÆ÷ËéÆ¬	Other	5012	0	-1	1	0	10000000			1						5	7161	40									0					
Ìì¹¤Í¼£ºÆßÉ±µ¶	Other	6331	0	-1	1	0	25000000			1						5	7161	150									0					
Ìì¹¤Í¼£ºÁ¤Èª	Other	6332	0	-1	1	0	25000000			1						5	7161	150									0					
