Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
任侠·尘斯护腕	CustomArmor	2625	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·翰雄护臂	CustomArmor	2626	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·慧瞳腕箍	CustomArmor	2631	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·妙影护腕	CustomArmor	2624	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·萍踪护手	CustomArmor	2632	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·轻胡护臂	CustomArmor	2627	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·倾城袖	CustomArmor	2629	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·倾国袖	CustomArmor	2628	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·卿狂护手	CustomArmor	2633	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·夜摩腕箍	CustomArmor	2630	0	-1	-1	0	2140000			1						5	4610	1									1					护臂
任侠·尘斯帽	CustomArmor	1884	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·翰雄盔	CustomArmor	403	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·慧瞳笠	CustomArmor	1887	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·妙影帽	CustomArmor	1883	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·萍踪冠	CustomArmor	405	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·轻胡盔	CustomArmor	1888	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·倾城钗	CustomArmor	1885	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·倾国钗	CustomArmor	406	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·卿狂冠	CustomArmor	404	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·夜摩笠	CustomArmor	1886	0	-1	-1	0	2750000			1						5	4611	1									1					头部
任侠·尘斯衫	CustomArmor	3204	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·翰雄铠	CustomArmor	3202	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·慧瞳袍	CustomArmor	3208	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·妙影衫	CustomArmor	3201	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·萍踪衣	CustomArmor	3209	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·轻胡铠	CustomArmor	3203	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·倾城裳	CustomArmor	3206	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·倾国裳	CustomArmor	3205	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·卿狂衣	CustomArmor	3210	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·夜摩袍	CustomArmor	3207	0	-1	-1	0	3060000			1						5	4612	1									1					上衣
任侠·尘斯裤	CustomArmor	3477	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·翰雄甲	CustomArmor	3475	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·慧瞳襟	CustomArmor	3481	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·妙影裤	CustomArmor	3474	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·萍踪裤	CustomArmor	3482	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·轻胡甲	CustomArmor	3476	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·倾城裙	CustomArmor	3479	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·倾国裙	CustomArmor	3478	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·卿狂裤	CustomArmor	3483	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·夜摩襟	CustomArmor	3480	0	-1	-1	0	3060000			1						5	4613	1									1					裤子
任侠·尘斯靴	CustomArmor	3740	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·翰雄靴	CustomArmor	3748	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·慧瞳鞋	CustomArmor	3744	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·妙影靴	CustomArmor	3746	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·萍踪履	CustomArmor	3749	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·轻胡靴	CustomArmor	3745	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·倾城踏	CustomArmor	3741	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·倾国踏	CustomArmor	3742	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·卿狂履	CustomArmor	3747	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·夜摩鞋	CustomArmor	3743	0	-1	-1	0	2140000			1						5	4614	1									1					鞋子
任侠·尘斯围腰	CustomArmor	4063	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·翰雄腰带	CustomArmor	4062	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·慧瞳围腰	CustomArmor	4068	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·妙影围腰	CustomArmor	4064	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·萍踪护腰	CustomArmor	4069	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·轻胡腰带	CustomArmor	4061	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·倾城裹腰	CustomArmor	4066	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·倾国裹腰	CustomArmor	4065	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·卿狂护腰	CustomArmor	4070	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
任侠·夜摩围腰	CustomArmor	4067	0	-1	-1	0	2140000			1						5	4615	1									1					腰带
