Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
壮志凌云·碧城衣	CustomArmor	8747	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·碧城衣	CustomArmor	8748	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·碧辰袍	CustomArmor	8749	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·碧辰袍	CustomArmor	8750	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·扶风衫	CustomArmor	8751	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·扶风衫	CustomArmor	8752	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·娥魄袍	CustomArmor	8753	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·娥魄袍	CustomArmor	8754	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·绿漪袍	CustomArmor	8755	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·绿漪袍	CustomArmor	8756	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·三惠禅衣	CustomArmor	8757	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·三惠禅衣	CustomArmor	8758	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·扬烈战衣	CustomArmor	8759	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·扬烈战衣	CustomArmor	8760	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·桓律衣	CustomArmor	8761	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·桓律衣	CustomArmor	8762	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·信道衣	CustomArmor	8763	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·信道衣	CustomArmor	8764	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·谴怒衫	CustomArmor	8765	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·谴怒衫	CustomArmor	8766	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·雾杳袍	CustomArmor	8767	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·雾杳袍	CustomArmor	8768	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·高勋战甲	CustomArmor	10768	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·常清轻甲	CustomArmor	10769	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·高勋战甲	CustomArmor	10770	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
壮志凌云·常清轻甲	CustomArmor	10771	0	-1	-1	0	3420000			1						7	4589	1									0					上衣
