Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
力挽狂澜·冶天冠	CustomArmor	8945	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·冶天冠	CustomArmor	8946	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·玄诰冠	CustomArmor	8947	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·玄诰冠	CustomArmor	8948	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·繁阳冠	CustomArmor	8949	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·繁阳冠	CustomArmor	8950	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·湘灵头饰	CustomArmor	8951	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·湘灵头饰	CustomArmor	8952	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·照月帽	CustomArmor	8953	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·照月帽	CustomArmor	8954	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·旭光笠	CustomArmor	8955	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·旭光笠	CustomArmor	8956	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·奇袭战盔	CustomArmor	8957	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·奇袭战盔	CustomArmor	8958	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·吉甫帽	CustomArmor	8959	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·吉甫帽	CustomArmor	8960	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·慎微冠	CustomArmor	8961	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·慎微冠	CustomArmor	8962	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·蝎玄帽	CustomArmor	8963	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·蝎玄帽	CustomArmor	8964	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·桂殿冠	CustomArmor	8965	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·桂殿冠	CustomArmor	8966	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·述尊面甲	CustomArmor	10800	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·南仲顶戴	CustomArmor	10801	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·述尊面甲	CustomArmor	10802	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
力挽狂澜·南仲顶戴	CustomArmor	10803	0	-1	-1	0	3250000			1				18900		5	5242	20									0					头部
