Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
Í¼Ñù£ºÏ¸²¼ÐÜÆ¤Ñ¥	Other	2323	0	-1	1	0	2920			1																	0					
ÃØ·½£ºÉËÀÇÍ·½í	Other	2329	0	-1	1	0	6950			1																	0					
Í¼Ñù£ºÁ÷ÔÆÎèÒÂ	Other	2330	0	-1	1	0	7540			1																	0					
Í¼Ñù£ºÍÞÍÞ	Other	2346	0	-1	1	0	60880			1																	0					
Ê³Æ×£º¹ð»¨¸â	Other	2217	0	-1	1	0	5790			1																	0					
Ê³Æ×£ºôä´äÉÕÂô	Other	2219	0	-1	1	0	6030			1																	0					
Í¼Ñù£º¹ø²ù	Other	2486	0	-1	1		3550			1																	0					
Í¼Ñù£ºÁåîõ	Other	2487	0	-1	1	0	3550			1																	0					
ÃØ·½£ºÇàÍ­ÀÇº¿¹Ú	Other	2489	0	-1	1	0	11670			1																	0					
ÃØ·½£ºÇàÍ­»¢ÆË¼×	Other	2491	0	-1	1	0	14920			1																	0					
