Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
南皇·琼霄鸿鹄衣	CustomArmor	7785	0	-1	-1	0	3820000			1											9700						1					上衣
南皇·云霄青鸾衫	CustomArmor	7784	0	-1	-1	0	3820000			1											9700						1					上衣
烛天·瑶碧辉天裳	CustomArmor	11867	0	-1	-1	0	4020000			1											24300						1					上衣
烛天·流英浮萍衫	CustomArmor	11868	0	-1	-1	0	4020000			1											24300						1					上衣
破军·谧语雪衣	CustomArmor	14361	0	-1	-1	0	4250000			1											35100						1					上衣
破军·姬璇霜衫	CustomArmor	14362	0	-1	-1	0	4250000			1											35100						1					上衣
南皇·琼霄鸿鹄帽	CustomArmor	7837	0	-1	-1	0	3430000			1											8700						1					头部
南皇·云霄青鸾冠	CustomArmor	7836	0	-1	-1	0	3430000			1											8700						1					头部
烛天·瑶碧辉天钗	CustomArmor	11837	0	-1	-1	0	3610000			1											21800						1					头部
烛天·流英浮萍冠	CustomArmor	11838	0	-1	-1	0	3610000			1											21800						1					头部
破军·谧语珠钗	CustomArmor	14327	0	-1	-1	0	3830000			1											31500						1					头部
破军·姬璇头饰	CustomArmor	14328	0	-1	-1	0	3830000			1											31500						1					头部
南皇·琼霄鸿鹄带	CustomArmor	7824	0	-1	-1	0	2670000			1											6700						1					腰带
南皇·云霄青鸾索	CustomArmor	7823	0	-1	-1	0	2670000			1											6700						1					腰带
烛天·瑶碧辉天带	CustomArmor	11912	0	-1	-1	0	2810000			1											17000						1					腰带
烛天·流英浮萍带	CustomArmor	11913	0	-1	-1	0	2810000			1											17000						1					腰带
破军·谧语腰带	CustomArmor	14412	0	-1	-1	0	2980000			1											24500						1					腰带
破军·姬璇束腰	CustomArmor	14413	0	-1	-1	0	2980000			1											24500						1					腰带
南皇·琼霄鸿鹄裙	CustomArmor	7798	0	-1	-1	0	3820000			1											9700						1					裤子
南皇·云霄青鸾裤	CustomArmor	7797	0	-1	-1	0	3820000			1											9700						1					裤子
烛天·瑶碧辉天裙	CustomArmor	11882	0	-1	-1	0	4020000			1											24300						1					裤子
烛天·流英浮萍裙	CustomArmor	11883	0	-1	-1	0	4020000			1											24300						1					裤子
破军·谧语星裙	CustomArmor	14378	0	-1	-1	0	4250000			1											35100						1					裤子
破军·姬璇丝裳	CustomArmor	14379	0	-1	-1	0	4250000			1											35100						1					裤子
南皇·琼霄鸿鹄履	CustomArmor	7811	0	-1	-1	0	2670000			1											6700						1					鞋子
南皇·云霄青鸾靴	CustomArmor	7810	0	-1	-1	0	2670000			1											6700						1					鞋子
烛天·瑶碧辉天靴	CustomArmor	11897	0	-1	-1	0	2810000			1											17000						1					鞋子
烛天·流英浮萍靴	CustomArmor	11898	0	-1	-1	0	2810000			1											17000						1					鞋子
破军·谧语软履	CustomArmor	14395	0	-1	-1	0	2980000			1											24500						1					鞋子
破军·姬璇裹足	CustomArmor	14396	0	-1	-1	0	2980000			1											24500						1					鞋子
南皇·琼霄鸿鹄腕	CustomArmor	7772	0	-1	-1	0	2670000			1											6700						1					护臂
南皇·云霄青鸾握	CustomArmor	7771	0	-1	-1	0	2670000			1											6700						1					护臂
烛天·瑶碧辉天袖	CustomArmor	11852	0	-1	-1	0	2810000			1											17000						1					护臂
烛天·流英浮萍袖	CustomArmor	11853	0	-1	-1	0	2810000			1											17000						1					护臂
破军·谧语云袖	CustomArmor	14344	0	-1	-1	0	2980000			1											24500						1					护臂
破军·姬璇束腕	CustomArmor	14345	0	-1	-1	0	2980000			1											24500						1					护臂
百战·幽情暗寄链	CustomTrinket	4652	0	-1	-1	0	1910000			1											6100						1					项链
百战·泽玉含姿链	CustomTrinket	4653	0	-1	-1	0	1910000			1											6100						1					项链
千缘·歌断梨云链	CustomTrinket	5503	0	-1	-1	0	2010000			1											17500						1					项链
千缘·冰泉轻泻链	CustomTrinket	5502	0	-1	-1	0	2010000			1											17500						1					项链
百战·幽情暗寄戒	CustomTrinket	4637	0	-1	-1	0	1910000			1											6100						1					戒指
百战·泽玉含姿戒	CustomTrinket	4638	0	-1	-1	0	1910000			1											6100						1					戒指
百战·幽情暗寄环	CustomTrinket	4667	0	-1	-1	0	1910000			1											6100						1					戒指
百战·泽玉含姿环	CustomTrinket	4668	0	-1	-1	0	1910000			1											6100						1					戒指
千缘·歌断梨云环	CustomTrinket	5518	0	-1	-1	0	2010000			1											17500						1					戒指
千缘·冰泉轻泻环	CustomTrinket	5517	0	-1	-1	0	2010000			1											17500						1					戒指
千缘·歌断梨云戒	CustomTrinket	5533	0	-1	-1	0	2010000			1											17500						1					戒指
千缘·冰泉轻泻戒	CustomTrinket	5532	0	-1	-1	0	2010000			1											17500						1					戒指
