Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
南皇·龙祖战甲	CustomArmor	10542	0	-1	-1	0	3820000			1											9700						1					上衣
南皇·凤逻战衣	CustomArmor	10560	0	-1	-1	0	3820000			1											9700						1					上衣
烛天·霜月辉耀衫	CustomArmor	11876	0	-1	-1	0	4020000			1											24300						1					上衣
烛天·星火荧煌衣	CustomArmor	11877	0	-1	-1	0	4020000			1											24300						1					上衣
破军·瀚狼护胸	CustomArmor	14370	0	-1	-1	0	4250000			1											35100						1					上衣
破军·岚鹰胸甲	CustomArmor	14371	0	-1	-1	0	4250000			1											35100						1					上衣
南皇·龙祖面甲	CustomArmor	10540	0	-1	-1	0	3430000			1											8700						1					头部
南皇·凤逻战盔	CustomArmor	10558	0	-1	-1	0	3430000			1											8700						1					头部
烛天·霜月辉耀帽	CustomArmor	11846	0	-1	-1	0	3610000			1											21800						1					头部
烛天·星火荧煌冠	CustomArmor	11847	0	-1	-1	0	3610000			1											21800						1					头部
破军·瀚狼古冠	CustomArmor	14336	0	-1	-1	0	3830000			1											31500						1					头部
破军·岚鹰顶戴	CustomArmor	14337	0	-1	-1	0	3830000			1											31500						1					头部
南皇·龙祖束腰	CustomArmor	10544	0	-1	-1	0	2670000			1											6700						1					腰带
南皇·凤逻护腰	CustomArmor	10562	0	-1	-1	0	2670000			1											6700						1					腰带
烛天·霜月辉耀带	CustomArmor	11921	0	-1	-1	0	2810000			1											17000						1					腰带
烛天·星火荧煌带	CustomArmor	11922	0	-1	-1	0	2810000			1											17000						1					腰带
破军·瀚狼裹腰	CustomArmor	14421	0	-1	-1	0	2980000			1											24500						1					腰带
破军·岚鹰束带	CustomArmor	14422	0	-1	-1	0	2980000			1											24500						1					腰带
南皇·龙祖护腿	CustomArmor	10543	0	-1	-1	0	3820000			1											9700						1					裤子
南皇·凤逻腿甲	CustomArmor	10561	0	-1	-1	0	3820000			1											9700						1					裤子
烛天·霜月辉耀裤	CustomArmor	11891	0	-1	-1	0	4020000			1											24300						1					裤子
烛天·星火荧煌裤	CustomArmor	11892	0	-1	-1	0	4020000			1											24300						1					裤子
破军·瀚狼护腿	CustomArmor	14387	0	-1	-1	0	4250000			1											35100						1					裤子
破军·岚鹰腿甲	CustomArmor	14388	0	-1	-1	0	4250000			1											35100						1					裤子
南皇·龙祖之踏	CustomArmor	10545	0	-1	-1	0	2670000			1											6700						1					鞋子
南皇·凤逻战靴	CustomArmor	10563	0	-1	-1	0	2670000			1											6700						1					鞋子
烛天·霜月辉耀靴	CustomArmor	11906	0	-1	-1	0	2810000			1											17000						1					鞋子
烛天·星火荧煌靴	CustomArmor	11907	0	-1	-1	0	2810000			1											17000						1					鞋子
破军·瀚狼战靴	CustomArmor	14404	0	-1	-1	0	2980000			1											24500						1					鞋子
破军·岚鹰胫甲	CustomArmor	14405	0	-1	-1	0	2980000			1											24500						1					鞋子
南皇·龙祖之握	CustomArmor	10541	0	-1	-1	0	2670000			1											6700						1					护臂
南皇·凤逻护手	CustomArmor	10559	0	-1	-1	0	2670000			1											6700						1					护臂
烛天·霜月辉耀束腕	CustomArmor	11861	0	-1	-1	0	2810000			1											17000						1					护臂
烛天·星火荧煌护手	CustomArmor	11862	0	-1	-1	0	2810000			1											17000						1					护臂
破军·瀚狼护手	CustomArmor	14353	0	-1	-1	0	2980000			1											24500						1					护臂
破军·岚鹰腕甲	CustomArmor	14354	0	-1	-1	0	2980000			1											24500						1					护臂
百战·探海屠龙链	CustomTrinket	4648	0	-1	-1	0	1910000			1											6100						1					项链
百战·大漠飞沙链	CustomTrinket	4649	0	-1	-1	0	1910000			1											6100						1					项链
千缘·狙候终厄链	CustomTrinket	5512	0	-1	-1	0	2010000			1											17500						1					项链
千缘·化钧高妙链	CustomTrinket	5511	0	-1	-1	0	2010000			1											17500						1					项链
百战·探海屠龙戒	CustomTrinket	4633	0	-1	-1	0	1910000			1											6100						1					戒指
百战·大漠飞沙戒	CustomTrinket	4634	0	-1	-1	0	1910000			1											6100						1					戒指
百战·探海屠龙环	CustomTrinket	4663	0	-1	-1	0	1910000			1											6100						1					戒指
百战·大漠飞沙环	CustomTrinket	4664	0	-1	-1	0	1910000			1											6100						1					戒指
千缘·狙候终厄环	CustomTrinket	5527	0	-1	-1	0	2010000			1											17500						1					戒指
千缘·化钧高妙环	CustomTrinket	5526	0	-1	-1	0	2010000			1											17500						1					戒指
千缘·狙候终厄戒	CustomTrinket	5542	0	-1	-1	0	2010000			1											17500						1					戒指
千缘·化钧高妙戒	CustomTrinket	5541	0	-1	-1	0	2010000			1											17500						1					戒指
