Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
³¿ĞÇÁ´	CustomTrinket	2029	0	-1	-1	4	400000			1																	1					ÏîÁ´
ÃÎè¯Á´	CustomTrinket	2030	0	-1	-1	4	400000			1																	1					ÏîÁ´
¾»»ÛÁ´	CustomTrinket	2031	0	-1	-1	4	400000			1																	1					ÏîÁ´
»ÛÇåÁ´	CustomTrinket	2032	0	-1	-1	4	400000			1																	1					ÏîÁ´
»êÓ¨Á´	CustomTrinket	2033	0	-1	-1	4	400000			1																	1					ÏîÁ´
ÓñÇåÁ´	CustomTrinket	2034	0	-1	-1	4	400000			1																	1					ÏîÁ´
¶·ÕóÁ´	CustomTrinket	2035	0	-1	-1	4	400000			1																	1					ÏîÁ´
É£»êÁ´	CustomTrinket	2065	0	-1	-1	4	400000			1																	1					ÏîÁ´
´ºÑ©Á´	CustomTrinket	2071	0	-1	-1	4	400000			1																	1					ÏîÁ´
ÓñÇå½ä	CustomTrinket	2022	0	-1	-1	4	400000			1																	1					½äÖ¸
»êÓ¨½ä	CustomTrinket	2023	0	-1	-1	4	400000			1																	1					½äÖ¸
»ÛÇå½ä	CustomTrinket	2024	0	-1	-1	4	400000			1																	1					½äÖ¸
¾»»Û½ä	CustomTrinket	2025	0	-1	-1	4	400000			1																	1					½äÖ¸
´ºÑ©½ä	CustomTrinket	2026	0	-1	-1	4	400000			1																	1					½äÖ¸
³¿ĞÇ½ä	CustomTrinket	2027	0	-1	-1	4	400000			1																	1					½äÖ¸
¶·Õó½ä	CustomTrinket	2028	0	-1	-1	4	400000			1																	1					½äÖ¸
É£»ê½ä	CustomTrinket	2064	0	-1	-1	4	400000			1																	1					½äÖ¸
ÃÎè¯½ä	CustomTrinket	2074	0	-1	-1	4	400000			1																	1					½äÖ¸
ÓñÇå×¹	CustomTrinket	2036	0	-1	-1	4	400000			1																	1					Ñü×¹
»êÓ¨×¹	CustomTrinket	2037	0	-1	-1	4	400000			1																	1					Ñü×¹
³¿ĞÇ×¹	CustomTrinket	2038	0	-1	-1	4	400000			1																	1					Ñü×¹
¾»»Û×¹	CustomTrinket	2039	0	-1	-1	4	400000			1																	1					Ñü×¹
ÃÎè¯×¹	CustomTrinket	2040	0	-1	-1	4	400000			1																	1					Ñü×¹
»ÛÇå×¹	CustomTrinket	2041	0	-1	-1	4	400000			1																	1					Ñü×¹
¶·Õó×¹	CustomTrinket	2042	0	-1	-1	4	400000			1																	1					Ñü×¹
É£»ê×¹	CustomTrinket	2066	0	-1	-1	4	400000			1																	1					Ñü×¹
´ºÑ©×¹	CustomTrinket	2070	0	-1	-1	4	400000			1																	1					Ñü×¹
ÌìÊàÁ´	CustomTrinket	1092	0	-1	-1	6	510000			1																	1					ÏîÁ´
Ììè¯Á´	CustomTrinket	1093	0	-1	-1	6	510000			1																	1					ÏîÁ´
Ò¡¹âÁ´	CustomTrinket	1094	0	-1	-1	6	510000			1																	1					ÏîÁ´
¿ªÑôÁ´	CustomTrinket	1095	0	-1	-1	6	510000			1																	1					ÏîÁ´
ÌìÈ¨Á´	CustomTrinket	1096	0	-1	-1	6	510000			1																	1					ÏîÁ´
½õĞåÏîÁ´	CustomTrinket	1456	0	-1	-1	6	510000			1																	1					ÏîÁ´
»ÀÊçÁ´	CustomTrinket	1736	0	-1	-1	6	510000			1																	1					ÏîÁ´
ÌìÊà½ä	CustomTrinket	876	0	-1	-1	6	510000			1																	1					½äÖ¸
Ììè¯½ä	CustomTrinket	877	0	-1	-1	6	510000			1																	1					½äÖ¸
Ììçá½ä	CustomTrinket	878	0	-1	-1	6	510000			1																	1					½äÖ¸
¿ªÑô½ä	CustomTrinket	879	0	-1	-1	6	510000			1																	1					½äÖ¸
Óñºâ½ä	CustomTrinket	880	0	-1	-1	6	510000			1																	1					½äÖ¸
½õĞå½ä	CustomTrinket	1450	0	-1	-1	6	510000			1																	1					½äÖ¸
»ÀÊç½ä	CustomTrinket	1734	0	-1	-1	6	510000			1																	1					½äÖ¸
²©Íû×¹	CustomTrinket	1304	0	-1	-1	6	510000			1																	1					Ñü×¹
ºÆÈ»×¹	CustomTrinket	1305	0	-1	-1	6	510000			1																	1					Ñü×¹
ÎåÁé×¹	CustomTrinket	1306	0	-1	-1	6	510000			1																	1					Ñü×¹
ÕıÆø×¹	CustomTrinket	1307	0	-1	-1	6	510000			1																	1					Ñü×¹
¼¯ÏÍ×¹	CustomTrinket	1308	0	-1	-1	6	510000			1																	1					Ñü×¹
½õĞå×¹	CustomTrinket	1462	0	-1	-1	6	510000			1																	1					Ñü×¹
»ÀÊç×¹	CustomTrinket	1738	0	-1	-1	6	510000			1																	1					Ñü×¹
ôæÑàÖ¸	CustomTrinket	12077	0	-1	-1	4	400000			1																	1					½äÖ¸
ÊÙ½ğÁ´	CustomTrinket	12085	0	-1	-1	4	400000			1																	1					ÏîÁ´
ĞşÊÎÁ´	CustomTrinket	12081	0	-1	-1	6	510000			1																	1					ÏîÁ´
