Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
ºÆÈ»¡¤ÁáççÄÒ	CustomWeapon	1470	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤Ç¬À¤ÄÒ	CustomWeapon	1474	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤ÇàÁ«ÄÒ	CustomWeapon	1471	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤·çÑ×ÄÒ	CustomWeapon	1472	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤ÕÑÎäÄÒ	CustomWeapon	1473	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤ÐëÃÖÄÒ	CustomWeapon	1467	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤Ëêº®ÄÒ	CustomWeapon	1468	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤²ÔÚ¤ÄÒ	CustomWeapon	1469	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤»·Ç¹ÄÒ	CustomWeapon	2322	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤ÃÖ÷ëÄÒ	CustomWeapon	4734	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤É÷¾²ÄÒ	CustomWeapon	4735	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤ÃÖ÷ëÄÒ	CustomWeapon	4736	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤É÷¾²ÄÒ	CustomWeapon	4737	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤Ü°·âÄÒ	CustomWeapon	2887	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤ÍûÀëÄÒ	CustomWeapon	2888	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤³ÐµÀÄÒ	CustomWeapon	9579	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
ºÆÈ»¡¤³ÐµÀÄÒ	CustomWeapon	9580	0	-1	-1	0	960000			1				1900													1					Ô¶³ÌÎäÆ÷
