Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
瀚海雄风·沧浪链	CustomTrinket	2166	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·冲虚链	CustomTrinket	2167	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·追羽链	CustomTrinket	2168	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·妙华链	CustomTrinket	2169	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·靖波链	CustomTrinket	2170	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·玉虚链	CustomTrinket	2171	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·怀袖链	CustomTrinket	2172	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·绛雪链	CustomTrinket	2173	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·栖凤链	CustomTrinket	2183	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·沧浪链	CustomTrinket	2341	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·冲虚链	CustomTrinket	2342	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·追羽链	CustomTrinket	2343	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·妙华链	CustomTrinket	2344	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·靖波链	CustomTrinket	2345	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·玉虚链	CustomTrinket	2346	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·怀袖链	CustomTrinket	2347	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·绛雪链	CustomTrinket	2348	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·栖凤链	CustomTrinket	2358	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·亘绝链	CustomTrinket	4807	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·亘绝链	CustomTrinket	4809	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·乌栖链	CustomTrinket	4806	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·乌栖链	CustomTrinket	4808	0	-1	-1	0	1490000			1				2500													1					项链
瀚海雄风·沧浪戒	CustomTrinket	2158	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·冲虚戒	CustomTrinket	2159	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·追羽戒	CustomTrinket	2160	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·妙华戒	CustomTrinket	2161	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·靖波戒	CustomTrinket	2162	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·玉虚戒	CustomTrinket	2163	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·怀袖戒	CustomTrinket	2164	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·绛雪戒	CustomTrinket	2165	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·栖凤戒	CustomTrinket	2182	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·沧浪戒	CustomTrinket	2333	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·冲虚戒	CustomTrinket	2334	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·追羽戒	CustomTrinket	2335	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·妙华戒	CustomTrinket	2336	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·靖波戒	CustomTrinket	2337	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·玉虚戒	CustomTrinket	2338	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·怀袖戒	CustomTrinket	2339	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·绛雪戒	CustomTrinket	2340	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·栖凤戒	CustomTrinket	2357	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·亘绝戒指	CustomTrinket	4823	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·亘绝戒指	CustomTrinket	4825	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·乌栖戒指	CustomTrinket	4822	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·乌栖戒指	CustomTrinket	4824	0	-1	-1	0	1490000			1				2500													1					戒指
瀚海雄风·沧浪坠	CustomTrinket	2174	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·冲虚坠	CustomTrinket	2175	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·追羽坠	CustomTrinket	2176	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·妙华坠	CustomTrinket	2177	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·靖波坠	CustomTrinket	2178	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·玉虚坠	CustomTrinket	2179	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·怀袖坠	CustomTrinket	2180	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·绛雪坠	CustomTrinket	2181	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·栖凤坠	CustomTrinket	2184	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·沧浪坠	CustomTrinket	2349	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·冲虚坠	CustomTrinket	2350	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·追羽坠	CustomTrinket	2351	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·妙华坠	CustomTrinket	2352	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·靖波坠	CustomTrinket	2353	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·玉虚坠	CustomTrinket	2354	0	-1	-1	0	1490000			1				2500													1					腰坠
瀚海雄风·怀袖坠	CustomTrinket	2355	0	-1	-1	0	1490000			1				2500													1					腰坠
