Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
南风赫炎·崇茅剑	CustomWeapon	3889	0	-1	-1	0	4100000			1				17100													1					近程武器
南风赫炎·崇茅剑	CustomWeapon	3890	0	-1	-1	0	4100000			1				17100													1					近程武器
南风赫炎·云阳剑	CustomWeapon	3891	0	-1	-1	0	4100000			1				17100													1					近程武器
南风赫炎·云阳剑	CustomWeapon	3892	0	-1	-1	0	4100000			1				17100													1					近程武器
南风赫炎·崇茅囊	CustomWeapon	3969	0	-1	-1	0	2050000			1				8500													1					远程武器
南风赫炎·崇茅囊	CustomWeapon	3970	0	-1	-1	0	2050000			1				8500													1					远程武器
南风赫炎·云阳囊	CustomWeapon	3973	0	-1	-1	0	2050000			1				8500													1					远程武器
南风赫炎·云阳囊	CustomWeapon	3974	0	-1	-1	0	2050000			1				8500													1					远程武器
南风赫炎·灵奉衣	CustomArmor	9145	0	-1	-1	0	3420000			1				14200													1					上衣
南风赫炎·灵奉衣	CustomArmor	9146	0	-1	-1	0	3420000			1				14200													1					上衣
南风赫炎·苍元衣	CustomArmor	9147	0	-1	-1	0	3420000			1				14200													1					上衣
南风赫炎·苍元衣	CustomArmor	9148	0	-1	-1	0	3420000			1				14200													1					上衣
南风赫炎·灵奉帽	CustomArmor	9101	0	-1	-1	0	3080000			1				12800													1					头部
南风赫炎·灵奉帽	CustomArmor	9102	0	-1	-1	0	3080000			1				12800													1					头部
南风赫炎·苍元冠	CustomArmor	9103	0	-1	-1	0	3080000			1				12800													1					头部
南风赫炎·苍元冠	CustomArmor	9104	0	-1	-1	0	3080000			1				12800													1					头部
南风赫炎·灵奉带	CustomArmor	9211	0	-1	-1	0	2390000			1				10000													1					腰带
南风赫炎·灵奉带	CustomArmor	9212	0	-1	-1	0	2390000			1				10000													1					腰带
南风赫炎·苍元带	CustomArmor	9213	0	-1	-1	0	2390000			1				10000													1					腰带
南风赫炎·苍元带	CustomArmor	9214	0	-1	-1	0	2390000			1				10000													1					腰带
南风赫炎·灵奉裤	CustomArmor	9167	0	-1	-1	0	3420000			1				14200													1					裤子
南风赫炎·灵奉裤	CustomArmor	9168	0	-1	-1	0	3420000			1				14200													1					裤子
南风赫炎·苍元护腿	CustomArmor	9169	0	-1	-1	0	3420000			1				14200													1					裤子
南风赫炎·苍元护腿	CustomArmor	9170	0	-1	-1	0	3420000			1				14200													1					裤子
南风赫炎·灵奉履	CustomArmor	9189	0	-1	-1	0	2390000			1				10000													1					鞋子
南风赫炎·灵奉履	CustomArmor	9190	0	-1	-1	0	2390000			1				10000													1					鞋子
南风赫炎·苍元靴	CustomArmor	9191	0	-1	-1	0	2390000			1				10000													1					鞋子
南风赫炎·苍元靴	CustomArmor	9192	0	-1	-1	0	2390000			1				10000													1					鞋子
南风赫炎·灵奉束腕	CustomArmor	9123	0	-1	-1	0	2390000			1				10000													1					护臂
南风赫炎·灵奉束腕	CustomArmor	9124	0	-1	-1	0	2390000			1				10000													1					护臂
南风赫炎·苍元护手	CustomArmor	9125	0	-1	-1	0	2390000			1				10000													1					护臂
南风赫炎·苍元护手	CustomArmor	9126	0	-1	-1	0	2390000			1				10000													1					护臂
南风赫炎·崇茅项饰	CustomTrinket	3592	0	-1	-1	0	1710000			1				7100													1					项链
南风赫炎·崇茅项饰	CustomTrinket	3593	0	-1	-1	0	1710000			1				7100													1					项链
南风赫炎·云阳链	CustomTrinket	3596	0	-1	-1	0	1710000			1				7100													1					项链
南风赫炎·云阳链	CustomTrinket	3597	0	-1	-1	0	1710000			1				7100													1					项链
南风赫炎·崇茅扳指	CustomTrinket	3658	0	-1	-1	0	1710000			1				7100													1					戒指
南风赫炎·崇茅扳指	CustomTrinket	3659	0	-1	-1	0	1710000			1				7100													1					戒指
南风赫炎·云阳戒	CustomTrinket	3662	0	-1	-1	0	1710000			1				7100													1					戒指
南风赫炎·云阳戒	CustomTrinket	3663	0	-1	-1	0	1710000			1				7100													1					戒指
南风赫炎·崇茅玉坠	CustomTrinket	3526	0	-1	-1	0	1710000			1				7100													1					腰坠
南风赫炎·崇茅玉坠	CustomTrinket	3527	0	-1	-1	0	1710000			1				7100													1					腰坠
南风赫炎·云阳坠	CustomTrinket	3530	0	-1	-1	0	1710000			1				7100													1					腰坠
南风赫炎·云阳坠	CustomTrinket	3531	0	-1	-1	0	1710000			1				7100													1					腰坠
