Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
壮志凌云·仲源剑	CustomWeapon	3751	0	-1	-1	0	4100000			1				17100													1					近程武器
壮志凌云·仲源剑	CustomWeapon	3752	0	-1	-1	0	4100000			1				17100													1					近程武器
壮志凌云·燕济剑	CustomWeapon	3753	0	-1	-1	0	4100000			1				17100													1					近程武器
壮志凌云·燕济剑	CustomWeapon	3754	0	-1	-1	0	4100000			1				17100													1					近程武器
壮志凌云·仲源囊	CustomWeapon	3831	0	-1	-1	0	2050000			1				8500													1					远程武器
壮志凌云·仲源囊	CustomWeapon	3832	0	-1	-1	0	2050000			1				8500													1					远程武器
壮志凌云·燕济囊	CustomWeapon	3835	0	-1	-1	0	2050000			1				8500													1					远程武器
壮志凌云·燕济囊	CustomWeapon	3836	0	-1	-1	0	2050000			1				8500													1					远程武器
壮志凌云·碧辰袍	CustomArmor	8749	0	-1	-1	0	3420000			1				14200													1					上衣
壮志凌云·碧辰袍	CustomArmor	8750	0	-1	-1	0	3420000			1				14200													1					上衣
壮志凌云·扶风衫	CustomArmor	8751	0	-1	-1	0	3420000			1				14200													1					上衣
壮志凌云·扶风衫	CustomArmor	8752	0	-1	-1	0	3420000			1				14200													1					上衣
壮志凌云·碧辰帽	CustomArmor	8705	0	-1	-1	0	3080000			1				12800													1					头部
壮志凌云·碧辰帽	CustomArmor	8706	0	-1	-1	0	3080000			1				12800													1					头部
壮志凌云·扶风帽	CustomArmor	8707	0	-1	-1	0	3080000			1				12800													1					头部
壮志凌云·扶风帽	CustomArmor	8708	0	-1	-1	0	3080000			1				12800													1					头部
壮志凌云·碧辰带	CustomArmor	8815	0	-1	-1	0	2390000			1				10000													1					腰带
壮志凌云·碧辰带	CustomArmor	8816	0	-1	-1	0	2390000			1				10000													1					腰带
壮志凌云·扶风带	CustomArmor	8817	0	-1	-1	0	2390000			1				10000													1					腰带
壮志凌云·扶风带	CustomArmor	8818	0	-1	-1	0	2390000			1				10000													1					腰带
壮志凌云·碧辰裤	CustomArmor	8771	0	-1	-1	0	3420000			1				14200													1					裤子
壮志凌云·碧辰裤	CustomArmor	8772	0	-1	-1	0	3420000			1				14200													1					裤子
壮志凌云·扶风裤	CustomArmor	8773	0	-1	-1	0	3420000			1				14200													1					裤子
壮志凌云·扶风裤	CustomArmor	8774	0	-1	-1	0	3420000			1				14200													1					裤子
壮志凌云·碧辰履	CustomArmor	8793	0	-1	-1	0	2390000			1				10000													1					鞋子
壮志凌云·碧辰履	CustomArmor	8794	0	-1	-1	0	2390000			1				10000													1					鞋子
壮志凌云·扶风履	CustomArmor	8795	0	-1	-1	0	2390000			1				10000													1					鞋子
壮志凌云·扶风履	CustomArmor	8796	0	-1	-1	0	2390000			1				10000													1					鞋子
壮志凌云·碧辰护手	CustomArmor	8727	0	-1	-1	0	2390000			1				10000													1					护臂
壮志凌云·碧辰护手	CustomArmor	8728	0	-1	-1	0	2390000			1				10000													1					护臂
壮志凌云·扶风袖	CustomArmor	8729	0	-1	-1	0	2390000			1				10000													1					护臂
壮志凌云·扶风袖	CustomArmor	8730	0	-1	-1	0	2390000			1				10000													1					护臂
壮志凌云·仲源链	CustomTrinket	3394	0	-1	-1	0	1710000			1				7100													1					项链
壮志凌云·仲源链	CustomTrinket	3395	0	-1	-1	0	1710000			1				7100													1					项链
壮志凌云·燕济链	CustomTrinket	3398	0	-1	-1	0	1710000			1				7100													1					项链
壮志凌云·燕济链	CustomTrinket	3399	0	-1	-1	0	1710000			1				7100													1					项链
壮志凌云·仲源戒	CustomTrinket	3460	0	-1	-1	0	1710000			1				7100													1					戒指
壮志凌云·仲源戒	CustomTrinket	3461	0	-1	-1	0	1710000			1				7100													1					戒指
壮志凌云·燕济戒	CustomTrinket	3464	0	-1	-1	0	1710000			1				7100													1					戒指
壮志凌云·燕济戒	CustomTrinket	3465	0	-1	-1	0	1710000			1				7100													1					戒指
壮志凌云·仲源佩	CustomTrinket	3328	0	-1	-1	0	1710000			1				7100													1					腰坠
壮志凌云·仲源佩	CustomTrinket	3329	0	-1	-1	0	1710000			1				7100													1					腰坠
壮志凌云·燕济坠	CustomTrinket	3332	0	-1	-1	0	1710000			1				7100													1					腰坠
壮志凌云·燕济坠	CustomTrinket	3333	0	-1	-1	0	1710000			1				7100													1					腰坠
