Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
苍天鹤血·噬影笛	CustomWeapon	5347	0	-1	-1	0	4820000			1				45000						7							1					近程武器
苍天鹤血·洪祀笛	CustomWeapon	5348	0	-1	-1	0	4820000			1				45000						7							1					近程武器
苍天鹤血·噬影笛	CustomWeapon	5349	0	-1	-1	0	4820000			1				45000						7							1					近程武器
苍天鹤血·洪祀笛	CustomWeapon	5350	0	-1	-1	0	4820000			1				45000						7							1					近程武器
风涛豪情·辞幽笛	CustomWeapon	6381	0	-1	-1	0	5110000			1				102800						14							1					近程武器
风涛豪情·奈缘笛	CustomWeapon	6382	0	-1	-1	0	5110000			1				102800						14							1					近程武器
风涛豪情·辞幽笛	CustomWeapon	6383	0	-1	-1	0	5110000			1				102800						14							1					近程武器
风涛豪情·奈缘笛	CustomWeapon	6384	0	-1	-1	0	5110000			1				102800						14							1					近程武器
苍天鹤血·噬影囊	CustomWeapon	5319	0	-1	-1	0	2410000			1				22500						7							1					远程武器
苍天鹤血·洪祀囊	CustomWeapon	5320	0	-1	-1	0	2410000			1				22500						7							1					远程武器
苍天鹤血·噬影囊	CustomWeapon	5321	0	-1	-1	0	2410000			1				22500						7							1					远程武器
苍天鹤血·洪祀囊	CustomWeapon	5322	0	-1	-1	0	2410000			1				22500						7							1					远程武器
风涛豪情·辞幽囊	CustomWeapon	6351	0	-1	-1	0	2550000			1				51400						14							1					远程武器
风涛豪情·奈缘囊	CustomWeapon	6352	0	-1	-1	0	2550000			1				51400						14							1					远程武器
风涛豪情·辞幽囊	CustomWeapon	6353	0	-1	-1	0	2550000			1				51400						14							1					远程武器
风涛豪情·奈缘囊	CustomWeapon	6354	0	-1	-1	0	2550000			1				51400						14							1					远程武器
苍天鹤血·噬影衣	CustomArmor	12328	0	-1	-1	0	4020000			1				37500						6							1					上衣
苍天鹤血·洪祀袍	CustomArmor	12329	0	-1	-1	0	4020000			1				37500						6							1					上衣
苍天鹤血·噬影衣	CustomArmor	12330	0	-1	-1	0	4020000			1				37500						6							1					上衣
苍天鹤血·洪祀袍	CustomArmor	12331	0	-1	-1	0	4020000			1				37500						6							1					上衣
风涛豪情·辞幽衣	CustomArmor	15168	0	-1	-1	0	4250000			1				85700						13							1					上衣
风涛豪情·奈缘衫	CustomArmor	15169	0	-1	-1	0	4250000			1				85700						13							1					上衣
风涛豪情·辞幽衣	CustomArmor	15170	0	-1	-1	0	4250000			1				85700						13							1					上衣
风涛豪情·奈缘衫	CustomArmor	15171	0	-1	-1	0	4250000			1				85700						13							1					上衣
苍天鹤血·噬影帽	CustomArmor	12302	0	-1	-1	0	3610000			1				33700						5							1					头部
苍天鹤血·洪祀冠	CustomArmor	12303	0	-1	-1	0	3610000			1				33700						5							1					头部
苍天鹤血·噬影帽	CustomArmor	12304	0	-1	-1	0	3610000			1				33700						5							1					头部
苍天鹤血·洪祀冠	CustomArmor	12305	0	-1	-1	0	3610000			1				33700						5							1					头部
风涛豪情·辞幽冠	CustomArmor	15140	0	-1	-1	0	3830000			1				77100						12							1					头部
风涛豪情·奈缘帽	CustomArmor	15141	0	-1	-1	0	3830000			1				77100						12							1					头部
风涛豪情·辞幽冠	CustomArmor	15142	0	-1	-1	0	3830000			1				77100						12							1					头部
风涛豪情·奈缘帽	CustomArmor	15143	0	-1	-1	0	3830000			1				77100						12							1					头部
苍天鹤血·噬影腰带	CustomArmor	12432	0	-1	-1	0	2810000			1				26200						3							1					腰带
苍天鹤血·洪祀腰带	CustomArmor	12433	0	-1	-1	0	2810000			1				26200						3							1					腰带
苍天鹤血·噬影腰带	CustomArmor	12434	0	-1	-1	0	2810000			1				26200						3							1					腰带
苍天鹤血·洪祀腰带	CustomArmor	12435	0	-1	-1	0	2810000			1				26200						3							1					腰带
风涛豪情·辞幽束带	CustomArmor	15280	0	-1	-1	0	2980000			1				60000						10							1					腰带
风涛豪情·奈缘束带	CustomArmor	15281	0	-1	-1	0	2980000			1				60000						10							1					腰带
风涛豪情·辞幽束带	CustomArmor	15282	0	-1	-1	0	2980000			1				60000						10							1					腰带
风涛豪情·奈缘束带	CustomArmor	15283	0	-1	-1	0	2980000			1				60000						10							1					腰带
苍天鹤血·噬影裤	CustomArmor	12406	0	-1	-1	0	4020000			1				37500						4							1					裤子
苍天鹤血·洪祀裤	CustomArmor	12407	0	-1	-1	0	4020000			1				37500						4							1					裤子
苍天鹤血·噬影裤	CustomArmor	12408	0	-1	-1	0	4020000			1				37500						4							1					裤子
苍天鹤血·洪祀裤	CustomArmor	12409	0	-1	-1	0	4020000			1				37500						4							1					裤子
风涛豪情·辞幽裤	CustomArmor	15252	0	-1	-1	0	4250000			1				85700						11							1					裤子
风涛豪情·奈缘裤	CustomArmor	15253	0	-1	-1	0	4250000			1				85700						11							1					裤子
风涛豪情·辞幽裤	CustomArmor	15254	0	-1	-1	0	4250000			1				85700						11							1					裤子
风涛豪情·奈缘裤	CustomArmor	15255	0	-1	-1	0	4250000			1				85700						11							1					裤子
苍天鹤血·噬影靴	CustomArmor	12380	0	-1	-1	0	2810000			1				26200						2							1					鞋子
苍天鹤血·洪祀靴	CustomArmor	12381	0	-1	-1	0	2810000			1				26200						2							1					鞋子
苍天鹤血·噬影靴	CustomArmor	12382	0	-1	-1	0	2810000			1				26200						2							1					鞋子
苍天鹤血·洪祀靴	CustomArmor	12383	0	-1	-1	0	2810000			1				26200						2							1					鞋子
风涛豪情·辞幽靴	CustomArmor	15224	0	-1	-1	0	2980000			1				60000						9							1					鞋子
风涛豪情·奈缘靴	CustomArmor	15225	0	-1	-1	0	2980000			1				60000						9							1					鞋子
风涛豪情·辞幽靴	CustomArmor	15226	0	-1	-1	0	2980000			1				60000						9							1					鞋子
风涛豪情·奈缘靴	CustomArmor	15227	0	-1	-1	0	2980000			1				60000						9							1					鞋子
苍天鹤血·噬影护手	CustomArmor	12354	0	-1	-1	0	2810000			1				26200						1							1					护臂
苍天鹤血·洪祀护手	CustomArmor	12355	0	-1	-1	0	2810000			1				26200						1							1					护臂
苍天鹤血·噬影护手	CustomArmor	12356	0	-1	-1	0	2810000			1				26200						1							1					护臂
苍天鹤血·洪祀护手	CustomArmor	12357	0	-1	-1	0	2810000			1				26200						1							1					护臂
风涛豪情·辞幽护手	CustomArmor	15196	0	-1	-1	0	2980000			1				60000						8							1					护臂
风涛豪情·奈缘护手	CustomArmor	15197	0	-1	-1	0	2980000			1				60000						8							1					护臂
风涛豪情·辞幽护手	CustomArmor	15198	0	-1	-1	0	2980000			1				60000						8							1					护臂
风涛豪情·奈缘护手	CustomArmor	15199	0	-1	-1	0	2980000			1				60000						8							1					护臂
苍天鹤血·噬影链	CustomTrinket	5088	0	-1	-1	0	2010000			1				22500													1					项链
苍天鹤血·洪祀链	CustomTrinket	5089	0	-1	-1	0	2010000			1				22500													1					项链
苍天鹤血·噬影链	CustomTrinket	5090	0	-1	-1	0	2010000			1				22500													1					项链
苍天鹤血·洪祀链	CustomTrinket	5091	0	-1	-1	0	2010000			1				22500													1					项链
苍天鹤血·噬影护颈	CustomTrinket	5289	0	-1	-1	0	2010000			1				22500													1					项链
苍天鹤血·洪祀护颈	CustomTrinket	5290	0	-1	-1	0	2010000			1				22500													1					项链
风涛豪情·辞幽链	CustomTrinket	6606	0	-1	-1	0	2130000			1				70000													1					项链
风涛豪情·奈缘链	CustomTrinket	6607	0	-1	-1	0	2130000			1				70000													1					项链
风涛豪情·辞幽链	CustomTrinket	6608	0	-1	-1	0	2130000			1				70000													1					项链
风涛豪情·奈缘链	CustomTrinket	6609	0	-1	-1	0	2130000			1				70000													1					项链
风涛豪情·辞幽链	CustomTrinket	6610	0	-1	-1	0	2130000			1				70000													1					项链
风涛豪情·奈缘链	CustomTrinket	6611	0	-1	-1	0	2130000			1				70000													1					项链
苍天鹤血·噬影戒	CustomTrinket	5062	0	-1	-1	0	2010000			1				22500													1					戒指
苍天鹤血·洪祀戒	CustomTrinket	5063	0	-1	-1	0	2010000			1				22500													1					戒指
苍天鹤血·噬影戒	CustomTrinket	5064	0	-1	-1	0	2010000			1				22500													1					戒指
苍天鹤血·洪祀戒	CustomTrinket	5065	0	-1	-1	0	2010000			1				22500													1					戒指
苍天鹤血·噬影环	CustomTrinket	5315	0	-1	-1	0	2010000			1				22500													1					戒指
苍天鹤血·洪祀环	CustomTrinket	5316	0	-1	-1	0	2010000			1				22500													1					戒指
风涛豪情·辞幽戒	CustomTrinket	6564	0	-1	-1	0	2130000			1				70000													1					戒指
风涛豪情·奈缘戒	CustomTrinket	6565	0	-1	-1	0	2130000			1				70000													1					戒指
风涛豪情·辞幽戒	CustomTrinket	6566	0	-1	-1	0	2130000			1				70000													1					戒指
风涛豪情·奈缘戒	CustomTrinket	6567	0	-1	-1	0	2130000			1				70000													1					戒指
风涛豪情·辞幽戒	CustomTrinket	6568	0	-1	-1	0	2130000			1				70000													1					戒指
风涛豪情·奈缘戒	CustomTrinket	6569	0	-1	-1	0	2130000			1				70000													1					戒指
苍天鹤血·噬影坠	CustomTrinket	5114	0	-1	-1	0	2010000			1				22500													1					腰坠
苍天鹤血·洪祀坠	CustomTrinket	5115	0	-1	-1	0	2010000			1				22500													1					腰坠
苍天鹤血·噬影坠	CustomTrinket	5116	0	-1	-1	0	2010000			1				22500													1					腰坠
苍天鹤血·洪祀坠	CustomTrinket	5117	0	-1	-1	0	2010000			1				22500													1					腰坠
苍天鹤血·噬影佩	CustomTrinket	5341	0	-1	-1	0	2010000			1				22500													1					腰坠
苍天鹤血·洪祀佩	CustomTrinket	5342	0	-1	-1	0	2010000			1				22500													1					腰坠
风涛豪情·辞幽坠	CustomTrinket	6648	0	-1	-1	0	2130000			1				70000													1					腰坠
风涛豪情·奈缘坠	CustomTrinket	6649	0	-1	-1	0	2130000			1				70000													1					腰坠
风涛豪情·辞幽坠	CustomTrinket	6650	0	-1	-1	0	2130000			1				70000													1					腰坠
风涛豪情·奈缘坠	CustomTrinket	6651	0	-1	-1	0	2130000			1				70000													1					腰坠
风涛豪情·辞幽坠	CustomTrinket	6652	0	-1	-1	0	2130000			1				70000													1					腰坠
风涛豪情·奈缘坠	CustomTrinket	6653	0	-1	-1	0	2130000			1				70000													1					腰坠
