Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
气吞山河·灵鹫禅棍	CustomWeapon	3917	0	-1	-1	0	4340000			1				72900		6	3893	1		7							1					近程武器
气吞山河·灵鹫禅棍	CustomWeapon	3918	0	-1	-1	0	4340000			1				72900		6	3894	1		7							1					近程武器
攻无不克·行颠锡杖	CustomWeapon	3941	0	-1	-1	0	4580000			1				61000		6	3917	1		14							1					近程武器
攻无不克·行颠锡杖	CustomWeapon	3942	0	-1	-1	0	4580000			1				61000		6	3918	1		14							1					近程武器
气吞山河·灵鹫禅囊	CustomWeapon	3987	0	-1	-1	0	2170000			1				36500		6	3965	1		7							1					远程武器
气吞山河·灵鹫禅囊	CustomWeapon	3988	0	-1	-1	0	2170000			1				36500		6	3966	1		7							1					远程武器
攻无不克·行颠囊	CustomWeapon	4059	0	-1	-1	0	2290000			1				30500		6	3987	1		14							1					远程武器
攻无不克·行颠囊	CustomWeapon	4060	0	-1	-1	0	2290000			1				30500		6	3988	1		14							1					远程武器
气吞山河·魔炎冠	CustomArmor	9351	0	-1	-1	0	3250000			1				54700		7	9109	1		5							1					头部
气吞山河·魔炎冠	CustomArmor	9352	0	-1	-1	0	3250000			1				54700		7	9110	1		5							1					头部
气吞山河·魔炎袖	CustomArmor	9241	0	-1	-1	0	2530000			1				42500		7	9131	1		1							1					护臂
气吞山河·魔炎袖	CustomArmor	9242	0	-1	-1	0	2530000			1				42500		7	9132	1		1							1					护臂
气吞山河·魔炎袈裟	CustomArmor	9263	0	-1	-1	0	3620000			1				60800		7	9153	1		6							1					上衣
气吞山河·魔炎袈裟	CustomArmor	9264	0	-1	-1	0	3620000			1				60800		7	9154	1		6							1					上衣
气吞山河·魔炎护腿	CustomArmor	9285	0	-1	-1	0	3620000			1				60800		7	9175	1		4							1					裤子
气吞山河·魔炎护腿	CustomArmor	9286	0	-1	-1	0	3620000			1				60800		7	9176	1		4							1					裤子
气吞山河·魔炎僧履	CustomArmor	9307	0	-1	-1	0	2530000			1				42500		7	9197	1		2							1					鞋子
气吞山河·魔炎僧履	CustomArmor	9308	0	-1	-1	0	2530000			1				42500		7	9198	1		2							1					鞋子
气吞山河·魔炎裹腰	CustomArmor	9329	0	-1	-1	0	2530000			1				42500		7	9219	1		3							1					腰带
气吞山河·魔炎裹腰	CustomArmor	9330	0	-1	-1	0	2530000			1				42500		7	9220	1		3							1					腰带
攻无不克·刹颜护腕	CustomArmor	9373	0	-1	-1	0	2670000			1				35600		7	9241	1		8							1					护臂
攻无不克·刹颜护腕	CustomArmor	9374	0	-1	-1	0	2670000			1				35600		7	9242	1		8							1					护臂
攻无不克·刹颜袈裟	CustomArmor	9395	0	-1	-1	0	3820000			1				50900		7	9263	1		13							1					上衣
攻无不克·刹颜袈裟	CustomArmor	9396	0	-1	-1	0	3820000			1				50900		7	9264	1		13							1					上衣
攻无不克·刹颜护腿	CustomArmor	9417	0	-1	-1	0	3820000			1				50900		7	9285	1		11							1					裤子
攻无不克·刹颜护腿	CustomArmor	9418	0	-1	-1	0	3820000			1				50900		7	9286	1		11							1					裤子
攻无不克·刹颜靴	CustomArmor	9439	0	-1	-1	0	2670000			1				35600		7	9307	1		9							1					鞋子
攻无不克·刹颜靴	CustomArmor	9440	0	-1	-1	0	2670000			1				35600		7	9308	1		9							1					鞋子
攻无不克·刹颜裹腰	CustomArmor	9461	0	-1	-1	0	2670000			1				35600		7	9329	1		10							1					腰带
攻无不克·刹颜裹腰	CustomArmor	9462	0	-1	-1	0	2670000			1				35600		7	9330	1		10							1					腰带
攻无不克·刹颜头环	CustomArmor	9483	0	-1	-1	0	3430000			1				45800		7	9351	1		12							1					头部
攻无不克·刹颜头环	CustomArmor	9484	0	-1	-1	0	3430000			1				45800		7	9352	1		12							1					头部
