Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
气吞山河·参狼囊	CustomWeapon	4802	0	-1	-1	0	2170000			1				36500		6	4786	1		7							1					远程武器
气吞山河·潜师囊	CustomWeapon	4803	0	-1	-1	0	2170000			1				36500		6	4787	1		7							1					远程武器
气吞山河·参狼囊	CustomWeapon	4804	0	-1	-1	0	2170000			1				36500		6	4788	1		7							1					远程武器
气吞山河·潜师囊	CustomWeapon	4805	0	-1	-1	0	2170000			1				36500		6	4789	1		7							1					远程武器
气吞山河·参狼之击	CustomWeapon	4810	0	-1	-1	0	4340000			1				72900		6	4794	1		7							1					近程武器
气吞山河·潜师之击	CustomWeapon	4811	0	-1	-1	0	4340000			1				72900		6	4795	1		7							1					近程武器
气吞山河·参狼之击	CustomWeapon	4812	0	-1	-1	0	4340000			1				72900		6	4796	1		7							1					近程武器
气吞山河·潜师之击	CustomWeapon	4813	0	-1	-1	0	4340000			1				72900		6	4797	1		7							1					近程武器
攻无不克·千垒囊	CustomWeapon	4818	0	-1	-1	0	2290000			1				30500		6	4802	1		14							1					远程武器
攻无不克·容炜囊	CustomWeapon	4819	0	-1	-1	0	2290000			1				30500		6	4803	1		14							1					远程武器
攻无不克·千垒囊	CustomWeapon	4820	0	-1	-1	0	2290000			1				30500		6	4804	1		14							1					远程武器
攻无不克·容炜囊	CustomWeapon	4821	0	-1	-1	0	2290000			1				30500		6	4805	1		14							1					远程武器
攻无不克·千垒之击	CustomWeapon	4826	0	-1	-1	0	4580000			1				61000		6	4810	1		14							1					近程武器
攻无不克·容炜之击	CustomWeapon	4827	0	-1	-1	0	4580000			1				61000		6	4811	1		14							1					近程武器
攻无不克·千垒之击	CustomWeapon	4828	0	-1	-1	0	4580000			1				61000		6	4812	1		14							1					近程武器
攻无不克·容炜之击	CustomWeapon	4829	0	-1	-1	0	4580000			1				61000		6	4813	1		14							1					近程武器
气吞山河·参狼护腕	CustomArmor	10796	0	-1	-1	0	2530000			1				42500		7	10748	1		1							1					护臂
气吞山河·潜师束腕	CustomArmor	10797	0	-1	-1	0	2530000			1				42500		7	10749	1		1							1					护臂
气吞山河·参狼护腕	CustomArmor	10798	0	-1	-1	0	2530000			1				42500		7	10750	1		1							1					护臂
气吞山河·潜师束腕	CustomArmor	10799	0	-1	-1	0	2530000			1				42500		7	10751	1		1							1					护臂
气吞山河·参狼冠	CustomArmor	10804	0	-1	-1	0	3250000			1				54700		7	10756	1		5							1					头部
气吞山河·潜师帽	CustomArmor	10805	0	-1	-1	0	3250000			1				54700		7	10757	1		5							1					头部
气吞山河·参狼冠	CustomArmor	10806	0	-1	-1	0	3250000			1				54700		7	10758	1		5							1					头部
气吞山河·潜师帽	CustomArmor	10807	0	-1	-1	0	3250000			1				54700		7	10759	1		5							1					头部
气吞山河·参狼腰带	CustomArmor	10812	0	-1	-1	0	2530000			1				42500		7	10764	1		3							1					腰带
气吞山河·潜师护腰	CustomArmor	10813	0	-1	-1	0	2530000			1				42500		7	10765	1		3							1					腰带
气吞山河·参狼腰带	CustomArmor	10814	0	-1	-1	0	2530000			1				42500		7	10766	1		3							1					腰带
气吞山河·潜师护腰	CustomArmor	10815	0	-1	-1	0	2530000			1				42500		7	10767	1		3							1					腰带
气吞山河·参狼上装	CustomArmor	10820	0	-1	-1	0	3620000			1				60800		7	10772	1		6							1					上衣
气吞山河·潜师上衣	CustomArmor	10821	0	-1	-1	0	3620000			1				60800		7	10773	1		6							1					上衣
气吞山河·参狼上装	CustomArmor	10822	0	-1	-1	0	3620000			1				60800		7	10774	1		6							1					上衣
气吞山河·潜师上衣	CustomArmor	10823	0	-1	-1	0	3620000			1				60800		7	10775	1		6							1					上衣
气吞山河·参狼腿甲	CustomArmor	10828	0	-1	-1	0	3620000			1				60800		7	10780	1		4							1					裤子
气吞山河·潜师腿铠	CustomArmor	10829	0	-1	-1	0	3620000			1				60800		7	10781	1		4							1					裤子
气吞山河·参狼腿甲	CustomArmor	10830	0	-1	-1	0	3620000			1				60800		7	10782	1		4							1					裤子
气吞山河·潜师腿铠	CustomArmor	10831	0	-1	-1	0	3620000			1				60800		7	10783	1		4							1					裤子
气吞山河·参狼长靴	CustomArmor	10836	0	-1	-1	0	2530000			1				42500		7	10788	1		2							1					鞋子
气吞山河·潜师皮靴	CustomArmor	10837	0	-1	-1	0	2530000			1				42500		7	10789	1		2							1					鞋子
气吞山河·参狼长靴	CustomArmor	10838	0	-1	-1	0	2530000			1				42500		7	10790	1		2							1					鞋子
气吞山河·潜师皮靴	CustomArmor	10839	0	-1	-1	0	2530000			1				42500		7	10791	1		2							1					鞋子
攻无不克·千垒臂甲	CustomArmor	10844	0	-1	-1	0	2670000			1				35600		7	10796	1		8							1					护臂
攻无不克·容炜护腕	CustomArmor	10845	0	-1	-1	0	2670000			1				35600		7	10797	1		8							1					护臂
攻无不克·千垒臂甲	CustomArmor	10846	0	-1	-1	0	2670000			1				35600		7	10798	1		8							1					护臂
攻无不克·容炜护腕	CustomArmor	10847	0	-1	-1	0	2670000			1				35600		7	10799	1		8							1					护臂
攻无不克·千垒面甲	CustomArmor	10852	0	-1	-1	0	3430000			1				45800		7	10804	1		12							1					头部
攻无不克·容炜顶戴	CustomArmor	10853	0	-1	-1	0	3430000			1				45800		7	10805	1		12							1					头部
攻无不克·千垒面甲	CustomArmor	10854	0	-1	-1	0	3430000			1				45800		7	10806	1		12							1					头部
攻无不克·容炜顶戴	CustomArmor	10855	0	-1	-1	0	3430000			1				45800		7	10807	1		12							1					头部
攻无不克·千垒腰带	CustomArmor	10860	0	-1	-1	0	2670000			1				35600		7	10812	1		10							1					腰带
攻无不克·容炜铁腰	CustomArmor	10861	0	-1	-1	0	2670000			1				35600		7	10813	1		10							1					腰带
攻无不克·千垒腰带	CustomArmor	10862	0	-1	-1	0	2670000			1				35600		7	10814	1		10							1					腰带
攻无不克·容炜铁腰	CustomArmor	10863	0	-1	-1	0	2670000			1				35600		7	10815	1		10							1					腰带
攻无不克·千垒衫	CustomArmor	10868	0	-1	-1	0	3820000			1				50900		7	10820	1		13							1					上衣
攻无不克·容炜袍	CustomArmor	10869	0	-1	-1	0	3820000			1				50900		7	10821	1		13							1					上衣
攻无不克·千垒衫	CustomArmor	10870	0	-1	-1	0	3820000			1				50900		7	10822	1		13							1					上衣
攻无不克·容炜袍	CustomArmor	10871	0	-1	-1	0	3820000			1				50900		7	10823	1		13							1					上衣
攻无不克·千垒腿甲	CustomArmor	10876	0	-1	-1	0	3820000			1				50900		7	10828	1		11							1					裤子
攻无不克·容炜护腿	CustomArmor	10877	0	-1	-1	0	3820000			1				50900		7	10829	1		11							1					裤子
攻无不克·千垒腿甲	CustomArmor	10878	0	-1	-1	0	3820000			1				50900		7	10830	1		11							1					裤子
攻无不克·容炜护腿	CustomArmor	10879	0	-1	-1	0	3820000			1				50900		7	10831	1		11							1					裤子
攻无不克·千垒马靴	CustomArmor	10884	0	-1	-1	0	2670000			1				35600		7	10836	1		9							1					鞋子
攻无不克·容炜护脚	CustomArmor	10885	0	-1	-1	0	2670000			1				35600		7	10837	1		9							1					鞋子
攻无不克·千垒马靴	CustomArmor	10886	0	-1	-1	0	2670000			1				35600		7	10838	1		9							1					鞋子
攻无不克·容炜护脚	CustomArmor	10887	0	-1	-1	0	2670000			1				35600		7	10839	1		9							1					鞋子
