Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
气吞山河·僻恣笔	CustomWeapon	3925	0	-1	-1	0	4340000			1				72900		6	3901	1		7							1					近程武器
气吞山河·僻恣笔	CustomWeapon	3926	0	-1	-1	0	4340000			1				72900		6	3902	1		7							1					近程武器
气吞山河·廉倨笔	CustomWeapon	3927	0	-1	-1	0	4340000			1				72900		6	3903	1		7							1					近程武器
气吞山河·廉倨笔	CustomWeapon	3928	0	-1	-1	0	4340000			1				72900		6	3904	1		7							1					近程武器
攻无不克·至乐笔	CustomWeapon	3949	0	-1	-1	0	4580000			1				61000		6	3925	1		14							1					近程武器
攻无不克·至乐笔	CustomWeapon	3950	0	-1	-1	0	4580000			1				61000		6	3926	1		14							1					近程武器
攻无不克·钧天笔	CustomWeapon	3951	0	-1	-1	0	4580000			1				61000		6	3927	1		14							1					近程武器
攻无不克·钧天笔	CustomWeapon	3952	0	-1	-1	0	4580000			1				61000		6	3928	1		14							1					近程武器
气吞山河·僻恣囊	CustomWeapon	3981	0	-1	-1	0	2170000			1				36500		6	3959	1		7							1					远程武器
气吞山河·僻恣囊	CustomWeapon	3982	0	-1	-1	0	2170000			1				36500		6	3960	1		7							1					远程武器
气吞山河·廉倨囊	CustomWeapon	3997	0	-1	-1	0	2170000			1				36500		6	3975	1		7							1					远程武器
气吞山河·廉倨囊	CustomWeapon	3998	0	-1	-1	0	2170000			1				36500		6	3976	1		7							1					远程武器
攻无不克·至乐囊	CustomWeapon	4053	0	-1	-1	0	2290000			1				30500		6	3981	1		14							1					远程武器
攻无不克·至乐囊	CustomWeapon	4054	0	-1	-1	0	2290000			1				30500		6	3982	1		14							1					远程武器
攻无不克·钧天囊	CustomWeapon	4069	0	-1	-1	0	2290000			1				30500		6	3997	1		14							1					远程武器
攻无不克·钧天囊	CustomWeapon	4070	0	-1	-1	0	2290000			1				30500		6	3998	1		14							1					远程武器
气吞山河·饰邪冠	CustomArmor	9355	0	-1	-1	0	3250000			1				54700		7	9113	1		5							1					头部
气吞山河·饰邪冠	CustomArmor	9356	0	-1	-1	0	3250000			1				54700		7	9114	1		5							1					头部
气吞山河·诡局帽	CustomArmor	9357	0	-1	-1	0	3250000			1				54700		7	9115	1		5							1					头部
气吞山河·诡局帽	CustomArmor	9358	0	-1	-1	0	3250000			1				54700		7	9116	1		5							1					头部
气吞山河·饰邪束腕	CustomArmor	9245	0	-1	-1	0	2530000			1				42500		7	9135	1		1							1					护臂
气吞山河·饰邪束腕	CustomArmor	9246	0	-1	-1	0	2530000			1				42500		7	9136	1		1							1					护臂
气吞山河·诡局护腕	CustomArmor	9247	0	-1	-1	0	2530000			1				42500		7	9137	1		1							1					护臂
气吞山河·诡局护腕	CustomArmor	9248	0	-1	-1	0	2530000			1				42500		7	9138	1		1							1					护臂
气吞山河·饰邪衫	CustomArmor	9267	0	-1	-1	0	3620000			1				60800		7	9157	1		6							1					上衣
气吞山河·饰邪衫	CustomArmor	9268	0	-1	-1	0	3620000			1				60800		7	9158	1		6							1					上衣
气吞山河·诡局衣	CustomArmor	9269	0	-1	-1	0	3620000			1				60800		7	9159	1		6							1					上衣
气吞山河·诡局衣	CustomArmor	9270	0	-1	-1	0	3620000			1				60800		7	9160	1		6							1					上衣
气吞山河·饰邪裤	CustomArmor	9289	0	-1	-1	0	3620000			1				60800		7	9179	1		4							1					裤子
气吞山河·饰邪裤	CustomArmor	9290	0	-1	-1	0	3620000			1				60800		7	9180	1		4							1					裤子
气吞山河·诡局裤	CustomArmor	9291	0	-1	-1	0	3620000			1				60800		7	9181	1		4							1					裤子
气吞山河·诡局裤	CustomArmor	9292	0	-1	-1	0	3620000			1				60800		7	9182	1		4							1					裤子
气吞山河·饰邪靴	CustomArmor	9311	0	-1	-1	0	2530000			1				42500		7	9201	1		2							1					鞋子
气吞山河·饰邪靴	CustomArmor	9312	0	-1	-1	0	2530000			1				42500		7	9202	1		2							1					鞋子
气吞山河·诡局屐	CustomArmor	9313	0	-1	-1	0	2530000			1				42500		7	9203	1		2							1					鞋子
气吞山河·诡局屐	CustomArmor	9314	0	-1	-1	0	2530000			1				42500		7	9204	1		2							1					鞋子
气吞山河·饰邪带	CustomArmor	9333	0	-1	-1	0	2530000			1				42500		7	9223	1		3							1					腰带
气吞山河·饰邪带	CustomArmor	9334	0	-1	-1	0	2530000			1				42500		7	9224	1		3							1					腰带
气吞山河·诡局束腰	CustomArmor	9335	0	-1	-1	0	2530000			1				42500		7	9225	1		3							1					腰带
气吞山河·诡局束腰	CustomArmor	9336	0	-1	-1	0	2530000			1				42500		7	9226	1		3							1					腰带
攻无不克·拈花玄袖	CustomArmor	9377	0	-1	-1	0	2670000			1				35600		7	9245	1		8							1					护臂
