Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
力挽狂澜·归林对剑	CustomWeapon	3781	0	-1	-1	0	4340000			1				72900		6	3757	1		7							1					近程武器
力挽狂澜·归林对剑	CustomWeapon	3782	0	-1	-1	0	4340000			1				72900		6	3758	1		7							1					近程武器
力挽狂澜·星泉双剑	CustomWeapon	3783	0	-1	-1	0	4340000			1				72900		6	3759	1		7							1					近程武器
力挽狂澜·星泉双剑	CustomWeapon	3784	0	-1	-1	0	4340000			1				72900		6	3760	1		7							1					近程武器
战无不胜·海桑对剑	CustomWeapon	3805	0	-1	-1	0	4580000			1				61000		6	3781	1		14							1					近程武器
战无不胜·海桑对剑	CustomWeapon	3806	0	-1	-1	0	4580000			1				61000		6	3782	1		14							1					近程武器
战无不胜·穆兰双剑	CustomWeapon	3807	0	-1	-1	0	4580000			1				61000		6	3783	1		14							1					近程武器
战无不胜·穆兰双剑	CustomWeapon	3808	0	-1	-1	0	4580000			1				61000		6	3784	1		14							1					近程武器
力挽狂澜·星泉囊	CustomWeapon	3841	0	-1	-1	0	2170000			1				36500		6	3819	1		7							1					远程武器
力挽狂澜·星泉囊	CustomWeapon	3842	0	-1	-1	0	2170000			1				36500		6	3820	1		7							1					远程武器
力挽狂澜·归林囊	CustomWeapon	3847	0	-1	-1	0	2170000			1				36500		6	3825	1		7							1					远程武器
力挽狂澜·归林囊	CustomWeapon	3848	0	-1	-1	0	2170000			1				36500		6	3826	1		7							1					远程武器
战无不胜·穆兰囊	CustomWeapon	3863	0	-1	-1	0	2290000			1				30500		6	3841	1		14							1					远程武器
战无不胜·穆兰囊	CustomWeapon	3864	0	-1	-1	0	2290000			1				30500		6	3842	1		14							1					远程武器
战无不胜·海桑囊	CustomWeapon	3869	0	-1	-1	0	2290000			1				30500		6	3847	1		14							1					远程武器
战无不胜·海桑囊	CustomWeapon	3870	0	-1	-1	0	2290000			1				30500		6	3848	1		14							1					远程武器
力挽狂澜·湘灵头饰	CustomArmor	8951	0	-1	-1	0	3250000			1				54700		7	8709	1		5							1					头部
力挽狂澜·湘灵头饰	CustomArmor	8952	0	-1	-1	0	3250000			1				54700		7	8710	1		5							1					头部
力挽狂澜·照月帽	CustomArmor	8953	0	-1	-1	0	3250000			1				54700		7	8711	1		5							1					头部
力挽狂澜·照月帽	CustomArmor	8954	0	-1	-1	0	3250000			1				54700		7	8712	1		5							1					头部
