Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
力挽狂澜·鉴尉笔	CustomWeapon	3787	0	-1	-1	0	4340000			1				72900		6	3763	1		7							1					近程武器
力挽狂澜·鉴尉笔	CustomWeapon	3788	0	-1	-1	0	4340000			1				72900		6	3764	1		7							1					近程武器
力挽狂澜·喻勉笔	CustomWeapon	3789	0	-1	-1	0	4340000			1				72900		6	3765	1		7							1					近程武器
力挽狂澜·喻勉笔	CustomWeapon	3790	0	-1	-1	0	4340000			1				72900		6	3766	1		7							1					近程武器
战无不胜·秋水笔	CustomWeapon	3811	0	-1	-1	0	4580000			1				61000		6	3787	1		14							1					近程武器
战无不胜·秋水笔	CustomWeapon	3812	0	-1	-1	0	4580000			1				61000		6	3788	1		14							1					近程武器
战无不胜·阳歌笔	CustomWeapon	3813	0	-1	-1	0	4580000			1				61000		6	3789	1		14							1					近程武器
战无不胜·阳歌笔	CustomWeapon	3814	0	-1	-1	0	4580000			1				61000		6	3790	1		14							1					近程武器
力挽狂澜·鉴尉囊	CustomWeapon	3843	0	-1	-1	0	2170000			1				36500		6	3821	1		7							1					远程武器
力挽狂澜·鉴尉囊	CustomWeapon	3844	0	-1	-1	0	2170000			1				36500		6	3822	1		7							1					远程武器
力挽狂澜·喻勉囊	CustomWeapon	3859	0	-1	-1	0	2170000			1				36500		6	3837	1		7							1					远程武器
力挽狂澜·喻勉囊	CustomWeapon	3860	0	-1	-1	0	2170000			1				36500		6	3838	1		7							1					远程武器
战无不胜·秋水囊	CustomWeapon	3865	0	-1	-1	0	2290000			1				30500		6	3843	1		14							1					远程武器
战无不胜·秋水囊	CustomWeapon	3866	0	-1	-1	0	2290000			1				30500		6	3844	1		14							1					远程武器
战无不胜·阳歌囊	CustomWeapon	3881	0	-1	-1	0	2290000			1				30500		6	3859	1		14							1					远程武器
战无不胜·阳歌囊	CustomWeapon	3882	0	-1	-1	0	2290000			1				30500		6	3860	1		14							1					远程武器
力挽狂澜·吉甫帽	CustomArmor	8959	0	-1	-1	0	3250000			1				54700		7	8717	1		5							1					头部
力挽狂澜·吉甫帽	CustomArmor	8960	0	-1	-1	0	3250000			1				54700		7	8718	1		5							1					头部
力挽狂澜·慎微冠	CustomArmor	8961	0	-1	-1	0	3250000			1				54700		7	8719	1		5							1					头部
力挽狂澜·慎微冠	CustomArmor	8962	0	-1	-1	0	3250000			1				54700		7	8720	1		5							1					头部
力挽狂澜·吉甫袖	CustomArmor	8849	0	-1	-1	0	2530000			1				42500		7	8739	1		1							1					护臂
力挽狂澜·吉甫袖	CustomArmor	8850	0	-1	-1	0	2530000			1				42500		7	8740	1		1							1					护臂
力挽狂澜·慎微袖	CustomArmor	8851	0	-1	-1	0	2530000			1				42500		7	8741	1		1							1					护臂
力挽狂澜·慎微袖	CustomArmor	8852	0	-1	-1	0	2530000			1				42500		7	8742	1		1							1					护臂
力挽狂澜·吉甫衣	CustomArmor	8871	0	-1	-1	0	3620000			1				60800		7	8761	1		6							1					上衣
力挽狂澜·吉甫衣	CustomArmor	8872	0	-1	-1	0	3620000			1				60800		7	8762	1		6							1					上衣
力挽狂澜·慎微袍	CustomArmor	8873	0	-1	-1	0	3620000			1				60800		7	8763	1		6							1					上衣
力挽狂澜·慎微袍	CustomArmor	8874	0	-1	-1	0	3620000			1				60800		7	8764	1		6							1					上衣
力挽狂澜·吉甫裾	CustomArmor	8893	0	-1	-1	0	3620000			1				60800		7	8783	1		4							1					裤子
力挽狂澜·吉甫裾	CustomArmor	8894	0	-1	-1	0	3620000			1				60800		7	8784	1		4							1					裤子
力挽狂澜·慎微裾	CustomArmor	8895	0	-1	-1	0	3620000			1				60800		7	8785	1		4							1					裤子
力挽狂澜·慎微裾	CustomArmor	8896	0	-1	-1	0	3620000			1				60800		7	8786	1		4							1					裤子
力挽狂澜·吉甫履	CustomArmor	8915	0	-1	-1	0	2530000			1				42500		7	8805	1		2							1					鞋子
力挽狂澜·吉甫履	CustomArmor	8916	0	-1	-1	0	2530000			1				42500		7	8806	1		2							1					鞋子
力挽狂澜·慎微履	CustomArmor	8917	0	-1	-1	0	2530000			1				42500		7	8807	1		2							1					鞋子
力挽狂澜·慎微履	CustomArmor	8918	0	-1	-1	0	2530000			1				42500		7	8808	1		2							1					鞋子
力挽狂澜·吉甫带	CustomArmor	8937	0	-1	-1	0	2530000			1				42500		7	8827	1		3							1					腰带
力挽狂澜·吉甫带	CustomArmor	8938	0	-1	-1	0	2530000			1				42500		7	8828	1		3							1					腰带
力挽狂澜·慎微带	CustomArmor	8939	0	-1	-1	0	2530000			1				42500		7	8829	1		3							1					腰带
力挽狂澜·慎微带	CustomArmor	8940	0	-1	-1	0	2530000			1				42500		7	8830	1		3							1					腰带
战无不胜·伏乾护手	CustomArmor	8981	0	-1	-1	0	2670000			1				35600		7	8849	1		8							1					护臂
战无不胜·伏乾护手	CustomArmor	8982	0	-1	-1	0	2670000			1				35600		7	8850	1		8							1					护臂
战无不胜·玄风流袖	CustomArmor	8983	0	-1	-1	0	2670000			1				35600		7	8851	1		8							1					护臂
战无不胜·玄风流袖	CustomArmor	8984	0	-1	-1	0	2670000			1				35600		7	8852	1		8							1					护臂
战无不胜·伏乾衣	CustomArmor	9003	0	-1	-1	0	3820000			1				50900		7	8871	1		13							1					上衣
战无不胜·伏乾衣	CustomArmor	9004	0	-1	-1	0	3820000			1				50900		7	8872	1		13							1					上衣
战无不胜·玄风衣	CustomArmor	9005	0	-1	-1	0	3820000			1				50900		7	8873	1		13							1					上衣
战无不胜·玄风衣	CustomArmor	9006	0	-1	-1	0	3820000			1				50900		7	8874	1		13							1					上衣
战无不胜·伏乾裾	CustomArmor	9025	0	-1	-1	0	3820000			1				50900		7	8893	1		11							1					裤子
战无不胜·伏乾裾	CustomArmor	9026	0	-1	-1	0	3820000			1				50900		7	8894	1		11							1					裤子
战无不胜·玄风裤	CustomArmor	9027	0	-1	-1	0	3820000			1				50900		7	8895	1		11							1					裤子
战无不胜·玄风裤	CustomArmor	9028	0	-1	-1	0	3820000			1				50900		7	8896	1		11							1					裤子
战无不胜·伏乾靴	CustomArmor	9047	0	-1	-1	0	2670000			1				35600		7	8915	1		9							1					鞋子
战无不胜·伏乾靴	CustomArmor	9048	0	-1	-1	0	2670000			1				35600		7	8916	1		9							1					鞋子
战无不胜·玄风靴	CustomArmor	9049	0	-1	-1	0	2670000			1				35600		7	8917	1		9							1					鞋子
战无不胜·玄风靴	CustomArmor	9050	0	-1	-1	0	2670000			1				35600		7	8918	1		9							1					鞋子
战无不胜·伏乾束腰	CustomArmor	9069	0	-1	-1	0	2670000			1				35600		7	8937	1		10							1					腰带
战无不胜·伏乾束腰	CustomArmor	9070	0	-1	-1	0	2670000			1				35600		7	8938	1		10							1					腰带
战无不胜·玄风带	CustomArmor	9071	0	-1	-1	0	2670000			1				35600		7	8939	1		10							1					腰带
战无不胜·玄风带	CustomArmor	9072	0	-1	-1	0	2670000			1				35600		7	8940	1		10							1					腰带
战无不胜·伏乾帽	CustomArmor	9091	0	-1	-1	0	3430000			1				45800		7	8959	1		12							1					头部
战无不胜·伏乾帽	CustomArmor	9092	0	-1	-1	0	3430000			1				45800		7	8960	1		12							1					头部
战无不胜·玄风冠	CustomArmor	9093	0	-1	-1	0	3430000			1				45800		7	8961	1		12							1					头部
