Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position	nPercentByGameDesign	BeginSellTime
铁血丹心·囊	CustomTrinket	2251	0	-1	-1	0	4700000			1				6400						14							1					腰部扩展	1	
碧落青冥·龙威佩剑	CustomTrinket	5357	0	-1	-1	0	8800000			1				15700						14							1					腰部扩展	1	
战无不胜·刃	CustomTrinket	3874	0	-1	-1	0	8900000			1				15700						14							1					腰部扩展	1	
剑胆琴心·丹阳令	CustomTrinket	6970	0	-1	-1	0	9900000			1				15700						14							1					腰部扩展	1	
雪渊龙吟·皇拥风云	CustomTrinket	10177	0	-1	-1	0	11900000			1				15700						14							1					腰部扩展	1	
铁血丹心·弓	CustomTrinket	2250	0	-1	-1	0	13100000			1				6400						14							1					背部扩展	1	
碧落青冥·龙腾四海	CustomTrinket	5355	0	-1	-1	0	24500000			1				39200						14							1					背部扩展	1	
战无不胜·盾	CustomTrinket	3872	0	-1	-1	0	24800000			1				39200						14							1					背部扩展	1	
剑胆琴心·丹阳之义	CustomTrinket	6968	0	-1	-1	0	27700000			1				39200						14							1					背部扩展	1	
雪渊龙吟·皇宇龙鞘	CustomTrinket	10178	0	-1	-1	0	33100000			1				39200						14							1					背部扩展	1	
四海归一·流年	CustomTrinket	11646	0	-1	-1	0	13800000			1				15700						14							1					腰部扩展	1	
四海归一·逝水	CustomTrinket	11644	0	-1	-1	0	38300000			1				39200						14							1					背部扩展	1	
沧海奔流·毕方吞焰	CustomTrinket	19152	0	-1	1	0	113100000			1				64200						14							1					背部扩展	1	
沧海奔流·银华盏	CustomTrinket	19153	0	-1	1	0	40600000			1				25700						14							1					腰部扩展	1	
威震诸侯·金钟照胆	CustomTrinket	12980	0	-1	1	0	40400000			1				50000						14							1					背部扩展	1	
威震诸侯·追魂碧刺	CustomTrinket	12982	0	-1	1	0	14500000			1				20000						14							1					腰部扩展	1	
剑啸青穹·庚午之谪	CustomTrinket	13651	0	-1	1	0	42400000			1				50000						14							1					背部扩展	1	
剑啸青穹·乘阳帝令	CustomTrinket	13653	0	-1	1	0	15300000			1				20000						14							1					腰部扩展	1	
冠世风流·金线血河	CustomTrinket	16768	0	-1	1	0	106400000			1				50000						14							1					背部扩展	1	
冠世风流·往生千魂	CustomTrinket	16769	0	-1	1	0	38300000			1				20000						14							1					腰部扩展	1	
海晏河清·赤羽旗	CustomTrinket	19433	0	-1	1	0	121400000			1				50000						14							1					背部扩展	1	
海晏河清·苍龙鸣月	CustomTrinket	19434	0	-1	1	0	43600000			1				20000						14							1					腰部扩展	1	
碧血丹心·刺霄	CustomTrinket	19690	0	-1	1	0	130500000			1				50000						14							1					背部扩展	1	
碧血丹心·龙狮鹰爪	CustomTrinket	19691	0	-1	1	0	46900000			1				20000						14							1					腰部扩展	1	
万里长风·筑歌	CustomTrinket	19817	0	-1	1	0	140500000			1				50000						14							1					背部扩展	1	
万里长风·震宇	CustomTrinket	19818	0	-1	1	0	50500000			1				20000						14							1					腰部扩展	1	
鲸波荡世·负勇	CustomTrinket	19908	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
鲸波荡世·霜绝	CustomTrinket	19909	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
清空挂角·天心照	CustomTrinket	25216	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
清空挂角·月长吟	CustomTrinket	25218	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
凌幡折风·乾坤游	CustomTrinket	25309	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
凌幡折风·清辉	CustomTrinket	25311	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
天命奉节·长空	CustomTrinket	25444	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
天命奉节·峥嵘	CustomTrinket	25446	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
龙战玄黄·长空曜日	CustomTrinket	25535	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
龙战玄黄·长空腰刀	CustomTrinket	25557	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
剑荡清波·振勇声	CustomTrinket	25669	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
剑荡清波·强击	CustomTrinket	25671	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
降龙伏虎·碎玉鸣	CustomTrinket	25816	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
降龙伏虎·传觞	CustomTrinket	25815	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
骇风怒浪·逝长川	CustomTrinket	25955	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
骇风怒浪·定鼎	CustomTrinket	25954	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
峰隐流云·谓道	CustomTrinket	26055	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
峰隐流云·慎初	CustomTrinket	26053	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
峰隐流云·谓道	CustomTrinket	36723	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
峰隐流云·慎初	CustomTrinket	36722	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
峰隐流云·谓道	CustomTrinket	36856	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
峰隐流云·慎初	CustomTrinket	36858	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
