Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
《北冥剑气·太极无极》秘诀残页	Other	8438	0	-1	1	0	16970			1												35					1					
《天道剑势·三环套月》参悟残页	Other	8428	0	-1	1	0	17925			1												35					1					
《北冥剑气·太极无极》参悟残页	Other	8443	0	-1	1	0	17925			1												35					1					
《北冥剑气·两仪化形》秘诀残页	Other	8397	0	-1	1	0	21815			1												160					1					
《天道剑势·无我无剑》秘诀残页	Other	8446	0	-1	1	0	21815			1												140					1					
《北冥剑气·两仪化形》参悟残页	Other	8401	0	-1	1	0	31010			1												160					1					
《天道剑势·无我无剑》参悟残页	Other	8450	0	-1	1	0	31010			1												140					1					
《天道剑势·三环套月》秘诀残页	Other	8424	0	-1	1	0	16970			1												35					1					
《北冥剑气·两仪化形》详解残页	Other	8399	0	-1	1	0	16970			1												210					1					
《天道剑势·无我无剑》详解残页	Other	8448	0	-1	1	0	16970			1												190					1					
《北冥剑气·太极无极》详解残页	Other	8441	0	-1	1	0	21815			1												55					1					
《坐忘经·返本归元》真传残页	Other	8393	0	-1	1	0	85060			1												30					1					
《天道剑势·人剑合一》参悟残页	Other	8420	0	-1	1	0	85060			1												145					1					
《天道剑势·三环套月》参悟断篇	Other	8429	0	-1	1	0	85060			1												35					1					
《北冥剑气·太极无极》参悟断篇	Other	8444	0	-1	1	0	85060			1												35					1					
《北冥剑气·两仪化形》参悟断篇	Other	8402	0	-1	1	0	107760			1												175					1					
《天道剑势·无我无剑》参悟断篇	Other	8451	0	-1	1	0	107760			1												155					1					
《天道剑势·三环套月》秘诀断篇	Other	8425	0	-1	1	0	45170			1												40					1					
《天道剑势·三环套月》详解断篇	Other	8427	0	-1	1	0	45170			1												55					1					
《纯阳诀·生太极》注解残页	Other	8432	0	-1	1	0	45170			1												45					1					
《北冥剑气·太极无极》秘诀断篇	Other	8439	0	-1	1	0	45170			1												40					1					
