Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
《西河剑器·江海凝光》参悟残页	Other	8477	0	-1	1	0	17925			1												35					1					
《霓裳羽衣·翔鸾舞柳》注解残页	Other	8495	0	-1	1	0	10335			1												100					1					
《猿公剑法·剑气长江》参悟残页	Other	8466	0	-1	1	0	31010			1												150					1					
《西河剑器·江海凝光》注解残页	Other	8474	0	-1	1	0	35920			1												30					1					
《霓裳羽衣·翔鸾舞柳》真传残页	Other	8497	0	-1	1	0	50915			1												135					1					
《霓裳羽衣·翔鸾舞柳》人偶图残页	Other	8498	0	-1	1	0	152750			1												170					1					
《西河剑器·江海凝光》秘诀残页	Other	8475	0	-1	1	0	21815			1												35					1					
《西河剑器·江海凝光》参悟断篇	Other	8478	0	-1	1	0	65450			1												35					1					
《剑器浑脱·心鼓弦》真传残页	Other	8502	0	-1	1	0	85060			1												75					1					
《霓裳羽衣·上元点鬟》注解残页	Other	8487	0	-1	1	0	35920			1												40					1					
《霓裳羽衣·左旋右转》真传残页	Other	8507	0	-1	1	0	135505			1												50					1					
《西河剑器·天地低昂》注解残页	Other	8492	0	-1	1	0	60815			1												115					1					
《霓裳羽衣·翔鸾舞柳》注解断篇	Other	8496	0	-1	1	0	60815			1												110					1					
《西河剑器·天地低昂》穴位图残页	Other	8490	0	-1	1	0	182445			1												250					1					
《西河剑器·天地低昂》穴位图断篇	Other	8491	0	-1	1	0	182445			1												250					1					
《霓裳羽衣·左旋右转》真传断篇	Other	8508	0	-1	1	0	236395			1												50					1					
《剑器浑脱·心鼓弦》经脉图断篇	Other	8500	0	-1	1	0	890825			1												175					1					
《西河剑器·江海凝光》真传绝章	Other	8476	0	-1	1	0	375255			1												65					1					
《霓裳羽衣·上元点鬟》真传残页	Other	8488	0	-1	1	0	375255			1												65					1					
《剑器浑脱·心鼓弦》穴位图断篇	Other	8499	0	-1	1	0	375255			1												150					1					
《霓裳羽衣·左旋右转》人偶图断篇	Other	8509	0	-1	1	0	1125770			1												105					1					
《霓裳羽衣·上元点鬟》真传绝章	Other	8489	0	-1	1	0	460340			1												75					1					
《西河剑器·天地低昂》人偶图残页	Other	8494	0	-1	1	0	1256125			1												375					1					
《剑器浑脱·心鼓弦》经脉图绝章	Other	8501	0	-1	1	0	1256125			1												215					1					
《剑器浑脱·满堂势》穴位图残页	Other	4160	0	-1	1	0	418710			1												390					1					
《霓裳羽衣·上元点鬟》真传断篇	Other	4171	0	-1	1	0	418710			1												165					1					
《霓裳羽衣·翔鸾舞柳》真传绝章	Other	4185	0	-1	1	0	418710			1												390					1					
《剑器浑脱·心鼓弦》穴位图绝章	Other	4190	0	-1	1	0	418710			1												270					1					
《霓裳羽衣·左旋右转》真传绝章	Other	4206	0	-1	1	0	418710			1												115					1					
《猿公剑法·剑气长江》穴位图残页	Other	4130	0	-1	1	0	460340			1												390					1					
《猿公剑法·剑气长江》穴位图断篇	Other	4131	0	-1	1	0	460340			1												390					1					
《西河剑器·天地低昂》手抄残页	Other	4178	0	-1	1	0	460340			1												390					1					
《剑器浑脱·满堂势》人偶图残页	Other	4165	0	-1	1	0	1381025			1												390					1					
