Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
《秀水剑法·玉虹贯日》秘笈	Other	7419	0	-1	-1	0	200000			1												20					0					
《秀水剑法·九溪弥烟》秘笈	Other	7420	0	-1	-1	0	200000			1												50					0					
《秀水剑法·玉泉鱼跃》秘笈	Other	7421	0	-1	-1	0	200000			1												90					0					
《秀水剑法·梦泉虎跑》秘笈	Other	7422	0	-1	-1	0	200000			1												80					0					
《灵峰剑式·云飞玉皇》秘笈	Other	7423	0	-1	-1	0	200000			1												80					0					
《灵峰剑式·鹤归孤山》秘笈	Other	7424	0	-1	-1	0	200000			1												50					0					
《灵峰剑式·峰插云景》秘笈	Other	7425	0	-1	-1	0	200000			1												20					0					
《灵峰剑式·风来吴山》秘笈	Other	7426	0	-1	-1	0	200000			1												90					0					
《君子风·惊涛》秘笈	Other	7427	0	-1	-1	0	200000			1												20					0					
《君子风·醉月》秘笈	Other	7428	0	-1	-1	0	200000			1												90					0					
《君子风·探梅》秘笈	Other	7429	0	-1	-1	0	200000			1												80					0					
《君子风·断潮》秘笈	Other	7430	0	-1	-1	0	200000			1												50					0					
《君子风·摘星》秘笈	Other	7431	0	-1	-1	0	200000			1												80					0					
《西子情·莺鸣柳》秘笈	Other	7432	0	-1	-1	0	200000			1												20					0					
《西子情·雪断桥》秘笈	Other	7433	0	-1	-1	0	200000			1												50					0					
《西子情·风吹荷》秘笈	Other	7434	0	-1	-1	0	200000			1												80					0					
《西子情·云栖松》秘笈	Other	7435	0	-1	-1	0	200000			1												90					0					
《问水诀·第四重》秘笈	Other	7411	0	-1	-1	0	1200000			1												30					0					
《山居剑意·第四重》秘笈	Other	7415	0	-1	-1	0	1200000			1												30					0					
《问水诀·第五重》秘笈	Other	7412	0	-1	-1	0	1400000			1												60					0					
《山居剑意·第五重》秘笈	Other	7416	0	-1	-1	0	1400000			1												60					0					
《问水诀·第六重》秘笈	Other	7413	0	-1	-1	0	1600000			1												90					0					
《山居剑意·第六重》秘笈	Other	7417	0	-1	-1	0	1600000			1												90					0					
《问水诀·第七重》秘笈	Other	7414	0	-1	-1	0	1800000			1												100					0					
《山居剑意·第七重》秘笈	Other	7418	0	-1	-1	0	1800000			1												100					0					
