Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
《坐忘经·吐故纳新》秘笈	Other	7298	0	-1	-1	0	200000			1												20					0					
《坐忘经·凭虚御风》秘笈	Other	7299	0	-1	-1	0	200000			1												50					0					
《坐忘经·返本归元》秘笈	Other	7300	0	-1	-1	0	200000			1												50					0					
《坐忘经·抱元守缺》秘笈	Other	7301	0	-1	-1	0	200000			1												80					0					
《坐忘经·韬光养晦》秘笈	Other	7302	0	-1	-1	0	200000			1												90					0					
《坐忘经·梯云纵》秘笈	Other	7303	0	-1	-1	0	200000			1												20					0					
《纯阳诀·化三清》秘笈	Other	7304	0	-1	-1	0	200000			1												80					0					
《纯阳诀·冲阴阳》秘笈	Other	7305	0	-1	-1	0	200000			1												20					0					
《纯阳诀·镇山河》秘笈	Other	7306	0	-1	-1	0	200000			1												90					0					
《纯阳诀·凌太虚》秘笈	Other	7307	0	-1	-1	0	200000			1												50					0					
《纯阳诀·碎星辰》秘笈	Other	7308	0	-1	-1	0	200000			1												20					0					
《纯阳诀·吞日月》秘笈	Other	7309	0	-1	-1	0	200000			1												50					0					
《纯阳诀·转乾坤》秘笈	Other	7310	0	-1	-1	0	200000			1												90					0					
《天道剑势·万剑归宗》秘笈	Other	7311	0	-1	-1	0	200000			1												20					0					
《天道剑势·剑飞惊天》秘笈	Other	7312	0	-1	-1	0	200000			1												80					0					
《天道剑势·大道无术》秘笈	Other	7313	0	-1	-1	0	200000			1												90					0					
《天道剑势·天地无极》秘笈	Other	7314	0	-1	-1	0	200000			1												50					0					
《天道剑势·人剑合一》秘笈	Other	7317	0	-1	-1	0	200000			1												20					0					
《北冥剑气·三才化生》秘笈	Other	7318	0	-1	-1	0	200000			1												20					0					
《北冥剑气·四象轮回》秘笈	Other	7319	0	-1	-1	0	200000			1												20					0					
《北冥剑气·六合独尊》第一重秘笈	Other	7321	0	-1	-1	0	200000			1												20					0					
《北冥剑气·六合独尊》第二重秘笈	Other	7322	0	-1	-1	0	200000			1												50					0					
《北冥剑气·六合独尊》第三重秘笈	Other	7323	0	-1	-1	0	200000			1												80					0					
《北冥剑气·六合独尊》第四重秘笈	Other	7324	0	-1	-1	0	200000			1												90					0					
《北冥剑气·七星拱瑞》秘笈	Other	7325	0	-1	-1	0	200000			1												50					0					
《北冥剑气·八卦洞玄》秘笈	Other	7326	0	-1	-1	0	200000			1												50					0					
《北冥剑气·九转归一》秘笈	Other	7327	0	-1	-1	0	200000			1												80					0					
《太虚剑意·第四重》秘笈	Other	7290	0	-1	-1	0	1200000			1												30					0					
《紫霞功·第四重》秘笈	Other	7294	0	-1	-1	0	1200000			1												30					0					
《太虚剑意·第五重》秘笈	Other	7291	0	-1	-1	0	1400000			1												60					0					
《紫霞功·第五重》秘笈	Other	7295	0	-1	-1	0	1400000			1												60					0					
《太虚剑意·第六重》秘笈	Other	7292	0	-1	-1	0	1600000			1												90					0					
《紫霞功·第六重》秘笈	Other	7296	0	-1	-1	0	1600000			1												90					0					
《太虚剑意·第七重》秘笈	Other	7293	0	-1	-1	0	1800000			1												100					0					
《紫霞功·第七重》秘笈	Other	7297	0	-1	-1	0	1800000			1												100					0					
