Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
《袈裟伏魔功·金刚怒目》秘笈	Other	7269	0	-1	-1	0	200000			1												20					0					
《袈裟伏魔功·袖纳乾坤》秘笈	Other	7270	0	-1	-1	0	200000			1												50					0					
《袈裟伏魔功·五蕴皆空》秘笈	Other	7271	0	-1	-1	0	200000			1												80					0					
《袈裟伏魔功·灵山施雨》秘笈	Other	7272	0	-1	-1	0	200000			1												80					0					
《袈裟伏魔功·亦枯亦荣》秘笈	Other	7273	0	-1	-1	0	200000			1												50					0					
《袈裟伏魔功·大狮子吼》秘笈	Other	7274	0	-1	-1	0	200000			1												90					0					
《达摩武诀·佛心诀》秘笈	Other	7275	0	-1	-1	0	200000			1												20					0					
《达摩武诀·锻骨诀》秘笈	Other	7276	0	-1	-1	0	200000			1												80					0					
《达摩武诀·轮回诀》秘笈	Other	7277	0	-1	-1	0	200000			1												50					0					
《达摩武诀·擒龙诀》秘笈	Other	7278	0	-1	-1	0	200000			1												90					0					
《达摩武诀·无相诀》秘笈	Other	7279	0	-1	-1	0	200000			1												50					0					
《达摩武诀·舍身诀》秘笈	Other	7280	0	-1	-1	0	200000			1												20					0					
《罗汉棍法·万佛朝宗》秘笈	Other	7281	0	-1	-1	0	200000			1												50					0					
《罗汉棍法·横扫六合》秘笈	Other	7282	0	-1	-1	0	200000			1												20					0					
《罗汉棍法·摩诃无量》秘笈	Other	7283	0	-1	-1	0	200000			1												80					0					
《罗汉棍法·恒河劫沙》秘笈	Other	7284	0	-1	-1	0	200000			1												90					0					
《罗汉棍法·千斤坠》秘笈	Other	7285	0	-1	-1	0	200000			1												20					0					
《龙爪功·抢珠式》秘笈	Other	7286	0	-1	-1	0	200000			1												90					0					
《龙爪功·守缺式》秘笈	Other	7287	0	-1	-1	0	200000			1												20					0					
《龙爪功·捉影式》秘笈	Other	7288	0	-1	-1	0	200000			1												50					0					
《龙爪功·拿云式》秘笈	Other	7289	0	-1	-1	0	200000			1												80					0					
《洗髓经·第四重》秘笈	Other	7260	0	-1	-1	0	1200000			1												30					0					
《易筋经·第四重》秘笈	Other	7264	0	-1	-1	0	1200000			1												30					0					
《洗髓经·第五重》秘笈	Other	7261	0	-1	-1	0	1400000			1												60					0					
《易筋经·第五重》秘笈	Other	7265	0	-1	-1	0	1400000			1												60					0					
《洗髓经·第六重》秘笈	Other	7262	0	-1	-1	0	1600000			1												90					0					
《易筋经·第六重》秘笈	Other	7266	0	-1	-1	0	1600000			1												90					0					
《洗髓经·第七重》秘笈	Other	7263	0	-1	-1	0	1800000			1												100					0					
《易筋经·第七重》秘笈	Other	7267	0	-1	-1	0	1800000			1												100					0					
