Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
《养心诀·碧水滔天》秘笈	Other	7336	0	-1	-1	0	200000			1												90					0					
《养心诀·清风垂露》秘笈	Other	7337	0	-1	-1	0	200000			1												20					0					
《养心诀·花语酥心》秘笈	Other	7338	0	-1	-1	0	200000			1												50					0					
《养心诀·星楼月影》秘笈	Other	7339	0	-1	-1	0	200000			1												90					0					
《养心诀·水月无间》秘笈	Other	7340	0	-1	-1	0	200000			1												90					0					
《太素九针·提针》秘笈	Other	7341	0	-1	-1	0	200000			1												20					0					
《太素九针·锋针》秘笈	Other	7342	0	-1	-1	0	200000			1												20					0					
《太素九针·彼针》秘笈	Other	7343	0	-1	-1	0	200000			1												80					0					
《太素九针·毫针》秘笈	Other	7344	0	-1	-1	0	200000			1												80					0					
《太素九针·长针》秘笈	Other	7345	0	-1	-1	0	200000			1												50					0					
《太素九针·大针》秘笈	Other	7346	0	-1	-1	0	200000			1												90					0					
《点穴截脉·少阳指》秘笈	Other	7347	0	-1	-1	0	200000			1												50					0					
《点穴截脉·厥阴指》秘笈	Other	7348	0	-1	-1	0	200000			1												80					0					
《点穴截脉·少明指》秘笈	Other	7349	0	-1	-1	0	200000			1												90					0					
《点穴截脉·太阴指》秘笈	Other	7350	0	-1	-1	0	200000			1												20					0					
《百花拂穴手·芙蓉并蒂》秘笈	Other	7351	0	-1	-1	0	200000			1												50					0					
《百花拂穴手·傍花随柳》秘笈	Other	7352	0	-1	-1	0	200000			1												80					0					
《百花拂穴手·浮花浪蕊》秘笈	Other	7353	0	-1	-1	0	200000			1												90					0					
《百花拂穴手·钟林毓秀》秘笈	Other	7354	0	-1	-1	0	200000			1												20					0					
《花间游·第四重》秘笈	Other	7328	0	-1	-1	0	1200000			1												30					0					
《离经易道·第四重》秘笈	Other	7332	0	-1	-1	0	1200000			1												30					0					
《花间游·第五重》秘笈	Other	7329	0	-1	-1	0	1400000			1												60					0					
《离经易道·第五重》秘笈	Other	7333	0	-1	-1	0	1400000			1												60					0					
《花间游·第六重》秘笈	Other	7330	0	-1	-1	0	1600000			1												90					0					
《离经易道·第六重》秘笈	Other	7334	0	-1	-1	0	1600000			1												90					0					
《花间游·第七重》秘笈	Other	7331	0	-1	-1	0	1800000			1												100					0					
《离经易道·第七重》秘笈	Other	7335	0	-1	-1	0	1800000			1												100					0					
