Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position	nPercentByGameDesign	BeginSellTime	PlayerRemoteDataPos	PlayerRemoteDataLength	PlayerBuyLimit
悟柏	CustomWeapon	3576	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
禅松	CustomWeapon	3577	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
武魄	CustomWeapon	3578	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
英魂	CustomWeapon	3579	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
覆雨	CustomWeapon	3571	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
升晖	CustomWeapon	3572	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
起荫	CustomWeapon	3573	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
划穹	CustomWeapon	3574	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
雅池	CustomWeapon	3575	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
千汇	CustomWeapon	3580	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
百纳	CustomWeapon	3581	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
翻云	CustomWeapon	3570	0	-1	-1	0	1000000			1						5	9839	1									1					近程武器	0.4				
万鬼	CustomWeapon	3582	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
济灵	CustomWeapon	3583	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
飞鸿	CustomWeapon	4658	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
幻翼	CustomWeapon	4659	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
电萦刀	CustomWeapon	5896	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
雷惊刃	CustomWeapon	5895	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
鹤火	CustomWeapon	6803	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
满目空	CustomWeapon	9503	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
无缘终	CustomWeapon	9504	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
顾阳	CustomWeapon	11394	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
亦宸	CustomWeapon	11395	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
孑遗	CustomWeapon	14424	0	-1	-1	0	2000000			1						5	9839	1									1					近程武器	0.4				
菩提木	CustomWeapon	10058	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
十方净土	CustomWeapon	10059	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
嗔心	CustomWeapon	10060	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
淳德全道	CustomWeapon	10061	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
奇正相变	CustomWeapon	10062	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
将握	CustomWeapon	10063	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
翼若垂云	CustomWeapon	10064	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
南冥天池	CustomWeapon	10065	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
秋宴凝	CustomWeapon	10066	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
陌上桑兰	CustomWeapon	10067	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
千蛛噬	CustomWeapon	10068	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
枕郎梦	CustomWeapon	10069	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
蜀门青	CustomWeapon	10070	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
射月归	CustomWeapon	10071	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
星绕云	CustomWeapon	10072	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
月隐山	CustomWeapon	10073	0	-1	-1	0	1500000			1						5	22516	1									1					近程武器	0.4				
天地豪	CustomWeapon	10074	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
火燃山	CustomWeapon	10075	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
斡阴阳	CustomWeapon	10076	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
鸣玉鸾	CustomWeapon	10077	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
背滚金珠	CustomWeapon	10078	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
鸳鸯弄	CustomWeapon	11870	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
七弦渡江	CustomWeapon	11871	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
观行	CustomWeapon	14499	0	-1	-1	0	3100000			1						5	22516	1									1					近程武器	0.4				
真鸿	CustomWeapon	10636	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
万劫	CustomWeapon	10637	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
简书	CustomWeapon	10638	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
潇湘夜	CustomWeapon	10639	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
马踏红霓	CustomWeapon	10640	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
天子不伐	CustomWeapon	10641	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
太沙紫蒲	CustomWeapon	10642	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
仰太清	CustomWeapon	10643	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
剪秋月	CustomWeapon	10644	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
兰芷玉人	CustomWeapon	10645	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
花说	CustomWeapon	10646	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
拥仙	CustomWeapon	10647	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
雪鹰	CustomWeapon	10648	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
探花	CustomWeapon	10649	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
秦云古柳	CustomWeapon	10650	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
龙楼游凤	CustomWeapon	10651	0	-1	-1	0	1600000			1						5	23331	1									1					近程武器	0.4				
梨歌踏	CustomWeapon	10652	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
星沙火	CustomWeapon	10653	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
银光洗月	CustomWeapon	10654	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
霜天曙	CustomWeapon	10655	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
桑梓远	CustomWeapon	10656	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
芙蓉盏	CustomWeapon	11922	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
春雪透酥	CustomWeapon	11923	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
骨横	CustomWeapon	14508	0	-1	-1	0	3200000			1						5	23331	1									1					近程武器	0.4				
除业棍	CustomWeapon	12874	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
抱幽棍	CustomWeapon	12875	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
黄埃笔	CustomWeapon	12876	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
山川泪笔	CustomWeapon	12877	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
平土枪	CustomWeapon	12878	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
猎野枪	CustomWeapon	12879	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
玄通剑	CustomWeapon	12880	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
冬涉川剑	CustomWeapon	12881	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
斜光双剑	CustomWeapon	12882	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
风云朝夕剑	CustomWeapon	12883	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
梅郊笛	CustomWeapon	12884	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
奇弄笛	CustomWeapon	12885	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
浮埃弩	CustomWeapon	12886	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
凤吹弩	CustomWeapon	12887	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
北斗轻剑	CustomWeapon	12888	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
扶桑重剑	CustomWeapon	12889	0	-1	-1	0	2800000			1						5	26120	1									1					近程武器	0.4				
孟冬棒	CustomWeapon	12890	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
清嘉双刀	CustomWeapon	12891	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
朝霜双刀	CustomWeapon	12892	0	-1	-1	0	5600000			1						5	26120	1									1					近程武器	0.4				
