Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
ÉúÆ¤°°ÊÎ	CustomTrinket	17554	0	-1	-1	0	250000			1																	0					
ÉúÆ¤×ãÊÎ	CustomTrinket	17553	0	-1	-1	0	250000			1																	0					
ÉúÆ¤Í·ÊÎ	CustomTrinket	17555	0	-1	-1	0	250000			1																	0					
Êì»¯Æ¤°°ÊÎ	CustomTrinket	17557	0	-1	-1	0	250000			1																	0					
Êì»¯Æ¤×ãÊÎ	CustomTrinket	17556	0	-1	-1	0	250000			1																	0					
Êì»¯Æ¤Í·ÊÎ	CustomTrinket	17558	0	-1	-1	0	250000			1																	0					
ºñÆ¤°°ÊÎ	CustomTrinket	17560	0	-1	-1	0	250000			1																	0					
ºñÆ¤×ãÊÎ	CustomTrinket	17559	0	-1	-1	0	250000			1																	0					
ºñÆ¤Í·ÊÎ	CustomTrinket	17561	0	-1	-1	0	250000			1																	0					
ÌúÆ¤°°ÊÎ	CustomTrinket	17566	0	-1	-1	0	1500000			1																	0					
ÌúÆ¤×ãÊÎ	CustomTrinket	17565	0	-1	-1	0	1500000			1																	0					
ÌúÆ¤Í·ÊÎ	CustomTrinket	17567	0	-1	-1	0	1500000			1																	0					
Ó²¼×°°ÊÎ	CustomTrinket	17569	0	-1	-1	0	1500000			1																	0					
Ó²¼××ãÊÎ	CustomTrinket	17568	0	-1	-1	0	1500000			1																	0					
Ó²¼×Í·ÊÎ	CustomTrinket	17570	0	-1	-1	0	1500000			1																	0					
ÉúÌú°°ÊÎ	CustomTrinket	17572	0	-1	-1	0	1500000			1																	0					
ÉúÌú×ãÊÎ	CustomTrinket	17571	0	-1	-1	0	1500000			1																	0					
ÉúÌúÍ·ÊÎ	CustomTrinket	17573	0	-1	-1	0	1500000			1																	0					
ÔÆÔ¨°°ÊÎ	CustomTrinket	17575	0	-1	-1	0	2500000			1																	0					
ÔÆÔ¨×ãÊÎ	CustomTrinket	17574	0	-1	-1	0	2500000			1																	0					
ÔÆÔ¨Í·ÊÎ	CustomTrinket	17576	0	-1	-1	0	2500000			1																	0					
±Ìº£°°ÊÎ	CustomTrinket	17578	0	-1	-1	0	2500000			1																	0					
±Ìº£×ãÊÎ	CustomTrinket	17577	0	-1	-1	0	2500000			1																	0					
±Ìº£Í·ÊÎ	CustomTrinket	17579	0	-1	-1	0	2500000			1																	0					
È¾Ñª°°ÊÎ	CustomTrinket	17582	0	-1	-1	0	2500000			1																	0					
È¾Ñª×ãÊÎ	CustomTrinket	17581	0	-1	-1	0	2500000			1																	0					
È¾ÑªÍ·ÊÎ	CustomTrinket	17583	0	-1	-1	0	2500000			1																	0					
