ID	Name	BarText
0		
1	遗体	
2	快速消失遗体	
3	农具架	
4	农具架	
5	竹笋 	采集
6	刀	拾取
7	枪	拾取
8	棍	拾取
9	布娃娃	拾取
10	草叉	拾取
11	凝血草	采集
12	麦穗	拾取
13	箭矢用木材	拾取
14	木材	拾取
15	干材堆	拾取
16	血衣	拾取
17	水井	水井
18	小箱子	打开
19	土堆	打开
20	野菜	采集
21	粮草	拾取
22	稻香村告示	
23	路标	
24	稻香村	
25	任务表现火	
26	忠义亭	
27	稻山野林	
28	小镜湖	
29	稻香神树	
30	兰若寺	
31	武场	
34	茶树	采集
35	会及	采集
36	茶菇	拾取
37	弦枫的遗体	
38	醉鱼草	采集
39	蓝实	采集
40	幽绿土壤	挖掘
41	竹枝	拾取
42	硝石	拾取
43	木炭	拾取
44	白轩藏画	查看
47	白轩之作	拾取
48	颜真卿藏字	
51	猴儿酒	拾取
52	甑子	
53	杵臼	使用
54	纹银茶碾	使用
55	装着水的碗	
56	滚着沸水的风炉	
57	钟乳石	
58	上锁的木盒	打开
59	一沓纸	
60	白纸（案台）	
61	面袋	拾取
62	刀	拾取
63	桃子	拾取
64	木锨	拾取
65	青鱼石	拾取
66	灵猴宝藏	拾取
67	朱丹果	采集
68	案台	习字
69	冷紫参	采集
70	七情菇	摧毁
71	峰嶂	摧毁
72	霞景	摧毁
73	寒雨	摧毁
74	纤麟	摧毁
75	蕴藏毒液的机关	拆解
76	玉佩碎片	拾取
77	圆石堆	埋藏
78	包铜的木箱	
79	遗书	
80	密藏的书信	拾取
81	龟溺	拾取
82	切磋用旗帜	
83	碧玉潭	
84	落星湖	
85	万花山门	
86	天机阁图部	
87	藏药楼	
88	紫竹门	查看
89	青木桥	
90	天工阁	
91	流云瀑	
92	盘虬梯	
93	赏星居	
94	药王阁	
95	岚天梯	
96	觅星殿	
97	邀月梯	
98	岚天台	
99	聋哑村	
100	水月宫	
101	摘星楼	
102	仙迹岩	
103	千机阁	
104	拟星台	
105	凌云梯	
106	路标	
124	土堆	
126	红耳菇	采摘
128	血印石	擦拭
129	泥陶娃娃	拾取
130	竹枝笔杆	拾取
131	干燥树枝	拾取
132	燃烧的物资	
133	装有兵符的木盒	打开
134	烧焦的干草堆	寻找
135	青笋	采摘
136	矮树桩	劈开
137	劈开的木柴	拾取
138	达摩剑法	打开经书盒
139	易筋经	打开经书盒
140	稻穗	拾取
141	道梗	拾取
142	粮食包	拾取
143	稻草人	拾取
144	草垛	点燃
145	残碑·壹	查看
146	木桩遗体	采集
147	蜀棋	拾取
148	魏棋	拾取
149	大侠墓里的包裹	打开
150	闪闪发光的石头	拾取
151	红衣圣女雕像	瞻仰
152	官府告示牌	阅读
153	公堂告示	
154	商会的货物	拾取
155	锡铁矿	开采
156	红丝带	拿取
157	被夺的粮食	拾取
158	干枯的树枝	拾取
159	行脚商人的包裹	拾取
161	阳春河藻	采摘
162	非常细的河沙	捞取
163	书生的佩剑	拾取
164	醉云	采取
165	沉船货物	打捞
166	童猎户的蛇柄斧	拾取
167	萤火虫	捕捉
168	装漆器的大箱子	打开
169	稻草	拾取
170	春不老	拿取
171	百炼铜矿	开采
172	横倒的樟木	拾取
173	粉黛	拾取
174	龟蛋	摧毁
175	观音草	挖掘
176	被夺的药材	拿取
177	被夺的衣物	拿取
178	农时鼎	充水
180	失落的龙珠	拾取
182	松动的石头	移动
183	炉灶	
184	千青的玉佩	拾取
185	素英花	采集
186	残碑·贰	查看
187	残碑·叁	查看
188	残碑·肆	查看
189	易晖的箱子	打开
190	10~20级江南人形遗体	
191	10~20级中原人形遗体	
192	20~30级江南人形遗体	
193	20~30级中原人形遗体	
194	30~40级江南人形遗体	
195	30~40级中原人形遗体	
196	40~50级江南人形遗体	
197	40~50级中原人形遗体	
198	50~60级江南人形遗体	
199	50~60级中原人形遗体	
200	50~60级西北人形遗体	
201	60~70级江南人形遗体	
202	60~70级中原人形遗体	
203	60~70级西北人形遗体	
204	毛娃娃	拾取
206	饭菜	
207	画像配件	
208	和谐鼓	击鼓
209	标识特效	
212	扬州大火	
213	蛇笼	打开
214	药炉	使用
215	杂货商配件	
216	丢失的货物	拾取
217	蔓荆	采集
218	无瓣桑	采集
219	石块	拾取
220	野菜	采集
221	不知名的草药	采集
222	野花	采集
223	海星	拾取
224	蚌壳	打开
225	长矛	拾取
226	宝藏	打开宝藏
227	进贡的货物	摧毁
228	无血花	采取
229	红衣姑娘的遗体	点燃
230	红衣信徒的遗体	点燃
233	火箭车	点燃
234	胡德的遗体	
235	火蛇果	采集
236	稀奇的草药	采集
237	测试餐桌	
239	复生毒人的遗体	
240	被啃过的鱼干	拾取
241	神策军帐篷	烧毁
243	树枝干柴	拾取
244	白菜	摘菜
245	聚龙草	采集
246	丢失的玉佩	拾取
247	醒世钟	敲钟
248	饭灶台	盛饭
249	菜灶台	盛菜
250	水缸	倒水
251	大水缸	倒水
252	塔林的石碑	抄录
253	太宗碑	查看碑文
254	山灵芝	采集
255	道决的遗体	检查
256	落叶	打扫
257	粮食袋	拾取
258	衰败的青菜	采集
259	金刚经	打开经书盒
260	血书	拾取
261	发钗	拾取
262	碑林的石碑	查看碑文
263	木头人机括	拾取
264	明教令牌	拾取
265	大藏经	拾取
266	洗髓经	打开经书盒
267	汤灶台	盛汤
268	东瀛包裹	打开
269	昆仑道士的篓	点火
270	南华真经	拾取
271	怪石	拾取
272	砖石	拾取
273	巨大的龙骨	拾取
274	止血莲 	采集
275	同心锁	拾取
276	胭脂盒	拾取
277	大石头	劈开
278	被劈开的石头	
279	老君炉	使用
280	雪珠草	采集
281	未开的花苞	
282	绝情花	拾取
283	道符架	拾取
284	玄武之精	拾取
285	壁刻	查看
286	赤火尊	点燃
287	嫩枝	
288	喷香的猪肉	使用
289	返魂草	采摘
290	雨花石	拾取
291	丁香	采摘
292	锈刀	拾取
293	王小花的坟墓	挖掘
294	燃烧的遗体	
295	毒狼菇	采摘
296	毒波斯菊	灌溉
297	田边的草堆	寻找
300	被夺的镖	拾取
302	灯油	拾取
305	粮草	
308	断剑	拾取
309	小花的遗体	
310	林河的遗体	
311	少芳花	采集
315	火种	
317	陈旧的画卷	拾取
318	镶有珍珠的牛角梳子	拾取
319	镖局弟子遗体	翻找
320	破旧的玩具	拾取
322	传奇残卷	拾取
323	雨花石	拾取
324	陷阱	
326	新掩埋的土堆	挖掘
327	奇怪的香盒	打开
328	镖货	拾取
329	洛水菱角	采集
330	孤坟	
331	孤坟替代	
332	新坟	挖掘
333	虎跃石	
334	沸腾的锅	
335	铁血石	采集
336	油鼎	采取
337	后院的土堆	挖掘
338	红衣药箱	打开
339	被挖开的坟堆	翻找
340	六星灯	提取灯油
341	毒波斯菊新	灌溉
342	印染工作台	
343	铸造工具台	
