ID	Type	Name	key	ValueName	Desc
0	0				
255	0	名士五十强	Rank_Role_Repute	总声望	<text>text="个人积累的江湖中各种势力的声望点数总和排名。" font=0 </text>
256	0	老江湖五十强	Rank_Role_Achievement	江湖资历	<text>text="隐元秘鉴中积累的江湖资历总数排名。" font=0 </text>
257	0	兵甲藏家五十强	Rank_Role_EquipmentPoint	装备总分	<text>text="个人身上所有装备，按照装备部位及装备品质的总积分排名。" font=0 </text>
258	0	名师五十强	Rank_Role_MentorValue	师徒值	<text>text="个人作为师傅拥有的师徒值总分数，包括已经转换成江湖贡献值的。" font=0 </text>
259	0	阵营英雄五十强	Rank_Role_Prestige	战阶积分	<text>text="个人一周获得的战阶积分总和。" font=0 </text>
260	0	薪火相传五十强	Rank_Role_ItemMentor	薪火点	<text>text="师父协助满级徒弟完成日常活动获得的薪火点排名。各门派前十名获得限时称号"font=0</text><text>text="[至圣先师]" font=103  link="Designation/164/1"</text><text>text="[桃李满园]" font=104  link="Designation/165/1"</text><text>text="[薪尽火传]" font=104  link="Designation/166/1"</text><text>text="!" font=0 </text>
261	1	神兵宝甲五十强	Rank_Tong_Good_EquipmentPoint	装备总分	<text>text="统计帮会中所有帮众身上的装备品质，并换算成积分的排名。" font=0 </text>
262	1	爱心帮会五十强	Rank_Tong_Good_MentorValue	师徒值	<text>text="帮会中所有当师傅的成员的师徒值总分，含已转换成江湖贡献的部分。" font=0 </text>
263	1	阵营英雄五十强	Rank_Tong_Good_Prestige	战阶积分	<text>text="统计帮会中所有加入阵营的成员，当周获得的战阶积分总和。" font=0 </text>
264	1	神兵宝甲五十强	Rank_Tong_Evil_EquipmentPoint	装备总分	<text>text="统计帮会中所有帮众身上的装备品质，并换算成积分的排名。" font=0 </text>
265	1	爱心帮会五十强	Rank_Tong_Evil_MentorValue	师徒值	<text>text="帮会中所有当师傅的成员的师徒值总分，含已转换成江湖贡献的部分。" font=0 </text>
