ClassID	SubClassID	ID	ClassName	SubClassName	Title	Content	Link
0	0	0					
3	0	0	新手必读			<text>text="　　剑三江湖精彩纷呈，新进的侠士在开始体验江湖生活之前还需要打好一定的游戏基础，包括：操作、角色属性中各个属性所代表的意义等。有了良好的基础，便可行走江湖、行侠仗义了。" font=162</text>	
3	2	0		操作基础		<text>text="　　初涉江湖，首先要学会的基本功自然是移动、跳跃和攻击等这一系列需要掌握的基础操作。了解这些信息能够帮助您更快更好的融入到这个宏大的江湖世界中来。" font=162</text>	
3	2	1			移动	<text>text="　　使用W、S、A、D键可以向前后左右方移动，键盘上的方向键也能移动您的角色。\\\n　　使用Q、E键可以向左、右方平行移动。\\\n　　在移动的同时按住右键拖动便可以转向。\\\n　　同时按住鼠标左右键或按下NumLock键都会自动往前走。\\\n" font=162</text>	
3	2	2			跳跃	<text>text="　　按下空格键Space可以跳跃，跳跃至空中时再次按下空格可以再往上小跳一下，即为二段跳。" font=162</text>	
3	2	3			打坐	<text>text="　　按快捷键V或X即可进入打坐状态。在打坐状态下，您的气血和内力会加快回复速度。\\\n　　再次按下快捷键取消打坐状态。使人物移动同样会自动解除打坐状态。" font=162</text>	
3	2	4			视角	<text>text="　　按住鼠标左键拖动可以转动您的视角但不转动游戏内角色面对的方向。\\\n　　按住鼠标右键拖动可以在转动视角的同时让您的角色转身。\\\n　　滑动鼠标滚轮可以缩放视角。" font=162</text>	
3	2	5			交互	<text>text="鼠标交互" font=157</text><text>text="\\\n　　用鼠标左键点击可以选定物品和NPC，鼠标右键点击则可以同NPC交谈或激活某个对象。\\\n　　鼠标指针会随目标类型而变化，如果鼠标指针停在一个可以交互的对象身上时，鼠标指针会显示某个图标，根据图标的不同右键点击会产生不同的动作类型，比如：\\\n" font=162</text><image>path="ui\Image\cursor\attack.tga" frame=0</image><text>text="　　：可攻击的对象\\\n" font=162</text><image>path="ui\Image\cursor\speak.tga" frame=0</image><text>text="　　：可对话\\\n\\\n" font=162</text><text>text="F键交互" font=157</text><text>text="\\\n　　F键是默认的交互快捷键。\\\n　　在可交互对象附近按F键，可以与之对话或发起攻击。\\\n　　在可拾取物品附近按F键，会自动拾取。\\\n　　在战斗中按F键，会使用武学助手，自动切换释放合适的武学招式。" font=162</text>	
3	2	6			攻击	<text>text="　　当鼠标移到可攻击的目标身上可以看见剑状的攻击指针。\\\n　　如果指针是灰色的，就表示您在可攻击的范围之外，要攻击目标必须先进入攻击范围。\\\n　　鼠标右键点击目标可以实现自动攻击。\\\n　　当然您也可以点击下方动作条中的“攻击”图标或自定义的招式快捷键来选择相应的攻击。" font=162</text>	
3	2	9			轻功	<text>text="进入轻功状态" font=157</text><text>text="\\\n　　双击w键并长按可以进入疾跑阶段，使用空格可以开启轻功阶段。\\\n　　轻功分为四段，每按一次空格键可以进入下一阶段。每个门派的轻功不同，各自阶段也不同。\\\n\\\n" font=162</text><text>text="气力值" font=157</text><text>text="\\\n　　界面左上角的圆形图标为气力值图标，使用轻功会消耗气力值，显示为圆球中的气力逐渐减少。\\\n　　有气力值时才能使用轻功。当气力值为零，将无法继续使用轻功。\\\n\\\n" font=162</text><text>text="结束轻功" font=157</text><text>text="\\\n　　在轻功阶段松开w键会停止使用轻功，自由在空中滑翔并下落。\\\n　　如果在高空结束轻功，自由掉落，可是会摔死的喔，所以请注意自己的气力值，在即将为零时提前降落。\\\n　　如果在高空中气力值为零，被迫掉落，可以在快落地时使用蹑云逐月、凌霄揽胜、瑶台枕鹤等江湖轻功缓冲，以防摔死。" font=162</text>	
3	2	10			玩家互动	<text>text="　　1.左键选择附近某个玩家，会弹出该玩家的主要信息。\\\n　　2.右键点击他/她的头像，会显示一个针对该玩家的交互菜单。\\\n　　3.在菜单里您可以选择与之组队、与之交易、查看他身上的装备、将之加为好友和对头（有等级限制）、请求与之切磋（有等级限制）等选项。" font=162</text>	
3	2	11			地图帮助	<text>text="　　1.如果要找某类NPC，可以按M键打开大地图，在右面“显示常用NPC标记”下勾选要标记的某NPC位置。\\\n　　2.就近询问城镇或门派中的守卫也是个不错的主意。\\\n　　当您和守卫对话询问或点击地图NPC列表中的某位NPC后，在地图上均会以绿点显示。\\\n　　3.还可在地图上查看任务的领取点和提交点。\\\n　　地图上关闭的卷轴状标志表明该处有可领的任务；打开的卷轴标志表明该处有可交的任务。" font=162</text>	
3	2	12			自动拾取	<text>text="　　使用F键或Shift+右键点击尸体可以自动拾取掉落的物品，但是不会自动拾取需要绑定的物品。\\\n　　您也可以按Esc在界面设置中勾选“自动拾取”功能，这样每次您右键点击尸体时都会自动拾取掉落的物品了。" font=162</text>	
3	2	13			装备物品	<text>text="　　按快捷键B打开背包，右键点击背包里的物品即可装备或使用物品。\\\n　　左键点击并拖动背包中的物品放到界面下方的快捷栏中，即可创建一个快捷使用的方式。下次需要使用时，不必再打开背包，只需左键点击快捷栏中的物品使用。" font=162</text>	
3	2	14			丢弃物品	<text>text="　　左键点击背包内某个需要丢弃的物品，将其拖到屏幕上背包界面以外的区域，再次点击左键即可丢弃该物品。\\\n　　注意被丢弃的物品将被摧毁并无法恢复，下手之前需得三思而后行。" font=162</text>	
3	2	15			快捷栏	<text>text="　　屏幕底部的快捷栏包含了您的招式，特殊能力或经常使用的物品。\\\n　　把鼠标移到这些图标上会出现一个提示窗口，里面会显示招式或物品的名称和属性等。\\\n　　您可以通过点击图标来使用它们，或者通过按下快捷栏里对应的的数字来使用。\\\n" font=162</text><text>text="　　通过Esc打开的界面设置中可以设置快捷键" font=100</text><text>text="，增加更多的快捷栏，还可以自定义和招式、物品对应的快捷键。\\\n　　点击快捷栏右侧三角指针可以" font=162</text><text>text="换页" font=100</text><text>text="，你可以在每页设置不同的快捷键以对应不同的情况。如：霸刀的不同体态对应不同的快捷栏页，放置不同的技能；藏剑切换重剑轻剑对应不同的快捷栏页等等。" font=162</text>	
3	2	16			角色信息	<text>text="　　按C键将会弹出您的角色信息界面" font=100</text><text>text="，其中包括您的姓名、等级、装备和人物属性、坐骑等。\\\n　　在下方切换界面，还可以查看声望、阵营相关内容。\\\n　　将鼠标指针停在装备上，可以查看装备的详细信息。\\\n　　右上方的四个人偶图标可以切换装备，侠士可以最多装备四套装备，随意切换。" font=162</text>	
3	10	0		NPC类型		<text>text="　　NPC分为功能NPC（可与玩家进行交互）和战斗型NPC（俗称“怪物”）。\\\n　　NPC也有等级、强弱和攻击类型之分。良好的掌握这些可以帮助您在行走江湖时规避祸事。" font=162</text>	
3	10	1			NPC等级	<text>text="　　与玩家一样，每个NPC也有自己的等级。如果您观察某个NPC的等级显示为“？”，则代表该NPC等级比您当前等级大10级以上。如果对方恰好是您的敌人，奉劝您，安全第一，走为上吧！\\\n　　低于人物等级超过5级的怪物目标名称显示为灰色，以大欺小非英雄所为，故击败灰色怪物不能获得任何阅历。" font=162</text>	
