nLevel	dwCopyID1	dwCopyID2	dwCopyID3	dwCopyID4	dwCopyID5	dwCopyID6	dwCopyID7	dwCopyID8	dwCopyID9	dwCopyID10	dwCopyID11	dwCopyID12	dwCopyID13	dwCopyID14	dwCopyID15	dwCopyID16	dwCopyID17	dwCopyID18	dwCopyID19	dwCopyID20
0	0	0	0	0	0	0	0	0	0	0										
1	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
2	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
3	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
4	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
5	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
6	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
7	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
8	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
9	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
10	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
11	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
12	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
13	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
14	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
15	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
16	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
17	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
18	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
19	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
20	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
21	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
22	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
23	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
24	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
25	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
26	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
27	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
28	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
29	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
30	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
31	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
32	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
33	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
34	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
35	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
36	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
37	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
38	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
39	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
40	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
41	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
42	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
43	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
44	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
45	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
46	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
47	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
48	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
49	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
50	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
51	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
52	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
53	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
54	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
55	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
56	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
57	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
58	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
59	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
60	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
61	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
62	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
63	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
64	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
65	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
66	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
67	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
68	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
69	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
70	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
71	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
72	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
73	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
74	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
75	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
76	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
77	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
78	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
79	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
80	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
81	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
82	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
83	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
84	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
85	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
86	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
87	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
88	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
89	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
90	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
91	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
92	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
93	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
94	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
95	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
96	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
97	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
98	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
99	14	17	18	19	20	51	116	123	142	169	196	219	256	342	431	476	563	606	658	
100	489	477																		
101	489	477																		
102	489	477																		
103	489	477																		
104	489	477																		
105	468	479																		
106	468	479																		
107	468	479																		
108	468	479																		
109	468	479																		
110	622	598																		
111	622	598																		
112	622	598																		
113	622	598																		
114	622	598																		
115	596																			
116	596																			
117	596																			
118	596																			
119	596																			
120	596																			
