ID	Name	FromAchievementID	FromOtherItemID	Quality	CanChatShow	Desc	bIsEffect	szImagePath	bOutOfPrint	nVersion	nGainWayType
0		0	0	3	0		0		0	0	0
1	塞北	814		2		<text>text="塞北寒烟，英雄纵横。大漠之上，无人能敌。" font=100 </text>				1	1
2	三湘	381		2		<text>text="三湘秀色，美景如画。名人雅士，气质非常。" font=100 </text>				1	1
3	天南	801		2		<text>text="天南飘渺，侠影萍踪。天南来客，神秘莫测。" font=100 </text>				1	1
4	蜀中	576		2		<text>text="巴蜀天府，风物怡人。川中望族，人人仰慕。" font=100 </text>				1	1
5	关西	822		3		<text>text="关西豪客，义气干云。横刀立马，盛气凌人。" font=100 </text>				1	1
6	洞庭	823		3		<text>text="湖光潋滟，碧水接天。洞庭弄舟，雅趣怡然。" font=100 </text>				1	1
7	西岭	398		2		<text>text="西岭险峰，积雪终年。山中高士，超凡脱俗。" font=100 </text>				1	1
8	江东	21		2		<text>text="江东怀古，无尽风流。人杰地灵，英雄辈出。" font=100 </text>				1	1
9	雪山	819		3		<text>text="雪山峻岭，皓月孤影。不染尘俗，隐逸高人。" font=100 </text>				1	1
10	南海	820		3		<text>text="南海烟波，碧潮汹涌。乘风破浪，铁胆侠士。" font=100 </text>				1	1
11	潇湘	750		2		<text>text="潇湘美景，仙气馥郁。钟灵毓秀，才子佳人。" font=100 </text>				1	1
12	东岳	821		2		<text>text="东岳巍然，天下共尊。身居泰山，威镇武林。" font=100 </text>				1	1
13	墨笔	1280		2		<text>text="笔墨瀚海，畅行天下。气质高雅，文采过人。" font=100 </text>				1	1
14	银枪	1281		2		<text>text="银枪迎风，骏马嘶鸣。摧枯拉朽，沙场无敌。" font=100 </text>				1	1
15	金剑	1282		2		<text>text="金剑寒锋，锐气逼人。金剑离鞘，绝无活命。" font=100 </text>				1	1
16	玉棍	1283		2		<text>text="玉杵华光，横扫千军。行走江湖，未逢敌手。" font=100 </text>				1	1
17	白眉	559		4		<text>text="白眉贤者，心境超然。百无挂碍，天人合一。" font=100 </text>				1	1
18	红袖	475		3		<text>text="红袖添香，温暖人心。贤淑端庄，气质华贵。" font=100 </text>				1	1
19	环眼	478		3		<text>text="豹头环眼，凶神恶煞。虎目盯人，吓破敌胆。" font=100 </text>				1	1
20	冷面	565		3		<text>text="面如寒霜，不露悲喜。高手冷面，不知所想。" font=100 </text>				1	1
21	金笛	1660		3		<text>text="金笛飞声，梅花落尽。风流潇洒，江湖称羡。" font=100 </text>				1	1
22	铁琴	1648		3		<text>text="铁琴铮铮，透骨微寒。音如仙乐，飞声夺命。" font=100 </text>				1	1
23	玉面	817		3		<text>text="玉面冰颜，美貌粲然。勾魂摄魄，风采迷人。" font=100 </text>				1	1
24	聪辩	818		3		<text>text="聪辩智慧，知晓古今。心思细腻，体物入微。" font=100 </text>				1	1
25	聋哑	183		3		<text>text="装聋作哑，不肯轻言。心中是非，肚里春秋。" font=100 </text>				1	1
26	毒手	472		3		<text>text="狠心辣手，不留情面。人见人怕，鬼见鬼惊。" font=100 </text>				1	1
27	紫衫	1231		3		<text>text="紫衫凭风，风华绝代。雍容华贵，不可方物。" font=100 </text>				1	1
28	赤颜	810		3		<text>text="赤颜意气，最是忠烈。铁胆忠心，人人敬仰。" font=100 </text>				1	1
29	幽谷	1702		4		<text>text="幽谷隐居，兰菊为伴。不问世事，志趣不凡。" font=100 </text>				1	1
30	寒梅	546		4		<text>text="寒梅映雪，高洁无比。人如其名，心高气傲。" font=100 </text>				1	1
31	白莲	547		4		<text>text="白莲千叶，清香怡人。志本高洁，不染凡尘。" font=100 </text>				1	1
32	青竹	32		4		<text>text="青竹劲节，钢骨虚心。不屈不挠，坚毅无比。" font=100 </text>				1	1
33	芙蓉	1622		4		<text>text="芙蓉出水，脱尘脱俗。锦心绣口，冰心蕙质。" font=100 </text>				1	1
34	无常	556		4		<text>text="地狱无常，催夺性命。人见人躲，鬼见鬼愁。" font=100 </text>				1	1
35	夺命	1135		4		<text>text="刀下无生，剑下无情。阎王催命，无人能躲。" font=100 </text>				1	1
36	逍遥	1678		4		<text>text="南海北冥，任凭去来。心无旁骛，逍遥仙踪。" font=100 </text>				1	1
37	知礼	479		2		<text>text="五派掌门，尽是知交。礼贤下士，名满天下。" font=100 </text>				1	1
38	云游	573		2		<text>text="闲云野鹤，畅游天下。无拘无束，无挂无碍。" font=100 </text>				1	1
39	不语	367		2		<text>text="仗剑江湖，行善五百。小有声名，是为不语。" font=100 </text>				1	1
40	飞天	67		3		<text>text="梯云飞天，直登仙路。纯阳神功，举世无双。" font=100 </text>			1	1	1
41	还魂	48		3		<text>text="锋针救死，术可还魂。万花医术，起死回生。" font=100 </text>				1	1
42	招魂	52		3		<text>text="心弦招魂，心鼓镇魄。起死回生，力挽狂澜。" font=100 </text>				1	1
43	九命	42		3		<text>text="绝境九命，天策神威。猛虎狂啸，万物尽摧。" font=100 </text>			1	1	1
44	不死	58		3		<text>text="金刚不死，不入轮回。佛门高僧，法力无边。" font=100 </text>				1	1
45	百胜	171		3		<text>text="洛阳擂台，十战连胜。百胜将军，武林魁首。" font=100 </text>				1	1
46	乐善	570		3		<text>text="乐善好施，侠义心肠。处处敬仰，人人称赞。" font=100 </text>				1	1
47	霓裳	70		4		<text>text="武冠七秀，霓裳轻舞。不世才女，江湖第一。" font=100 </text>			1	1	1
48	冲云	74		4		<text>text="扶摇神功，侠影冲云。天外飞仙，奥秘无穷。" font=100 </text>				1	1
49	莲冠	72		4		<text>text="武冠纯阳，真仙现世。道门绝学，尽在掌握。" font=100 </text>			1	1	1
50	墨意	69		4		<text>text="武冠万花，墨点江山。儒雅俊逸，笑傲王侯。" font=100 </text>			1	1	1
51	百战	68		4		<text>text="武冠天策，百战金甲。少年将军，沙场无敌。" font=100 </text>			1	1	1
52	青灯	71		4		<text>text="武冠少林，青灯问禅。一代高僧，立地成佛。" font=100 </text>			1	1	1
53	铁胆	368		4		<text>text="铁胆江湖，侠事两千。芳名远扬，妇孺皆知。" font=100 </text>				1	1
54	赤炼	385		4		<text>text="赤铁之心，百炼成钢。无所畏惧，一往直前。" font=100 </text>				1	1
55	灵心	113		4		<text>text="灵心璞玉，天纵之才。骨骼清奇，根基深厚。" font=100 </text>				1	1
56	慈心	115		4		<text>text="慈心救世，大慈大悲。妙手回春，起死回生。" font=100 </text>				1	1
57	慧心	114		4		<text>text="慧心真元，内劲雄浑。真气川行，不绝如缕。" font=100 </text>				1	1
58	妙心	116		4		<text>text="妙心铁骨，金刚护体。百邪不侵，不动如山。" font=100 </text>				1	1
59	追魂	813		4		<text>text="战场克敌，铁血追魂。追魂令下，无人可躲。" font=100 </text>				1	1
60	夺魄			4		<text>text="群雄荟萃，除魔夺魄。武林诛邪，万人共钦。" font=100 </text>			1	1	10
61	血手	519		4		<text>text="无情血手，江湖闻名。血手既出，见血方收。" font=100 </text>				1	1
62	血影	518		4		<text>text="迷踪鬼影，见血封喉。鬼影千重，魔魁见诛。" font=100 </text>				1	1
63	假面	517		4		<text>text="世人伪善，皆带假面。黑白通吃，左右逢源。" font=100 </text>				1	1
64	断魂	454		4		<text>text="逢人夺命，遇鬼断魂。人见人惊，鬼见鬼惧。" font=100 </text>				1	1
65	千眼	366		4		<text>text="灵台空明，心生千眼。读书万卷，无所不知。" font=100 </text>				1	1
66	百里	440		4		<text>text="百里逍遥，看尽繁华。大唐都市，皆留踪迹。" font=100 </text>				1	1
67	醉	959		3		<text>text="美酒佳肴，欲醉今宵。千杯不倒，武林传奇。" font=100 </text>				1	1
68	铁	960		3		<text>text="鬼斧神工，锻铸奇兵。一代奇匠，千载难逢。" font=100 </text>				1	1
69	布	961		3		<text>text="云衣花绣，无双妙手。绝世绣法，万古留名。" font=100 </text>				1	1
70	隐	962		3		<text>text="妙手仁心，悬壶济世。医术精妙，当世药王。" font=100 </text>				1	1
71	笑	963		3		<text>text="笑看风云，不留踪行。万卷诗书，伴吾浮萍。" font=100 </text>				1	1
