name	r	g	b
black	0	0	0
white	255	255	255
gray1	207	207	207
gray2	173	173	173
gray3	150	150	150
gray4	99	99	99
gray5	69	84	75
gray6	40	40	40
yellow1	255	255	187
yellow2	255	255	0
yellow3	163	176	106
yellow4	96	96	0
yellow5	150	140	0
orange1	255	202	126
orange2	255	150	0
orange3	169	99	0
orange4	230	140	0
red1	255	126	126
red2	255	0	0
red3	169	0	0
red4	139	46	28
red5	220	30	0
red6	255	27	27
purpre1	202	126	255
purpre2	223	18	201
purpre3	94	27	160
blue1	126	126	255
blue2	0	126	255
blue3	0	0	169
blue4	30	54	108
green1	126	227	163
green2	0	200	72
green3	0	132	47
green4	16	88	48
other	163	176	106
other2	146	222	95
purpre4	223	17	201
red6	239	55	12
blue5	30	104	254
yellow6	239	255	9
green5	76	223	21
gray7	38	38	38
yellow7	120	99	3
green6	4	209	182
green7	79	255	108
red7	255	0	18
blue6	51	243	255
blue7	48	189	214
purpre5	121	65	83
yellow8	255	247	142
251	234	183	142
yellow9	251	234	183
brown	153	69	43
yellow10	255	222	0
gray8	73	60	35
brown2	143	41	37
blue8	186	251	223
green8	158	212	186
yellow11	69	61	42
gray9	11	11	11
gray10	197	197	197
blue9	150	206	223
brown1	250	176	126
king1	232	195	104
yellow12	62	40	27
blue10	156	201	195
orange5	255	169	32
orange6	255	149	64
brown3	90	50	32
brown4	128	64	64
brown5	70	51	43
yelloww13	172	147	94
red8	186	66	56
lightGrayYellow1	214	211	204
lightGrayYellow2	152	143	110
lightGrayYellow3	201	193	168
lightGrayYellow6	115	92	60
lightBrownNew1	237	227	210
lightBrown1	254	249	231
lightBrown2	236	228	204
lightBrown5	119	104	89
lightBrown7	119	104	89
lightBrown8	97	80	68
brownNew2	227	215	199
brownNew6	81	51	1
lightGreen2	188	229	219
lightGreen5	146	188	180
lightGreen6	111	164	151
newBlue1	223	254	255
grayBlue3	149	185	186
newBlue6	50	90	91
warmGray4	169	167	163
gray11	172	166	155
gray12	216	210	201
orange7	217	124	0
gray13	59	59	59
gray14	86	86	86
gray15	50	36	36
